,siteID,projID,taxaID,sampleID,title,lat,long,title,sppcode,kingdom,phylum,class,order,family,genus,species,year,month,day,spt_rep1,spt_rep2,spt_rep3,spt_rep4,structure,indivID,unitobs,covariate,knbID,metalink
26,AJFG,3,7,12,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,AJFG,1,40,NULL,19,NULL,1,"{'OBS_CODE': '6', 'AREA': '20', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
27,AJFG,3,7,11,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,AJFG,1,40,NULL,14,NULL,1,"{'OBS_CODE': '6', 'AREA': '20', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
28,AJFG,3,7,10,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,OPIC,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,pictus,2023,5,8,AJFG,1,40,NULL,11,NULL,1,"{'OBS_CODE': '6', 'AREA': '20', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
29,LKEM,8,22,38,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,BFRE,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,frenatus,2021,6,8,LKEM,1,NULL,NULL,8,NULL,7,"{'VIS': '3', 'OBS_CODE': '3', 'SURVEY_TIMING': 'A', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
30,LKEM,8,22,37,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,BFRE,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,frenatus,2010,6,8,LKEM,1,NULL,NULL,4,NULL,1,"{'VIS': '3', 'OBS_CODE': '2', 'SURVEY_TIMING': 'S', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
31,LKEM,8,21,36,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2010,6,12,LKEM,1,NULL,NULL,NULL,NULL,NA,"{'VIS': 'NULL', 'OBS_CODE': '3', 'SURVEY_TIMING': 'S', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
32,LKEM,8,21,35,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022,6,11,LKEM,1,NULL,NULL,NULL,NULL,NA,"{'VIS': 'NULL', 'OBS_CODE': '3', 'SURVEY_TIMING': 'S', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
33,LKEM,8,21,34,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2011,6,9,LKEM,1,NULL,NULL,NULL,NULL,NA,"{'VIS': 'NULL', 'OBS_CODE': '3', 'SURVEY_TIMING': 'S', 'AREA': '80'}",knb-lter-sbc.19.21,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19
34,LKEM,4,11,19,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,BFRE,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,frenatus,2021,6,8,LKEM,1,NULL,NULL,8,NULL,7,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': '3'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
35,LKEM,4,11,18,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,BFRE,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,frenatus,2010,6,8,LKEM,1,NULL,NULL,4,NULL,1,"{'OBS_CODE': '2', 'AREA': '80', 'VIS': '3'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
36,LKEM,4,10,17,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2010,6,12,LKEM,1,NULL,NULL,NULL,NULL,NA,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
37,LKEM,4,10,16,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022,6,11,LKEM,1,NULL,NULL,NULL,NULL,NA,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
38,LKEM,4,10,15,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NA,NA,SBC LTER: Reef: Kelp Forest Community Dynamics: Fish abundance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2011,6,9,LKEM,1,NULL,NULL,NULL,NULL,NA,"{'OBS_CODE': '3', 'AREA': '80', 'VIS': 'NULL'}",knb-lter-sbc.17.28,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17
