Cruise,date,Station,Depth meters,Pseudo-nitzschia,Leptocylindrus,Thalassiosira,Chaetoceros,Eucampia,Rhizosolenia,Skeletonema,Nitzschia,Navicula,Asterionellopsis,Meuniera,Thalassionema,Guinardia,Hemiaulus,Ditylum,Coscinodiscus,Cylindrotheca,Bacteriastrum,Heliotheca,Stephanopyxis,Corethron,Pleurosigma,Thalassiothrix,Asteromphalus,Licomorpha,Odontella,Lithodesmium,Melosira,Fragilariopsis,Diatom unknown,Prorocentrum,Ceratium,Akashiwo,Lingulodinium,Dinophysis,Scrippsiella,Protoperidinium,Gonyaulax,Alexandrinium,Noctiluca,Oxytoxum,Amylax,Pyrocystis,Dinoflagellate unknown,Dictyocha,Phaeocystis
080430,30-Apr-2008,1,5,2780,0,3930,0,0,20,0,1320,340,0,60,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,240,0,0,1860,0,0,0,0,0,0,0,0,0,380,1480
080430,30-Apr-2008,2,5,540,0,15880,0,0,0,0,40,220,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,640,0,20,40,0,0,0,0,0,0,380,4860
080430,30-Apr-2008,3,5,1300,0,8320,0,0,20,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,640,0,0,700,0,0,0,0,0,0,0,0,0,20,3120
080430,30-Apr-2008,4,5,3440,0,23340,0,0,0,0,40,1100,0,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,0,0,0,0,0,160,340,0,0,1060,0,40,20,0,320,0,0,0,0,100,6060
080430,30-Apr-2008,5,5,2700,80,26180,0,0,60,0,0,1160,0,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1660,3040,0,0,3580,0,20,60,0,120,0,0,0,0,100,9940
080514,14-May-2008,1,5,11860,1420,69520,740,860,120,0,200,2820,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,6740,0,0,1460,0,120,180,0,80,0,0,0,0,940,6520
080514,14-May-2008,2,5,7040,680,59000,1960,580,240,0,340,1180,0,200,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,580,4540,0,0,740,0,680,480,0,200,0,0,0,0,1280,2900
080514,14-May-2008,3,5,11960,780,46860,1180,420,320,0,140,520,0,360,160,0,40,0,60,0,0,0,0,0,20,0,0,0,0,0,0,0,0,380,7040,0,0,2580,0,280,320,0,100,0,0,0,0,560,1080
080514,14-May-2008,4,5,9720,800,48780,1300,80,220,0,240,820,0,500,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,380,4400,0,0,1820,0,260,520,0,80,0,0,0,0,540,3240
080514,14-May-2008,5,5,7860,700,50600,540,220,600,0,360,1860,0,820,0,0,0,0,0,0,0,0,260,0,100,0,0,0,0,0,0,0,0,700,8060,0,0,1880,0,380,320,0,80,0,0,0,0,540,1620
080625,25-Jun-2008,1,5,49760,3780,3500,180,0,20,0,280,2480,0,280,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,380,0,0,40,0,0,0,0,0,0,0,0,0,0,0
080625,25-Jun-2008,2,5,141500,57920,3580,200,40,160,200,1380,3520,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,680,0,0,40,0,40,20,0,0,0,0,0,0,0,0
080625,25-Jun-2008,3,5,177160,260280,5400,1020,20,40,0,1000,5060,0,480,100,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,60,60,0,0,40,0,0,40,0,0,0,0,0,0,0,0
080625,25-Jun-2008,4,5,116820,908640,8120,3100,0,1420,0,180,860,0,0,840,0,0,0,300,0,0,0,0,0,0,0,240,0,0,0,0,0,0,20,560,0,0,0,0,0,400,0,0,0,0,0,0,0,0
080625,25-Jun-2008,5,5,98820,745020,5560,2280,0,1060,0,1400,840,0,0,1700,0,0,0,300,0,180,0,0,0,180,0,200,0,0,0,0,0,0,5080,500,0,0,320,0,460,800,620,20,0,0,0,5280,260,0
080716,16-Jul-2008,1,5,6780,900,760,380,40,580,0,1020,1120,0,0,160,60,0,0,20,40,0,0,0,0,0,0,0,0,0,0,160,0,0,20,80,0,0,0,0,0,0,0,20,0,0,0,20,0,0
080716,16-Jul-2008,2,5,10340,1080,800,500,0,240,0,620,1200,0,0,0,300,0,0,20,40,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,40,120,0
080716,16-Jul-2008,3,5,5800,4300,1220,880,120,0,0,760,1180,0,0,0,540,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,80,0,0,0,0,20,20,0,0,0,0,20,0,120,0
080716,16-Jul-2008,4,5,4840,2420,580,560,0,0,0,340,460,0,0,140,300,0,0,20,20,0,0,0,0,0,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,20,0,0,0,0,0,0,0,0
080716,16-Jul-2008,5,5,75980,17560,920,2600,0,260,0,1060,160,0,1020,200,3820,120,0,20,0,0,0,0,0,100,80,80,0,0,0,0,0,0,680,160,0,0,60,0,20,0,0,0,0,0,0,0,560,0
080827,27-Aug-2008,1,5,1020,40,280,240,0,280,740,80,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,3620,0,4600,1100,0,200,40,0,0,100,0,0,0,460,0
080827,27-Aug-2008,2,5,8380,0,360,3360,0,780,3020,420,40,0,0,0,0,100,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,980,0,4720,240,0,160,120,0,0,0,0,0,0,340,0
080827,27-Aug-2008,3,5,17580,3120,260,3080,0,480,1000,5560,100,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,2900,2080,0,9300,450,0,160,450,0,0,180,0,0,0,740,0
080827,27-Aug-2008,4,5,9260,1800,560,1480,0,920,720,3460,100,0,0,0,80,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9980,4240,0,18540,1560,0,40,220,0,0,100,0,0,0,880,0
080827,27-Aug-2008,5,5,13920,960,2280,2180,0,720,360,3500,340,0,0,0,220,0,0,160,0,0,0,0,0,60,0,0,0,0,0,0,0,0,4320,2780,0,8280,1040,0,320,180,0,0,180,0,0,0,540,0
080924,24-Sep-2008,1,5,160,120,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,60,0,0,60,0,0,0,40,0,0,0,340,0
080924,24-Sep-2008,2,5,1840,1860,660,0,0,0,0,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1220,0,0,0,0,40,0,0,0,0,0,0,0,820,0
080924,24-Sep-2008,3,5,1160,0,540,620,0,0,0,40,400,0,0,0,0,0,0,0,360,0,0,0,0,100,0,0,0,0,0,0,0,0,60,180,0,0,0,0,0,0,0,0,0,0,0,0,340,0
080924,24-Sep-2008,4,5,460,380,720,620,0,0,640,60,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,300,0,60,100,0,40,60,0,0,0,0,0,0,400,0
080924,24-Sep-2008,5,5,14440,1740,2100,0,0,340,2200,500,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18820,1100,0,340,0,0,180,300,0,0,0,0,0,0,1460,0
081023,23-Oct-2008,1,5,72520,33180,3940,9320,0,0,2860,740,200,1040,0,360,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,120,0,0,280,0,540,180,0,0,0,0,0,0,200,0
081023,23-Oct-2008,2,5,103180,44700,9840,6720,0,0,2120,400,0,5780,0,5100,4220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,100,0,740,0,0,0,0,0,0,0,280,0
081023,23-Oct-2008,3,5,201240,57740,19300,22300,0,620,2340,1100,860,15340,540,9380,5980,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18760,480,6060,140,600,0,220,360,0,0,0,0,0,0,360,0
081023,23-Oct-2008,4,5,79640,13340,4220,1800,0,40,3560,280,800,1680,0,4260,0,0,0,0,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,103800,1420,5860,300,800,0,1480,0,0,0,40,0,0,0,340,0
081023,23-Oct-2008,5,5,41440,12680,15580,10240,620,0,2360,3940,2000,4400,0,2860,3920,0,0,0,0,400,0,0,0,0,0,100,0,0,0,0,0,0,24200,180,840,0,940,0,180,340,0,0,40,0,0,0,380,0
081119,19-Nov-2008,1,5,13620,5640,12120,7460,240,120,0,1600,1520,440,0,0,0,200,0,40,1620,0,0,80,0,0,80,0,0,0,0,0,0,0,400,160,0,60,0,0,0,0,0,0,0,0,0,0,1340,0
081119,19-Nov-2008,2,5,15080,7220,6220,6800,420,200,4980,760,420,0,0,3200,1000,0,380,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,460,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
081119,19-Nov-2008,3,5,37760,2900,16620,24560,1520,960,0,1420,480,5420,0,620,2400,240,0,0,0,0,0,0,0,0,60,0,0,0,280,0,0,0,500,200,5220,680,120,0,280,0,0,0,0,0,0,0,1100,0
081119,19-Nov-2008,4,5,15220,0,9920,18760,540,400,1100,1120,1680,0,0,0,420,120,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,220,100,5000,620,180,480,0,40,0,0,0,0,0,0,460,0
081119,19-Nov-2008,5,5,15920,1300,5600,8400,0,0,2440,400,1080,0,0,1060,420,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,80,6700,2060,300,600,80,80,0,0,0,0,0,0,180,0
081210,10-Dec-2008,1,5,19100,1940,1860,600,0,0,0,4500,920,1700,0,280,560,100,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,380,0,780,0,100,0,0,0,0,0,0,0,0,0,0,0
081210,10-Dec-2008,2,5,8380,1840,3200,2080,0,60,0,2420,1560,0,0,320,700,160,0,100,0,0,0,0,80,0,0,0,0,0,0,0,0,0,2000,280,8220,1760,80,540,0,40,0,0,0,0,0,0,80,0
081210,10-Dec-2008,3,5,17700,0,4280,1120,0,0,3480,4960,2300,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560,200,12120,1500,80,0,0,0,320,0,80,60,0,0,100,0
081210,10-Dec-2008,4,5,5120,80,2840,0,0,100,880,7500,2720,0,420,320,300,0,80,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,2200,0,7000,640,0,160,0,0,0,0,100,0,0,0,120,0
081210,10-Dec-2008,5,5,12120,360,2580,2000,0,0,2880,4860,2400,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,1700,60,3380,3120,180,0,100,0,0,0,0,0,0,0,0,0
090123,23-Jan-2009,1,5,1320,460,1420,2720,0,0,0,140,80,0,0,120,260,0,60,0,0,0,0,0,40,0,0,0,60,0,0,0,0,0,2000,200,0,0,120,0,0,40,0,0,0,0,0,0,0,0
090123,23-Jan-2009,2,5,29920,1780,2720,20140,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10720,1100,0,400,360,1820,160,0,0,0,20,140,0,0,0,0
090123,23-Jan-2009,3,5,8920,2240,3680,52820,0,0,5180,440,140,1160,0,160,0,0,340,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,17380,1500,0,180,1220,2600,460,0,0,0,0,220,0,0,340,0
090123,23-Jan-2009,4,5,4620,360,3060,14540,720,0,1180,480,220,0,0,40,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22260,560,40,80,1080,2220,300,140,120,0,0,40,0,0,140,1140
090123,23-Jan-2009,5,5,14780,1440,3140,10120,0,0,0,920,320,0,0,240,0,0,180,120,0,0,0,0,0,40,0,0,0,0,0,0,0,0,5460,500,0,0,520,660,0,60,0,0,0,0,0,0,0,0
090226,26-Feb-2009,1,5,3460,220,3860,200,0,0,240,1500,1560,0,360,0,0,0,0,0,0,0,0,0,140,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0
090226,26-Feb-2009,2,5,4080,60,5080,12860,260,0,1240,780,1140,2680,3900,0,1980,0,40,0,0,0,0,0,0,40,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0
090226,26-Feb-2009,3,5,8520,360,4640,30960,1240,0,4440,140,440,1200,2960,80,1600,0,260,60,0,1460,0,0,40,0,100,0,0,0,0,0,0,0,80,60,0,0,40,80,0,40,0,0,0,0,0,0,340,0
090226,26-Feb-2009,4,5,6860,640,7760,36540,4140,0,8120,1660,1200,580,5320,620,3120,0,60,0,0,1580,0,0,60,0,0,0,0,60,0,0,0,0,280,0,0,0,0,220,60,140,0,0,0,0,0,0,840,0
090226,26-Feb-2009,5,5,5620,740,4900,31420,3120,0,2300,1180,520,0,820,0,340,0,260,0,0,1200,0,0,80,0,0,0,0,0,0,0,0,0,14800,800,0,0,600,0,0,140,0,0,0,0,0,0,480,0
090330,30-Mar-2009,1,5,660,0,1000,0,280,0,0,180,280,0,1400,0,1180,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
090330,30-Mar-2009,2,5,84660,4960,1440,0,2840,0,0,620,560,0,0,120,1180,0,100,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,1500,60,0,0,0,0,0,0,0,0,0,0,0,0,80,0
090330,30-Mar-2009,3,5,94300,1160,1780,0,3540,0,0,1320,220,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,340,0,0,120,0,260,0,0,0,0,0,0,0,1060,0
090330,30-Mar-2009,4,5,135000,3100,4020,1720,1060,0,960,320,540,0,480,0,1000,0,120,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,3280,320,0,0,100,0,320,160,0,0,80,0,0,0,960,0
090330,30-Mar-2009,5,5,92820,1920,2420,0,0,0,0,1680,920,0,3160,0,540,0,0,0,0,0,0,1660,0,0,160,0,0,0,0,0,0,0,4260,440,0,0,80,0,0,140,0,0,0,0,0,0,1060,0
090420,20-Apr-2009,1,5,3480,0,0,0,0,0,0,60,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
090420,20-Apr-2009,2,5,4700,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
090420,20-Apr-2009,3,5,45160,0,220,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
090420,20-Apr-2009,4,5,51360,0,180,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
090420,20-Apr-2009,5,5,44240,0,520,0,0,0,0,0,520,0,6020,0,0,0,0,0,0,0,0,0,40,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
