Code,Growth,SppType,Season,Month,Year,Site,Plot,Quad,Cover
ASNU4,A,H,1,May,2004,G,2,8,1
LEDED,A,H,1,May,2004,G,2,8,1
MAFE,A,H,1,May,2004,G,2,8,1
APRAH,P,H,1,May,2004,G,2,8,3
PLPA2,A,H,1,May,2004,G,2,8,6
CRCR3,A,H,1,May,2004,G,2,8,7
LEDED,A,H,1,May,2004,G,2,10,1
MAFE,A,H,1,May,2004,G,2,10,1
APRAH,P,H,1,May,2004,G,2,10,3
ASNU4,A,H,1,May,2004,G,2,10,4
CRCR3,A,H,1,May,2004,G,2,10,4
PLPA2,A,H,1,May,2004,G,2,10,6
LEDED,A,H,1,May,2004,G,2,12,2
ASNU4,A,H,1,May,2004,G,2,12,5
CRCR3,A,H,1,May,2004,G,2,12,5
PLPA2,A,H,1,May,2004,G,2,12,10
ASNU4,A,H,1,May,2004,G,2,18,1
CRCR3,A,H,1,May,2004,G,2,18,2
PLPA2,A,H,1,May,2004,G,2,18,6
APRAH,P,H,1,May,2004,G,2,20,1
CRCR3,A,H,1,May,2004,G,2,20,2
SOEL,P,H,1,May,2004,G,2,20,2
HOGL2,P,H,1,May,2004,G,2,20,6
PLPA2,A,H,1,May,2004,G,2,20,30
ASNU4,A,H,1,May,2004,G,2,22,1
SOEL,P,H,1,May,2004,G,2,22,1
CRCR3,A,H,1,May,2004,G,2,22,2
PLPA2,A,H,1,May,2004,G,2,22,25
ASNU4,A,H,1,May,2004,G,2,24,1
CRCR3,A,H,1,May,2004,G,2,24,1
PLPA2,A,H,1,May,2004,G,2,24,25
APRAH,P,H,1,May,2004,G,2,30,1
PLPA2,A,H,1,May,2004,G,2,30,20
LEDED,A,H,1,May,2004,G,2,30,1
ASNU4,A,H,1,May,2004,G,2,30,3
AMCH3,P,H,1,May,2004,G,2,32,1
ASNU4,A,H,1,May,2004,G,2,32,1
CRCR3,A,H,1,May,2004,G,2,32,3
PLPA2,A,H,1,May,2004,G,2,32,15
CRCR3,A,H,1,May,2004,G,2,34,1
PLPA2,A,H,1,May,2004,G,2,34,6
ASNU4,A,H,1,May,2004,G,2,36,2
CRCR3,A,H,1,May,2004,G,2,36,2
SOEL,P,H,1,May,2004,G,2,36,2
PLPA2,A,H,1,May,2004,G,2,36,6
APRAH,P,H,1,May,2004,G,2,42,1
ASNU4,A,H,1,May,2004,G,2,42,2
CRCR3,A,H,1,May,2004,G,2,42,2
PLPA2,A,H,1,May,2004,G,2,42,20
ASNU4,A,H,1,May,2004,G,2,44,2
CRCR3,A,H,1,May,2004,G,2,44,2
PLPA2,A,H,1,May,2004,G,2,44,40
ASNU4,A,H,1,May,2004,G,2,46,1
CHLA10,A,H,1,May,2004,G,2,46,2
CRCR3,A,H,1,May,2004,G,2,46,3
PLPA2,A,H,1,May,2004,G,2,46,10
ASNU4,A,H,1,May,2004,G,2,48,1
CRCR3,A,H,1,May,2004,G,2,48,1
OECAC2,P,H,1,May,2004,G,2,48,1
APRAH,P,H,1,May,2004,G,2,48,2
HOGL2,P,H,1,May,2004,G,2,48,2
PLPA2,A,H,1,May,2004,G,2,48,20
APRAH,P,H,1,May,2004,G,2,54,1
ASNU4,A,H,1,May,2004,G,2,54,1
LEDED,A,H,1,May,2004,G,2,54,1
CRCR3,A,H,1,May,2004,G,2,54,2
PLPA2,A,H,1,May,2004,G,2,54,4
CRCR3,A,H,1,May,2004,G,2,56,1
ASNU4,A,H,1,May,2004,G,2,56,2
PLPA2,A,H,1,May,2004,G,2,56,3
CRCR3,A,H,1,May,2004,G,2,58,6
APRAH,P,H,1,May,2004,G,2,58,8
PLPA2,A,H,1,May,2004,G,2,58,10
CHLA10,A,H,1,May,2004,G,2,60,2
ASNU4,A,H,1,May,2004,G,2,60,3
ERDI2,A,H,1,May,2004,G,2,60,3
PLPA2,A,H,1,May,2004,G,2,60,10
OECAC2,P,H,1,May,2004,G,2,66,1
ASMIM,P,H,1,May,2004,G,2,66,2
APRAH,P,H,1,May,2004,G,2,66,3
ASNU4,A,H,1,May,2004,G,2,66,4
CRCR3,A,H,1,May,2004,G,2,66,4
PLPA2,A,H,1,May,2004,G,2,66,15
ASNU4,A,H,1,May,2004,G,2,68,2
CRCR3,A,H,1,May,2004,G,2,68,2
PHIN,A,H,1,May,2004,G,2,68,2
APRAH,P,H,1,May,2004,G,2,68,4
PLPA2,A,H,1,May,2004,G,2,68,8
ASNU4,A,H,1,May,2004,G,2,70,1
CHLA10,A,H,1,May,2004,G,2,70,3
CRCR3,A,H,1,May,2004,G,2,70,3
PHIN,A,H,1,May,2004,G,2,70,5
PLPA2,A,H,1,May,2004,G,2,70,8
ASNU4,A,H,1,May,2004,G,2,72,1
CRCR3,A,H,1,May,2004,G,2,72,2
HOGL2,P,H,1,May,2004,G,2,72,3
PHIN,A,H,1,May,2004,G,2,72,3
PLPA2,A,H,1,May,2004,G,2,72,6
CHLA10,A,H,1,May,2004,G,2,72,15
CHLA10,A,H,1,May,2004,G,2,78,1
CRCR3,A,H,1,May,2004,G,2,78,1
APRAH,P,H,1,May,2004,G,2,78,2
LEDED,A,H,1,May,2004,G,2,78,2
OECAC2,P,H,1,May,2004,G,2,78,2
ASNU4,A,H,1,May,2004,G,2,78,8
PLPA2,A,H,1,May,2004,G,2,78,10
CRCR3,A,H,1,May,2004,G,2,80,1
SOEL,P,H,1,May,2004,G,2,80,1
LEDED,A,H,1,May,2004,G,2,80,2
ASNU4,A,H,1,May,2004,G,2,80,1
APRAH,P,H,1,May,2004,G,2,80,5
CHLA10,A,H,1,May,2004,G,2,80,7
PLPA2,A,H,1,May,2004,G,2,80,7
CHLA10,A,H,1,May,2004,G,2,82,1
ASMIM,P,H,1,May,2004,G,2,82,4
CRCR3,A,H,1,May,2004,G,2,82,5
APRAH,P,H,1,May,2004,G,2,82,6
ASNU4,A,H,1,May,2004,G,2,82,6
PLPA2,A,H,1,May,2004,G,2,82,7
CRCR3,A,H,1,May,2004,G,2,84,1
ASMIM,P,H,1,May,2004,G,2,84,4
PHIN,A,H,1,May,2004,G,2,84,4
PLPA2,A,H,1,May,2004,G,2,84,5
CRCR3,A,H,1,May,2004,G,2,90,3
ASMIM,P,H,1,May,2004,G,2,90,2
APRAH,P,H,1,May,2004,G,2,90,1
ASNU4,A,H,1,May,2004,G,2,90,4
PLPA2,A,H,1,May,2004,G,2,90,15
OECAC2,P,H,1,May,2004,G,2,92,1
APRAH,P,H,1,May,2004,G,2,92,2
CRCR3,A,H,1,May,2004,G,2,92,3
ASNU4,A,H,1,May,2004,G,2,92,4
PLPA2,A,H,1,May,2004,G,2,92,10
ASNU4,A,H,1,May,2004,G,2,94,1
LEDED,A,H,1,May,2004,G,2,94,1
PHIN,A,H,1,May,2004,G,2,94,1
CRCR3,A,H,1,May,2004,G,2,94,3
PLPA2,A,H,1,May,2004,G,2,94,10
PLPA2,A,H,1,May,2004,G,2,96,3
CRCR3,A,H,1,May,2004,G,2,102,1
ASNU4,A,H,1,May,2004,G,2,102,2
CHLA10,A,H,1,May,2004,G,2,102,4
PLPA2,A,H,1,May,2004,G,2,102,5
APRAH,P,H,1,May,2004,G,2,104,1
ASNU4,A,H,1,May,2004,G,2,104,1
LEDED,A,H,1,May,2004,G,2,104,3
CRCR3,A,H,1,May,2004,G,2,104,4
PLPA2,A,H,1,May,2004,G,2,104,4
DEPI,A,H,1,May,2004,G,2,106,1
ASNU4,A,H,1,May,2004,G,2,106,4
CRCR3,A,H,1,May,2004,G,2,106,6
PLPA2,A,H,1,May,2004,G,2,106,10
LEDED,A,H,1,May,2004,G,2,108,2
DEPI,A,H,1,May,2004,G,2,108,5
PLPA2,A,H,1,May,2004,G,2,108,5
OECAC2,P,H,1,May,2004,G,2,108,40
CRCR3,A,H,1,May,2004,G,2,114,1
HOGL2,P,H,1,May,2004,G,2,114,1
LEDED,A,H,1,May,2004,G,2,114,1
ASNU4,A,H,1,May,2004,G,2,114,2
CHLA10,A,H,1,May,2004,G,2,114,2
PLPA2,A,H,1,May,2004,G,2,114,10
CRCR3,A,H,1,May,2004,G,2,116,1
HOGL2,P,H,1,May,2004,G,2,116,3
APRAH,P,H,1,May,2004,G,2,116,5
ASNU4,A,H,1,May,2004,G,2,116,5
PLPA2,A,H,1,May,2004,G,2,116,10
DEPI,A,H,1,May,2004,G,2,118,1
OECAC2,P,H,1,May,2004,G,2,118,1
ASNU4,A,H,1,May,2004,G,2,118,2
CRCR3,A,H,1,May,2004,G,2,118,4
PLPA2,A,H,1,May,2004,G,2,118,20
LEDED,A,H,1,May,2004,G,2,120,2
PLPA2,A,H,1,May,2004,G,2,120,7
CRCR3,A,H,1,May,2004,G,2,126,1
PLPA2,A,H,1,May,2004,G,2,126,5
ASNU4,A,H,1,May,2004,G,2,126,10
GLBI2,B,H,1,May,2004,G,2,128,1
LEDED,A,H,1,May,2004,G,2,128,1
CRCR3,A,H,1,May,2004,G,2,128,2
APRAH,P,H,1,May,2004,G,2,128,4
ASNU4,A,H,1,May,2004,G,2,128,4
PLPA2,A,H,1,May,2004,G,2,128,5
APRAH,P,H,1,May,2004,G,2,130,2
ASNU4,A,H,1,May,2004,G,2,130,2
CRCR3,A,H,1,May,2004,G,2,130,2
PLPA2,A,H,1,May,2004,G,2,130,4
APRAH,P,H,1,May,2004,G,2,132,2
LEDED,A,H,1,May,2004,G,2,132,2
OECAC2,P,H,1,May,2004,G,2,132,3
ASNU4,A,H,1,May,2004,G,2,132,4
PLPA2,A,H,1,May,2004,G,2,132,5
CRCR3,A,H,1,May,2004,G,2,132,8
APRAH,P,H,1,May,2004,G,2,138,3
CHLA10,A,H,1,May,2004,G,2,138,3
ASNU4,A,H,1,May,2004,G,2,138,4
CRCR3,A,H,1,May,2004,G,2,138,4
PLPA2,A,H,1,May,2004,G,2,138,6
AMCH3,P,H,1,May,2004,G,2,140,1
CRCR3,A,H,1,May,2004,G,2,140,1
SPHA,P,H,1,May,2004,G,2,140,1
HOGL2,P,H,1,May,2004,G,2,140,2
APRAH,P,H,1,May,2004,G,2,140,3
ASNU4,A,H,1,May,2004,G,2,140,10
PLPA2,A,H,1,May,2004,G,2,140,10
APRAH,P,H,1,May,2004,G,2,142,1
ASNU4,A,H,1,May,2004,G,2,142,1
CRCR3,A,H,1,May,2004,G,2,142,2
LEDED,A,H,1,May,2004,G,2,142,2
PLPA2,A,H,1,May,2004,G,2,142,10
HOGL2,P,H,1,May,2004,G,2,144,6
PLPA2,A,H,1,May,2004,G,2,144,7
LEDED,A,H,1,May,2004,G,3,6,1
APRAH,P,H,1,May,2004,G,3,6,2
ASNU4,A,H,1,May,2004,G,3,6,2
BOBA2,A,G,1,May,2004,G,3,6,4
PLPA2,A,H,1,May,2004,G,3,6,20
ASNU4,A,H,1,May,2004,G,3,8,1
CRCR3,A,H,1,May,2004,G,3,8,1
LEDED,A,H,1,May,2004,G,3,8,2
STPA4,P,H,1,May,2004,G,3,8,5
PLPA2,A,H,1,May,2004,G,3,8,10
BOBA2,A,G,1,May,2004,G,3,10,1
LEDED,A,H,1,May,2004,G,3,10,2
PLPA2,A,H,1,May,2004,G,3,10,15
APRAH,P,H,1,May,2004,G,3,12,3
RUMEX,P,H,1,May,2004,G,3,12,6
PLPA2,A,H,1,May,2004,G,3,12,10
APRAH,P,H,1,May,2004,G,3,18,1
BOBA2,A,G,1,May,2004,G,3,18,1
PLPA2,A,H,1,May,2004,G,3,18,2
SPLE,P,H,1,May,2004,G,3,18,8
CRCR3,A,H,1,May,2004,G,3,20,1
LEDED,A,H,1,May,2004,G,3,20,1
PLPA2,A,H,1,May,2004,G,3,20,5
UNKN4,NA,NA,1,May,2004,G,3,20,1
CHLA10,A,H,1,May,2004,G,3,20,6
ERDI2,A,H,1,May,2004,G,3,22,1
PLPA2,A,H,1,May,2004,G,3,22,2
ASNU4,A,H,1,May,2004,G,3,22,1
ERWR,P,H,1,May,2004,G,3,22,4
ASNU4,A,H,1,May,2004,G,3,24,1
BOBA2,A,G,1,May,2004,G,3,24,1
APRAH,P,H,1,May,2004,G,3,24,3
CRCR3,A,H,1,May,2004,G,3,24,6
PLPA2,A,H,1,May,2004,G,3,24,8
ASNU4,A,H,1,May,2004,G,3,30,2
PLPA2,A,H,1,May,2004,G,3,30,5
GACO5,P,H,1,May,2004,G,3,30,6
BOBA2,A,G,1,May,2004,G,3,32,1
ERDI2,A,H,1,May,2004,G,3,32,1
OECAC2,P,H,1,May,2004,G,3,32,1
SOEL,P,H,1,May,2004,G,3,32,1
LEDED,A,H,1,May,2004,G,3,32,2
APRAH,P,H,1,May,2004,G,3,32,3
ASNU4,A,H,1,May,2004,G,3,32,4
CRCR3,A,H,1,May,2004,G,3,32,7
PLPA2,A,H,1,May,2004,G,3,32,15
SOEL,P,H,1,May,2004,G,3,34,1
CRCR3,A,H,1,May,2004,G,3,34,2
LEDED,A,H,1,May,2004,G,3,34,2
PLPA2,A,H,1,May,2004,G,3,34,15
CRCR3,A,H,1,May,2004,G,3,36,1
LEDED,A,H,1,May,2004,G,3,36,1
PLPA2,A,H,1,May,2004,G,3,36,15
ASNU4,A,H,1,May,2004,G,3,42,2
CRCR3,A,H,1,May,2004,G,3,42,3
APRAH,P,H,1,May,2004,G,3,42,5
BOBA2,A,G,1,May,2004,G,3,42,5
PLPA2,A,H,1,May,2004,G,3,42,7
APRAH,P,H,1,May,2004,G,3,44,1
BOBA2,A,G,1,May,2004,G,3,44,1
CRCR3,A,H,1,May,2004,G,3,44,1
ERDI2,A,H,1,May,2004,G,3,44,1
MIAL4,P,H,1,May,2004,G,3,44,2
PLPA2,A,H,1,May,2004,G,3,44,10
BOBA2,A,G,1,May,2004,G,3,46,1
LEDED,A,H,1,May,2004,G,3,46,1
CRCR3,A,H,1,May,2004,G,3,46,4
APRAH,P,H,1,May,2004,G,3,46,5
PLPA2,A,H,1,May,2004,G,3,46,8
PLPA2,A,H,1,May,2004,G,3,48,10
ERDI2,A,H,1,May,2004,G,3,54,1
MAPIP,P,H,1,May,2004,G,3,54,1
ASNU4,A,H,1,May,2004,G,3,54,2
PLPA2,A,H,1,May,2004,G,3,54,20
APRAH,P,H,1,May,2004,G,3,56,1
STPA4,P,H,1,May,2004,G,3,56,2
PLPA2,A,H,1,May,2004,G,3,56,15
APRAH,P,H,1,May,2004,G,3,58,1
LEDED,A,H,1,May,2004,G,3,58,1
SPHA,P,H,1,May,2004,G,3,58,1
PLPA2,A,H,1,May,2004,G,3,58,7
LEDED,A,H,1,May,2004,G,3,60,2
OECAC2,P,H,1,May,2004,G,3,60,2
PLPA2,A,H,1,May,2004,G,3,60,6
APRAH,P,H,1,May,2004,G,3,60,10
ASNU4,A,H,1,May,2004,G,3,66,2
CRCR3,A,H,1,May,2004,G,3,66,5
PLPA2,A,H,1,May,2004,G,3,66,10
APRAH,P,H,1,May,2004,G,3,66,4
BOBA2,A,G,1,May,2004,G,3,68,1
LEDED,A,H,1,May,2004,G,3,68,3
APRAH,P,H,1,May,2004,G,3,68,4
OECAC2,P,H,1,May,2004,G,3,68,5
CRCR3,A,H,1,May,2004,G,3,68,8
PLPA2,A,H,1,May,2004,G,3,68,15
CRCR3,A,H,1,May,2004,G,3,70,1
OECAC2,P,H,1,May,2004,G,3,70,1
CHLA10,A,H,1,May,2004,G,3,70,4
PLPA2,A,H,1,May,2004,G,3,70,5
APRAH,P,H,1,May,2004,G,3,70,6
APRAH,P,H,1,May,2004,G,3,72,1
ASNU4,A,H,1,May,2004,G,3,72,4
PLPA2,A,H,1,May,2004,G,3,72,35
CRCR3,A,H,1,May,2004,G,3,78,1
ERDI2,A,H,1,May,2004,G,3,78,1
APRAH,P,H,1,May,2004,G,3,78,2
PLPA2,A,H,1,May,2004,G,3,78,15
ERDI2,A,H,1,May,2004,G,3,80,1
CRCR3,A,H,1,May,2004,G,3,80,2
LEDED,A,H,1,May,2004,G,3,80,2
ASNU4,A,H,1,May,2004,G,3,80,1
PLPA2,A,H,1,May,2004,G,3,80,15
APRAH,P,H,1,May,2004,G,3,82,1
LEDED,A,H,1,May,2004,G,3,82,1
AMCH3,P,H,1,May,2004,G,3,82,2
BOBA2,A,G,1,May,2004,G,3,82,2
CRCR3,A,H,1,May,2004,G,3,82,2
PLPA2,A,H,1,May,2004,G,3,82,25
ASNU4,A,H,1,May,2004,G,3,84,1
BOBA2,A,G,1,May,2004,G,3,84,2
CRCR3,A,H,1,May,2004,G,3,84,2
PLPA2,A,H,1,May,2004,G,3,84,15
ASNU4,A,H,1,May,2004,G,3,90,1
PLPA2,A,H,1,May,2004,G,3,90,8
CRCR3,A,H,1,May,2004,G,3,92,2
PLPA2,A,H,1,May,2004,G,3,92,2
APRAH,P,H,1,May,2004,G,3,92,10
LEDED,A,H,1,May,2004,G,3,94,1
MAFE,A,H,1,May,2004,G,3,94,1
CRCR3,A,H,1,May,2004,G,3,94,2
PLPA2,A,H,1,May,2004,G,3,94,4
CRCR3,A,H,1,May,2004,G,3,96,1
PLPA2,A,H,1,May,2004,G,3,96,1
APRAH,P,H,1,May,2004,G,3,96,15
APRAH,P,H,1,May,2004,G,3,102,5
CRCR3,A,H,1,May,2004,G,3,102,5
LEDED,A,H,1,May,2004,G,3,102,5
PLPA2,A,H,1,May,2004,G,3,102,10
AMCH3,P,H,1,May,2004,G,3,104,1
LEDED,A,H,1,May,2004,G,3,104,1
APRAH,P,H,1,May,2004,G,3,104,4
CRCR3,A,H,1,May,2004,G,3,104,4
PLPA2,A,H,1,May,2004,G,3,104,40
APRAH,P,H,1,May,2004,G,3,106,1
LEDED,A,H,1,May,2004,G,3,106,1
MAFE,A,H,1,May,2004,G,3,106,1
CRCR3,A,H,1,May,2004,G,3,106,2
CHLA10,A,H,1,May,2004,G,3,106,5
PLPA2,A,H,1,May,2004,G,3,106,10
CRCR3,A,H,1,May,2004,G,3,108,1
PLPA2,A,H,1,May,2004,G,3,108,4
APRAH,P,H,1,May,2004,G,3,114,1
CRCR3,A,H,1,May,2004,G,3,114,1
LEDED,A,H,1,May,2004,G,3,114,1
PLPA2,A,H,1,May,2004,G,3,114,1
APRAH,P,H,1,May,2004,G,3,116,1
ERDI2,A,H,1,May,2004,G,3,116,1
ASNU4,A,H,1,May,2004,G,3,116,3
CRCR3,A,H,1,May,2004,G,3,116,15
PLPA2,A,H,1,May,2004,G,3,116,15
DEPI,A,H,1,May,2004,G,3,118,2
CRCR3,A,H,1,May,2004,G,3,118,3
PLPA2,A,H,1,May,2004,G,3,118,6
AMCH3,P,H,1,May,2004,G,3,120,1
ASNU4,A,H,1,May,2004,G,3,120,1
ERDI2,A,H,1,May,2004,G,3,126,2
MAFE,A,H,1,May,2004,G,3,126,2
APRAH,P,H,1,May,2004,G,3,126,4
ASNU4,A,H,1,May,2004,G,3,126,5
CRCR3,A,H,1,May,2004,G,3,126,7
LEDED,A,H,1,May,2004,G,3,126,8
PLPA2,A,H,1,May,2004,G,3,126,10
AMCH3,P,H,1,May,2004,G,3,128,1
APRAH,P,H,1,May,2004,G,3,128,2
ASNU4,A,H,1,May,2004,G,3,128,2
CRCR3,A,H,1,May,2004,G,3,128,2
GACO5,P,H,1,May,2004,G,3,128,6
PLPA2,A,H,1,May,2004,G,3,128,35
CRCR3,A,H,1,May,2004,G,3,130,1
PLPA2,A,H,1,May,2004,G,3,130,1
CRCR3,A,H,1,May,2004,G,3,132,15
PLPA2,A,H,1,May,2004,G,3,132,15
APRAH,P,H,1,May,2004,G,3,132,20
ASNU4,A,H,1,May,2004,G,3,138,2
CRCR3,A,H,1,May,2004,G,3,138,4
OECAC2,P,H,1,May,2004,G,3,138,4
LEDED,A,H,1,May,2004,G,3,138,6
PLPA2,A,H,1,May,2004,G,3,138,6
ERDI2,A,H,1,May,2004,G,3,140,1
LEDED,A,H,1,May,2004,G,3,140,1
