year,season,date,site,treatment,quad,species,obs,cover,height,count,comment
2004,2,5/3/2004,G,B,6,PHIN,1,0.5,6,1,NA
2004,2,5/3/2004,G,B,6,SOEL,1,0.1,3,1,NA
2004,2,5/3/2004,G,B,6,SOEL,2,0.5,4,1,NA
2004,2,5/3/2004,G,B,6,SPFL2,1,0.5,4,1,WAS_SPFL2
2004,2,5/3/2004,G,B,6,SPFL2,2,0.25,3,1,WAS_SPFL2
2004,2,5/3/2004,G,B,7,ASNU4,1,0.1,4,1,NA
2004,2,5/3/2004,G,B,7,BOER4,1,0.5,4,1,NA
2004,2,5/3/2004,G,B,7,BOER4,2,0.1,3,3,NA
2004,2,5/3/2004,G,B,7,BOER4,3,0.05,2,9,NA
2004,2,5/3/2004,G,B,7,BOER4,4,0.01,2,3,NA
2004,2,5/3/2004,G,B,7,CRCR3,1,2.5,13,1,NA
2004,2,5/3/2004,G,B,7,CRCR3,2,1.5,12,3,NA
2004,2,5/3/2004,G,B,7,CRCR3,3,0.75,9,3,NA
2004,2,5/3/2004,G,B,7,CRCR3,4,0.1,5,1,NA
2004,2,5/3/2004,G,B,7,OECA10,1,1.5,9,1,NA
2004,2,5/3/2004,G,B,7,PHIN,1,2,13,1,NA
2004,2,5/3/2004,G,B,7,PHIN,2,1.5,12,2,NA
2004,2,5/3/2004,G,B,7,PHIN,3,1,10,1,NA
2004,2,5/3/2004,G,B,7,PLPA2,1,0.25,7,1,NA
2004,2,5/3/2004,G,B,7,SOEL,1,0.25,5,1,NA
2004,2,5/3/2004,G,B,7,SPFL2,1,0.75,14,1,WAS_SPFL2
2004,2,5/3/2004,G,B,7,SPFL2,2,0.5,7,2,WAS_SPFL2
2004,2,5/3/2004,G,B,7,SPFL2,3,1,6,2,WAS_SPFL2
2004,2,5/3/2004,G,B,7,SPPO6,1,2.5,25,1,NA
2004,2,5/3/2004,G,B,8,BOER4,1,0.1,4,2,NA
2004,2,5/3/2004,G,B,8,BOER4,2,0.05,3,3,NA
2004,2,5/3/2004,G,B,8,BOER4,3,0.01,2,4,NA
2004,2,5/3/2004,G,B,8,CRCR3,1,2.5,12,1,NA
2004,2,5/3/2004,G,B,8,CRCR3,2,1,8,1,NA
2004,2,5/3/2004,G,B,8,CRCR3,3,0.5,6,1,NA
2004,2,5/3/2004,G,B,8,CRCR3,4,0.25,4,1,NA
2004,2,5/3/2004,G,B,8,CRCR3,5,0.1,3,2,NA
2004,2,5/3/2004,G,B,8,CYACF,1,1,5,1,NA
2004,2,5/3/2004,G,B,8,CYACF,2,1.5,4,1,NA
2004,2,5/3/2004,G,B,8,PHIN,1,5,22,2,NA
2004,2,5/3/2004,G,B,8,PHIN,2,4,23,5,NA
2004,2,5/3/2004,G,B,8,PHIN,3,1,18,2,NA
2004,2,5/3/2004,G,B,8,PHIN,4,3,21,1,NA
2004,2,5/3/2004,G,B,8,SOEL,1,0.25,5,2,NA
2004,2,5/3/2004,G,B,8,SPFL2,1,1,9,1,WAS_SPFL2
2004,2,5/3/2004,G,B,8,SPFL2,2,0.25,4,3,WAS_SPFL2
2004,2,5/3/2004,G,B,8,SPFL2,3,0.5,3,2,WAS_SPFL2
2004,2,5/3/2004,G,B,9,BOER4,1,0.05,3,2,NA
2004,2,5/3/2004,G,B,9,CRCR3,1,0.5,8,1,NA
2004,2,5/3/2004,G,B,9,CRCR3,2,4,10,2,NA
2004,2,5/3/2004,G,B,9,DEPI,1,0.75,19,1,NA
2004,2,5/3/2004,G,B,9,MAFE,1,0.5,3,1,NA
2004,2,5/3/2004,G,B,9,NAHI,1,1.5,6,1,NA
2004,2,5/3/2004,G,B,9,NAHI,2,0.5,4,1,NA
2004,2,5/3/2004,G,B,9,OECA10,1,3,11,1,NA
2004,2,5/3/2004,G,B,9,OECA10,2,0.75,2,1,NA
2004,2,5/3/2004,G,B,9,PHIN,1,4.5,19,1,NA
2004,2,5/3/2004,G,B,9,PLPA2,1,0.25,4,1,NA
2004,2,5/3/2004,G,B,9,SPFL2,1,0.25,4,2,WAS_SPFL2
2004,2,5/3/2004,G,B,9,SPFL2,2,0.1,2,4,WAS_SPFL2
2004,2,5/3/2004,G,B,9,SPFL2,3,0.05,2,10,WAS_SPFL2
2004,2,5/3/2004,G,B,9,SPFL2,4,0.01,2,2,WAS_SPFL2
2004,2,5/3/2004,G,B,10,BOER4,1,0.5,4,2,NA
2004,2,5/3/2004,G,B,10,BOER4,2,0.1,3,4,NA
2004,2,5/3/2004,G,B,10,BOER4,3,0.01,2,3,NA
2004,2,5/3/2004,G,B,10,CRCR3,1,3,10,2,NA
2004,2,5/3/2004,G,B,10,CRCR3,2,1.5,9,2,NA
2004,2,5/3/2004,G,B,10,CRCR3,3,1,10,1,NA
2004,2,5/3/2004,G,B,10,CRCR3,4,0.5,8,2,NA
2004,2,5/3/2004,G,B,10,CRCR3,5,0.25,6,3,NA
2004,2,5/3/2004,G,B,10,CYACF,1,1,4,1,NA
2004,2,5/3/2004,G,B,10,CYACF,2,0.1,3,1,NA
2004,2,5/3/2004,G,B,10,DEPI,1,0.5,14,2,NA
2004,2,5/3/2004,G,B,10,DEPI,2,1,15,1,NA
2004,2,5/3/2004,G,B,10,GUSA2,1,0.1,3,1,NA
2004,2,5/3/2004,G,B,10,PLJA,1,0.1,4,3,NA
2004,2,5/3/2004,G,B,10,PLPA2,1,0.01,3,2,NA
2004,2,5/3/2004,G,B,10,PLPA2,2,0.1,4,3,NA
2004,2,5/3/2004,G,B,10,SOEL,1,0.1,4,1,NA
2004,2,5/3/2004,G,B,10,SPFL2,1,0.75,5,1,WAS_SPFL2
2004,2,5/3/2004,G,B,10,SPFL2,2,3,20,1,WAS_SPFL2
2004,2,5/3/2004,G,B,11,ASNU4,1,0.75,4,1,NA
2004,2,5/3/2004,G,B,11,BOER4,1,0.75,4,1,NA
2004,2,5/3/2004,G,B,11,BOER4,2,0.1,2,2,NA
2004,2,5/3/2004,G,B,11,BOER4,3,0.05,2,1,NA
2004,2,5/3/2004,G,B,11,BOER4,4,0.01,1,1,NA
2004,2,5/3/2004,G,B,11,BOER4,5,0.5,4,1,NA
2004,2,5/3/2004,G,B,11,BOER4,6,0.25,3,4,NA
2004,2,5/3/2004,G,B,11,CRCR3,1,1.5,6,1,NA
2004,2,5/3/2004,G,B,11,CRCR3,2,0.25,5,2,NA
2004,2,5/3/2004,G,B,11,CYACF,1,2,4,1,NA
2004,2,5/3/2004,G,B,11,CYACF,2,1.5,4,2,NA
2004,2,5/3/2004,G,B,11,SPFL2,1,2.5,16,1,WAS_SPFL2
2004,2,5/3/2004,G,B,11,SPFL2,2,1.5,11,3,WAS_SPFL2
2004,2,5/3/2004,G,B,11,SPFL2,3,0.5,5,6,WAS_SPFL2
2004,2,5/3/2004,G,B,11,SPFL2,4,0.1,3,2,WAS_SPFL2
2004,2,5/3/2004,G,B,11,SPFL2,5,0.05,2,2,WAS_SPFL2
2004,2,5/3/2004,G,B,12,BOER4,1,0.5,4,1,NA
2004,2,5/3/2004,G,B,12,BOER4,2,0.05,2,3,NA
2004,2,5/3/2004,G,B,12,BOER4,3,0.1,4,1,NA
2004,2,5/3/2004,G,B,12,CRCR3,1,0.25,5,2,NA
2004,2,5/3/2004,G,B,12,CRCR3,2,0.5,6,1,NA
2004,2,5/3/2004,G,B,12,CRCR3,3,0.75,5,1,NA
2004,2,5/3/2004,G,B,12,CYACF,1,1.5,3,2,NA
2004,2,5/3/2004,G,B,12,CYACF,2,0.75,3,1,NA
2004,2,5/3/2004,G,B,12,DEPI,1,0.5,14,1,NA
2004,2,5/3/2004,G,B,12,OECA10,1,1.5,5,3,NA
2004,2,5/3/2004,G,B,12,OECA10,2,0.75,6,3,NA
2004,2,5/3/2004,G,B,12,OECA10,3,0.5,5,2,NA
2004,2,5/3/2004,G,B,12,OECA10,4,1,6,1,NA
2004,2,5/3/2004,G,B,12,OECA10,5,6,8,1,NA
2004,2,5/3/2004,G,B,12,PHIN,1,1,7,1,NA
2004,2,5/3/2004,G,B,12,PLPA2,1,0.25,6,1,NA
2004,2,5/3/2004,G,B,12,SOEL,1,0.25,5,5,NA
2004,2,5/3/2004,G,B,12,SOEL,2,0.5,5,1,NA
2004,2,5/3/2004,G,B,12,SPFL2,1,0.5,5,5,WAS_SPFL2
2004,2,5/3/2004,G,B,12,SPFL2,2,0.05,2,1,WAS_SPFL2
2004,2,5/3/2004,G,B,12,SPPO6,1,0.5,4,2,NA
2004,2,5/3/2004,G,B,13,BOER4,1,0.1,3,3,NA
2004,2,5/3/2004,G,B,13,BOER4,2,0.05,2,5,NA
2004,2,5/3/2004,G,B,13,CRCR3,1,1.5,8,2,NA
2004,2,5/3/2004,G,B,13,CRCR3,2,1,8,2,NA
2004,2,5/3/2004,G,B,13,CRCR3,3,0.75,6,2,NA
2004,2,5/3/2004,G,B,13,CRCR3,4,0.25,5,6,NA
2004,2,5/3/2004,G,B,13,CRCR3,5,0.1,3,3,NA
2004,2,5/3/2004,G,B,13,CRCR3,6,0.5,5,2,NA
2004,2,5/3/2004,G,B,13,DEPI,1,1,11,1,NA
2004,2,5/3/2004,G,B,13,DEPI,2,0.5,11,1,NA
2004,2,5/3/2004,G,B,13,EUEX4,1,0.01,2,1,NA
2004,2,5/3/2004,G,B,13,PLPA2,1,0.5,6,1,NA
2004,2,5/3/2004,G,B,13,SOEL,1,0.5,6,1,NA
2004,2,5/3/2004,G,B,13,SOEL,2,0.05,2,1,NA
2004,2,5/3/2004,G,B,13,SPCO4,1,2.5,15,1,WAS_SPCO4
2004,2,5/3/2004,G,B,13,SPCO4,2,0.25,4,1,WAS_SPCO4
2004,2,5/3/2004,G,B,13,SPCO4,3,0.1,3,1,WAS_SPCO4
2004,2,5/3/2004,G,B,13,SPPO6,1,0.75,12,1,NA
2004,2,5/3/2004,G,B,13,SPPO6,2,1,8,1,NA
2004,2,5/3/2004,G,B,13,TOAN,1,0.75,3,1,NA
2004,2,5/3/2004,G,B,13,TOAN,2,1.5,7,1,NA
2004,2,5/3/2004,G,B,13,TOAN,3,1,4,2,NA
2004,2,5/3/2004,G,B,14,ASNU4,1,2,10,1,NA
2004,2,5/3/2004,G,B,14,BOER4,1,0.25,4,6,NA
2004,2,5/3/2004,G,B,14,CRCR3,1,2.5,13,1,NA
2004,2,5/3/2004,G,B,14,CRCR3,2,1.5,15,2,NA
2004,2,5/3/2004,G,B,14,CRCR3,3,2,13,1,NA
2004,2,5/3/2004,G,B,14,CRCR3,4,0.5,6,2,NA
2004,2,5/3/2004,G,B,14,CRCR3,5,0.1,6,4,NA
2004,2,5/3/2004,G,B,14,HYFIC,1,1.5,34,1,NA
2004,2,5/3/2004,G,B,14,OECA10,1,0.1,2,1,NA
2004,2,5/3/2004,G,B,14,OECA10,2,0.75,6,1,NA
2004,2,5/3/2004,G,B,14,OECA10,3,0.25,4,1,NA
2004,2,5/3/2004,G,B,14,OECA10,4,1,10,1,NA
2004,2,5/3/2004,G,B,14,OECA10,5,3.5,6,1,NA
2004,2,5/3/2004,G,B,14,OECA10,6,5,7,1,NA
2004,2,5/3/2004,G,B,14,PHIN,1,0.05,2,1,NA
2004,2,5/3/2004,G,B,14,PHIN,2,2.5,14,2,NA
2004,2,5/3/2004,G,B,14,SPFL2,1,1.5,9,1,WAS_SPFL2
2004,2,5/3/2004,G,B,14,SPFL2,2,0.05,2,3,WAS_SPFL2
2004,2,5/3/2004,G,B,14,SPFL2,3,0.01,1,1,WAS_SPFL2
2004,2,5/3/2004,G,B,15,BOER4,1,0.1,3,1,NA
2004,2,5/3/2004,G,B,15,BOER4,2,0.05,2,1,NA
2004,2,5/3/2004,G,B,15,CRCR3,1,1,4,5,NA
2004,2,5/3/2004,G,B,15,CRCR3,2,0.75,12,2,NA
2004,2,5/3/2004,G,B,15,CRCR3,3,0.5,10,4,NA
2004,2,5/3/2004,G,B,15,CRCR3,4,0.1,2,1,NA
2004,2,5/3/2004,G,B,15,CRCR3,5,0.01,1,2,NA
2004,2,5/3/2004,G,B,15,DAPU7,1,0.01,1,1,NA
2004,2,5/3/2004,G,B,15,OECA10,1,5,12,1,NA
2004,2,5/3/2004,G,B,15,SPFL2,1,0.1,3,1,WAS_SPFL2
2004,2,5/3/2004,G,B,15,SPFL2,2,0.05,2,3,WAS_SPFL2
2004,2,5/3/2004,G,B,15,SPFL2,3,0.01,2,2,WAS_SPFL2
2004,2,5/3/2004,G,B,16,ASMIM,1,1.5,12,1,NA
2004,2,5/3/2004,G,B,16,ASNU4,1,0.25,2,1,NA
2004,2,5/3/2004,G,B,16,BOER4,1,0.5,5,1,NA
2004,2,5/3/2004,G,B,16,BOER4,2,0.25,4,1,NA
2004,2,5/3/2004,G,B,16,BOER4,3,0.1,4,4,NA
2004,2,5/3/2004,G,B,16,BOER4,4,0.05,3,2,NA
2004,2,5/3/2004,G,B,16,CRCR3,1,2,12,1,NA
2004,2,5/3/2004,G,B,16,CRCR3,2,1,7,2,NA
2004,2,5/3/2004,G,B,16,DEPI,1,0.25,14,1,NA
2004,2,5/3/2004,G,B,16,DEPI,2,0.75,15,1,NA
2004,2,5/3/2004,G,B,16,GUSA2,1,0.05,2,1,NA
2004,2,5/3/2004,G,B,16,OECA10,1,0.75,6,1,NA
2004,2,5/3/2004,G,B,16,SPFL2,1,0.1,2,2,WAS_SPFL2
2004,2,5/3/2004,G,B,16,SPFL2,2,0.01,2,1,WAS_SPFL2
2004,2,5/3/2004,G,B,17,ASMIM,1,0.25,6,1,NA
2004,2,5/3/2004,G,B,17,ASMIM,2,0.1,3,1,NA
2004,2,5/3/2004,G,B,17,ASNU4,1,0.25,6,1,NA
2004,2,5/3/2004,G,B,17,BOER4,1,0.5,5,2,NA
2004,2,5/3/2004,G,B,17,BOER4,2,0.25,5,4,NA
2004,2,5/3/2004,G,B,17,BOER4,3,0.1,3,1,NA
2004,2,5/3/2004,G,B,17,CRCR3,1,1,8,3,NA
2004,2,5/3/2004,G,B,17,CRCR3,2,2.5,13,1,NA
2004,2,5/3/2004,G,B,17,CRCR3,3,0.5,7,1,NA
2004,2,5/3/2004,G,B,17,CRCR3,4,0.25,4,1,NA
2004,2,5/3/2004,G,B,17,DEPI,1,0.1,9,2,NA
2004,2,5/3/2004,G,B,17,DEPI,2,0.5,14,1,NA
2004,2,5/3/2004,G,B,17,GUSA2,1,0.5,6,1,NA
2004,2,5/3/2004,G,B,17,OECA10,1,8,11,1,NA
2004,2,5/3/2004,G,B,17,PLPA2,1,0.5,6,1,NA
2004,2,5/3/2004,G,B,17,SOEL,1,0.25,4,1,NA
2004,2,5/3/2004,G,B,17,SPFL2,1,0.5,13,3,WAS_SPFL2
2004,2,5/3/2004,G,B,17,SPFL2,2,0.25,6,2,WAS_SPFL2
2004,2,5/3/2004,G,B,17,SPFL2,3,0.01,2,4,WAS_SPFL2
2004,2,5/3/2004,G,B,18,CRCR3,1,2.5,11,2,NA
2004,2,5/3/2004,G,B,18,CRCR3,2,1,10,6,NA
2004,2,5/3/2004,G,B,18,CRCR3,3,0.75,10,5,NA
2004,2,5/3/2004,G,B,18,CRCR3,4,0.5,9,9,NA
2004,2,5/3/2004,G,B,18,CRCR3,5,0.25,7,9,NA
2004,2,5/3/2004,G,B,18,CRCR3,6,0.1,4,4,NA
2004,2,5/3/2004,G,B,18,CRCR3,7,0.05,3,2,NA
2004,2,5/3/2004,G,B,18,DEPI,1,0.5,9,1,NA
2004,2,5/3/2004,G,B,18,DEPI,2,0.25,8,1,NA
2004,2,5/3/2004,G,B,18,DEPI,3,0.1,5,3,NA
2004,2,5/3/2004,G,B,18,GUSA2,1,0.05,3,1,NA
2004,2,5/3/2004,G,B,18,PHIN,1,0.5,4,1,NA
2004,2,5/3/2004,G,B,18,PHIN,2,0.25,5,1,NA
2004,2,5/3/2004,G,B,18,PHIN,3,0.1,4,1,NA
2004,2,5/3/2004,G,B,18,SPFL2,1,1,9,1,WAS_SPFL2
2004,2,5/3/2004,G,B,18,SPFL2,2,0.1,3,2,WAS_SPFL2
2004,2,5/3/2004,G,B,18,SPFL2,3,0.5,7,1,WAS_SPFL2
2004,2,5/3/2004,G,B,18,SPPO6,1,1.5,9,1,NA
2004,2,5/3/2004,G,B,18,SPPO6,2,1,15,1,NA
2004,2,5/3/2004,G,B,18,SPPO6,3,0.75,11,1,NA
2004,2,5/3/2004,G,B,18,SPPO6,4,1.5,20,1,NA
2004,2,5/3/2004,G,B,19,BOER4,1,0.5,7,3,NA
2004,2,5/3/2004,G,B,19,BOER4,2,0.25,5,2,NA
2004,2,5/3/2004,G,B,19,BOER4,3,0.1,3,4,NA
2004,2,5/3/2004,G,B,19,BOER4,4,0.05,2,5,NA
2004,2,5/3/2004,G,B,19,BOER4,5,0.01,1,4,NA
2004,2,5/3/2004,G,B,19,CRCR3,1,0.75,6,1,NA
2004,2,5/3/2004,G,B,19,CRCR3,2,0.5,5,1,NA
2004,2,5/3/2004,G,B,19,DEPI,1,3.5,23,1,NA
2004,2,5/3/2004,G,B,19,PEFE,1,0.25,13,1,NA
2004,2,5/3/2004,G,B,19,PLPA2,1,0.25,4,1,NA
2004,2,5/3/2004,G,B,19,SOEL,1,0.5,2,1,NA
2004,2,5/3/2004,G,B,19,SPFL2,1,0.5,5,1,WAS_SPFL2
2004,2,5/3/2004,G,B,19,SPFL2,2,0.1,2,1,WAS_SPFL2
2004,2,5/3/2004,G,B,20,BOER4,1,0.25,5,4,NA
2004,2,5/3/2004,G,B,20,BOER4,2,0.1,3,5,NA
2004,2,5/3/2004,G,B,20,BOER4,3,0.05,2,4,NA
2004,2,5/3/2004,G,B,20,CRCR3,1,1,5,1,NA
2004,2,5/3/2004,G,B,20,CRCR3,2,0.5,6,1,NA
2004,2,5/3/2004,G,B,20,DEPI,1,0.5,13,1,NA
2004,2,5/3/2004,G,B,20,NAHI,1,2.5,6,1,NA
2004,2,5/3/2004,G,B,20,OECA10,1,0.5,4,1,NA
2004,2,5/3/2004,G,B,20,OECA10,2,5,14,2,NA
2004,2,5/3/2004,G,B,20,OECA10,3,3,14,1,NA
2004,2,5/3/2004,G,B,20,OECA10,4,0.25,7,1,NA
2004,2,5/3/2004,G,B,20,PHIN,1,0.75,6,1,NA
2004,2,5/3/2004,G,B,20,PHIN,2,0.5,7,2,NA
2004,2,5/3/2004,G,B,20,PHIN,3,0.25,3,2,NA
2004,2,5/3/2004,G,B,20,PLPA2,1,0.5,5,1,NA
2004,2,5/3/2004,G,B,20,PLPA2,2,0.25,5,2,NA
2004,2,5/3/2004,G,B,20,PLPA2,3,0.1,4,2,NA
2004,2,5/3/2004,G,B,20,SPFL2,1,0.5,5,1,WAS_SPFL2
2004,2,5/3/2004,G,B,20,SPFL2,2,0.1,4,1,WAS_SPFL2
2004,2,5/3/2004,G,B,21,BOER4,1,0.1,3,7,NA
2004,2,5/3/2004,G,B,21,BOER4,2,0.01,1,1,NA
2004,2,5/3/2004,G,B,21,CRCR3,1,2.5,13,2,NA
2004,2,5/3/2004,G,B,21,CRCR3,2,1.5,9,1,NA
2004,2,5/3/2004,G,B,21,CRCR3,3,1,7,2,NA
2004,2,5/3/2004,G,B,21,DEPI,1,2.5,16,1,NA
2004,2,5/3/2004,G,B,21,NAHI,1,0.5,4,1,NA
2004,2,5/3/2004,G,B,21,OECA10,1,0.75,4,1,NA
2004,2,5/3/2004,G,B,21,PHIN,1,1,6,1,NA
2004,2,5/3/2004,G,B,21,PHIN,2,0.1,3,1,NA
2004,2,5/3/2004,G,B,21,PLPA2,1,0.25,8,2,NA
2004,2,5/3/2004,G,B,21,PLPA2,2,0.1,6,3,NA
2004,2,5/3/2004,G,B,21,SOEL,1,0.25,3,2,NA
2004,2,5/3/2004,G,B,21,SOEL,2,0.1,2,1,NA
2004,2,5/3/2004,G,B,21,SPCO4,1,0.25,4,2,WAS_SPCO4
2004,2,5/3/2004,G,B,21,SPCO4,2,0.1,2,4,WAS_SPCO4
2004,2,5/3/2004,G,B,21,SPCO4,3,1,8,1,WAS_SPCO4
2004,2,5/3/2004,G,B,21,SPCO4,4,0.5,7,1,WAS_SPCO4
2004,2,5/3/2004,G,B,21,SPCO4,5,0.05,2,3,WAS_SPCO4
2004,2,5/3/2004,G,B,21,SPCO4,6,0.01,1,1,WAS_SPCO4
2004,2,5/3/2004,G,B,22,BOER4,1,0.5,3,1,NA
2004,2,5/3/2004,G,B,22,BOER4,2,0.1,2,5,NA
2004,2,5/3/2004,G,B,22,BOER4,3,0.05,2,6,NA
2004,2,5/3/2004,G,B,22,BOER4,4,0.01,1,1,NA
2004,2,5/3/2004,G,B,22,CRCR3,1,1,8,2,NA
2004,2,5/3/2004,G,B,22,CRCR3,2,0.75,9,1,NA
2004,2,5/3/2004,G,B,22,CYACF,1,0.05,2,1,NA
2004,2,5/3/2004,G,B,22,OECA10,1,2,4,1,NA
2004,2,5/3/2004,G,B,22,PEFE,1,0.5,4,1,NA
2004,2,5/3/2004,G,B,22,PLPA2,1,0.1,4,2,NA
2004,2,5/3/2004,G,B,22,PLPA2,2,1,6,1,NA
2004,2,5/3/2004,G,B,22,SOEL,1,0.25,5,2,NA
2004,2,5/3/2004,G,B,22,SOEL,2,0.5,5,2,NA
2004,2,5/3/2004,G,B,22,SPCO4,1,1,6,1,WAS_SPCO4
2004,2,5/3/2004,G,B,22,SPCO4,2,0.5,5,1,WAS_SPCO4
2004,2,5/3/2004,G,B,22,SPCO4,3,0.1,5,1,WAS_SPCO4
2004,2,5/3/2004,G,B,23,BOER4,1,0.05,2,2,NA
