Year,Month,Day,Site,Line,Trap,Order,Family,Genus,Species,Count,Comments
1992,3,11,C,C,1,AR,LIN,1,VSP,1,na
1992,3,11,C,C,1,AR,THO,XYS,FAC,2,na
1992,3,11,C,C,1,CO,ELA,CAR,1,1,na
1992,3,11,C,C,1,HE,LYG,NYS,1,7,na
1992,3,11,C,C,2,AR,GNA,1,NYM,1,na
1992,3,11,C,C,2,AR,THO,XYS,FAC,1,na
1992,3,11,C,C,2,HE,LYG,NYS,1,1,na
1992,3,11,C,C,2,HE,MIR,EUS,1,1,na
1992,3,11,C,C,3,AR,GNA,1,NYM,1,na
1992,3,11,C,C,3,AR,PHI,THA,COL,1,na
1992,3,11,C,C,3,AR,SAL,1,NYM,2,na
1992,3,11,C,C,3,AR,THO,XYS,FAC,2,na
1992,3,11,C,C,3,CO,CRY,1,1,1,na
1992,3,11,C,C,3,CO,CUR,OPH,GLO,1,na
1992,3,11,C,C,3,CO,ELA,CAR,1,4,na
1992,3,11,C,C,4,AR,THO,XYS,FAC,1,na
1992,3,11,C,C,4,CO,ELA,CAR,1,1,na
1992,3,11,C,C,4,HE,LYG,NYS,1,5,na
1992,3,11,C,C,5,AR,GNA,1,NYM,1,na
1992,3,11,C,C,5,AR,PHI,THA,COL,1,na
1992,3,11,C,C,5,CO,ELA,CAR,1,1,na
1992,3,11,C,C,5,HE,LYG,EMB,VIC,1,na
1992,3,11,C,C,6,AR,GNA,1,NYM,2,na
1992,3,11,C,C,6,CO,CAR,CYM,PUN,2,na
1992,3,11,C,C,6,HE,LYG,EMB,VIC,2,na
1992,3,11,C,D,1,AR,PHI,EBO,PAR,1,na
1992,3,11,C,D,1,HE,LYG,NYS,1,1,na
1992,3,11,C,D,1,OR,RHA,1,NYM,1,na
1992,3,11,C,D,2,AR,LIN,1,NYM,1,na
1992,3,11,C,D,2,HE,LYG,GEO,2,1,na
1992,3,11,C,D,3,AR,DIC,CIC,1,1,na
1992,3,11,C,D,3,AR,GNA,1,NYM,1,na
1992,3,11,C,D,3,AR,LIN,1,VSP,1,na
1992,3,11,C,D,3,AR,PHO,PSI,1,1,na
1992,3,11,C,D,3,CO,ELA,CAR,1,10,na
1992,3,11,C,D,3,OR,ACR,1,NYM,1,na
1992,3,11,C,D,3,OR,RHA,1,NYM,1,na
1992,3,11,C,D,4,AR,DIC,CIC,1,1,na
1992,3,11,C,D,4,AR,GNA,1,NYM,1,na
1992,3,11,C,D,4,AR,LIN,1,VSP,1,na
1992,3,11,C,D,4,HE,LYG,EMB,VIC,3,na
1992,3,11,C,D,4,OR,ACR,1,NYM,1,na
1992,3,11,C,D,5,AR,THO,1,NYM,1,na
1992,3,11,C,D,5,CO,ELA,CAR,1,1,na
1992,3,11,C,D,5,HE,LYG,EMB,VIC,1,na
1992,3,11,C,D,5,HE,LYG,NYS,1,1,na
1992,3,11,C,D,5,HE,THY,1,2,1,na
1992,3,11,C,D,6,HE,LYG,EMB,VIC,2,na
1992,3,11,C,E,1,HE,LYG,EMB,VIC,1,na
1992,3,11,C,E,1,HE,LYG,NYS,1,2,na
1992,3,11,C,E,1,OR,GRY,1,NYM,1,na
1992,3,11,C,E,1,SC,SCO,SCO,POL,1,na
1992,3,11,C,E,2,AR,THO,XYS,FAC,1,na
1992,3,11,C,E,2,CO,ELA,CAR,1,5,na
1992,3,11,C,E,2,HE,LYG,EMB,VIC,1,na
1992,3,11,C,E,2,OR,ACR,1,NYM,1,na
1992,3,11,C,E,3,AR,GNA,1,NYM,1,na
1992,3,11,C,E,3,AR,THO,1,NYM,1,na
1992,3,11,C,E,3,HE,LYG,EMB,VIC,1,na
1992,3,11,C,E,4,AR,AGE,1,NYM,1,na
1992,3,11,C,E,4,AR,GNA,1,NYM,1,na
1992,3,11,C,E,4,HE,LYG,EMB,VIC,1,na
1992,3,11,C,E,5,AR,GNA,HAP,CHA,1,na
1992,3,11,C,E,5,AR,THO,XYS,FAC,5,na
1992,3,11,C,E,5,CO,ELA,CAR,1,1,na
1992,3,11,C,E,5,HE,LYG,GEO,2,1,na
1992,3,11,C,E,6,AR,GNA,1,NYM,1,na
1992,3,11,C,E,6,AR,THO,XYS,FAC,2,na
1992,3,11,C,E,6,HE,LYG,EMB,VIC,1,na
1992,3,11,G,A,1,CO,ELA,CAR,1,1,na
1992,3,11,G,A,1,CO,TEN,EDR,ROT,1,na
1992,3,11,G,A,1,OR,ACR,1,NYM,1,na
1992,3,11,G,A,2,AR,PHI,EBO,PAR,1,na
1992,3,11,G,A,2,CO,TEN,EDR,ROT,1,na
1992,3,11,G,A,2,OR,ACR,1,NYM,1,na
1992,3,11,G,A,2,OR,ACR,1,NYM,1,na
1992,3,11,G,A,3,CO,TEN,EDR,ROT,2,na
1992,3,11,G,A,3,OR,ACR,1,NYM,2,na
1992,3,11,G,A,4,AR,GNA,1,NYM,2,na
1992,3,11,G,A,4,AR,THO,1,NYM,1,na
1992,3,11,G,A,4,MI,MEI,MAC,AUR,1,na
1992,3,11,G,A,4,OR,ACR,1,NYM,1,na
1992,3,11,G,A,4,OR,ACR,1,NYM,1,na
1992,3,11,G,A,4,OR,ACR,ERI,SIM,4,na
1992,3,11,G,A,4,OR,GRY,CYC,COM,2,na
1992,3,11,G,A,5,OR,ACR,1,NYM,1,na
1992,3,11,G,A,5,OR,GRY,CYC,COM,3,na
1992,3,11,G,A,5,OR,RHA,DAI,HAS,1,na
1992,3,11,G,A,6,AR,GNA,1,NYM,1,na
1992,3,11,G,A,6,OR,ACR,1,NYM,1,na
1992,3,11,G,B,1,AR,COR,CAS,OCC,1,na
1992,3,11,G,B,1,AR,GNA,1,NYM,3,na
1992,3,11,G,B,1,AR,THO,1,NYM,1,na
1992,3,11,G,B,1,HE,LYG,EMB,VIC,1,na
1992,3,11,G,B,1,OR,RHA,DAI,HAS,1,na
1992,3,11,G,B,2,AR,DIC,CIC,1,1,na
1992,3,11,G,B,2,AR,GNA,1,NYM,1,na
1992,3,11,G,B,2,AR,LYC,ALO,KOC,1,na
1992,3,11,G,B,2,HE,LYG,EMB,VIC,2,na
1992,3,11,G,B,2,OR,RHA,DAI,HAS,2,na
1992,3,11,G,B,3,AR,DIC,CIC,1,1,na
1992,3,11,G,B,3,AR,GNA,1,NYM,2,na
1992,3,11,G,B,3,OR,ACR,1,NYM,1,na
1992,3,11,G,B,4,AR,PHI,THA,COL,1,na
1992,3,11,G,B,4,AR,THO,1,NYM,1,na
1992,3,11,G,B,4,CO,ELA,CAR,1,7,na
1992,3,11,G,B,4,HE,LYG,EMB,VIC,1,na
1992,3,11,G,B,5,AR,PHO,PSI,1,2,na
1992,3,11,G,B,5,OR,RHA,DAI,HAS,1,na
1992,3,11,G,B,6,AR,PHO,PSI,1,1,na
1992,3,11,G,B,6,CO,TEN,STR,COS,1,na
1992,3,11,G,B,6,HE,LYG,EMB,VIC,1,na
1992,3,11,G,B,6,OR,RHA,DAI,HAS,2,na
1992,3,11,G,C,1,OR,RHA,DAI,HAS,1,na
1992,3,11,G,C,2,AR,PHO,PSI,1,1,na
1992,3,11,G,C,2,AR,THO,1,NYM,1,na
1992,3,11,G,C,2,OR,ACR,1,NYM,2,na
1992,3,11,G,C,2,OR,GRY,CYC,COM,1,na
1992,3,11,G,C,2,OR,RHA,DAI,HAS,1,na
1992,3,11,G,C,3,HE,LYG,EMB,VIC,2,na
1992,3,11,G,C,4,OR,RHA,DAI,HAS,1,na
1992,3,11,G,C,5,AR,GNA,1,NYM,2,na
1992,3,11,G,C,5,AR,LYC,1,NYM,1,na
1992,3,11,G,C,5,AR,THO,1,NYM,1,na
1992,3,11,G,C,5,OR,ACR,1,NYM,1,na
1992,3,11,G,C,5,OR,ACR,1,NYM,1,na
1992,3,11,G,C,6,AR,PHO,PSI,1,1,na
1992,3,11,G,C,6,CO,ELA,CAR,1,1,na
1992,3,11,G,C,6,CO,TEN,STR,COS,1,na
1992,3,11,G,C,6,HE,LYG,EMB,VIC,1,na
1992,3,11,G,C,6,OR,ACR,1,NYM,2,na
1992,3,11,G,C,6,OR,RHA,DAI,HAS,1,na
1992,3,11,G,D,1,AR,PHO,PSI,1,1,na
1992,3,11,G,D,1,AR,THO,1,NYM,1,na
1992,3,11,G,D,1,OR,ACR,1,NYM,1,na
1992,3,11,G,D,2,CO,TEN,ELE,GRA,1,na
1992,3,11,G,D,2,OR,RHA,DAI,HAS,3,na
1992,3,11,G,D,3,AR,LYC,ALO,KOC,1,na
1992,3,11,G,D,3,AR,LYC,PAR,DIS,1,na
1992,3,11,G,D,3,HE,LYG,EMB,VIC,1,na
1992,3,11,G,D,3,OR,ACR,1,NYM,1,na
1992,3,11,G,D,3,OR,ACR,1,NYM,1,na
1992,3,11,G,D,3,OR,ACR,1,NYM,1,na
1992,3,11,G,D,4,CO,TEN,ELE,GRA,1,na
1992,3,11,G,D,5,AR,GNA,1,NYM,1,na
1992,3,11,G,D,5,AR,GNA,1,NYM,1,na
1992,3,11,G,D,5,HE,LYG,EMB,VIC,2,na
1992,3,11,G,D,5,HE,LYG,GEO,2,1,na
1992,3,11,G,D,5,HE,THY,GAL,1,1,na
1992,3,11,G,D,5,OR,RHA,DAI,HAS,1,na
1992,3,11,G,D,6,CO,TEN,STR,COS,1,na
1992,3,11,G,D,6,HE,LYG,EMB,VIC,1,na
1992,3,11,G,D,6,OR,ACR,1,NYM,1,na
1992,3,11,G,D,6,OR,RHA,DAI,HAS,4,na
1992,3,11,G,E,1,CO,TEN,ANE,1,2,na
1992,3,11,G,E,1,OR,ACR,1,NYM,1,na
1992,3,11,G,E,1,OR,RHA,DAI,HAS,1,na
1992,3,11,G,E,2,AR,PHO,PSI,1,1,na
1992,3,11,G,E,2,AR,THO,1,NYM,3,na
1992,3,11,G,E,2,CO,TEN,STR,COS,1,na
1992,3,11,G,E,2,OR,RHA,DAI,HAS,3,na
1992,3,11,G,E,3,AR,LYC,1,NYM,1,na
1992,3,11,G,E,3,OR,ACR,1,NYM,2,na
1992,3,11,G,E,4,CO,TEN,EDR,ROT,1,na
1992,3,11,G,E,5,AR,THO,1,NYM,2,na
1992,3,11,G,E,5,OR,ACR,1,NYM,2,na
1992,3,11,G,E,5,OR,GRY,1,NYM,1,na
1992,3,11,G,E,6,AR,DIC,CIC,1,1,na
1992,3,11,G,E,6,AR,GNA,1,NYM,2,na
1992,3,11,G,E,6,OR,ACR,1,NYM,1,na
1992,3,11,P,A,1,AR,LIN,1,VSP,2,na
1992,3,11,P,A,2,AR,LIN,1,VSP,14,na
1992,3,11,P,A,2,AR,LIN,1,VSP,2,na
1992,3,11,P,A,2,AR,LYC,1,NYM,1,na
1992,3,11,P,A,3,AR,LIN,1,VSP,18,na
1992,3,11,P,A,4,AR,DIC,CIC,1,1,na
1992,3,11,P,A,4,AR,LIN,1,VSP,26,na
1992,3,11,P,A,4,AR,LIN,1,VSP,8,na
1992,3,11,P,A,5,AR,ANY,1,NYM,1,na
1992,3,11,P,A,5,AR,LIN,1,VSP,1,na
1992,3,11,P,A,5,AR,LIN,1,VSP,1,na
1992,3,11,P,A,6,AR,LIN,1,VSP,11,na
1992,3,11,P,A,6,AR,THO,1,NYM,2,na
1992,3,11,P,A,6,CO,CUR,CIM,BUC,1,na
1992,3,11,P,B,1,NS,NS,NS,NS,-888,na
1992,3,11,P,B,2,AR,GNA,1,NYM,2,na
1992,3,11,P,B,2,CO,CUR,SIT,CAL,1,na
1992,3,11,P,B,3,AR,LIN,1,VSP,4,na
1992,3,11,P,B,3,AR,LIN,1,VSP,1,na
1992,3,11,P,B,3,CO,STA,OMA,1,2,na
1992,3,11,P,B,4,AR,DIC,CIC,1,1,na
1992,3,11,P,B,4,AR,GNA,1,NYM,1,na
1992,3,11,P,B,4,AR,LIN,1,VSP,3,na
1992,3,11,P,B,4,CO,CRY,1,1,1,na
1992,3,11,P,B,5,AR,DIC,CIC,1,1,na
1992,3,11,P,B,5,AR,LIN,1,VSP,2,na
1992,3,11,P,B,5,HE,CYD,PAN,BIL,1,na
1992,3,11,P,B,6,AR,AGE,1,NYM,1,na
1992,3,11,P,B,6,AR,GNA,1,NYM,1,na
1992,3,11,P,B,6,AR,GNA,HER,HES,1,na
1992,3,11,P,B,6,AR,LYC,ALO,KOC,1,na
1992,3,11,P,B,6,AR,THO,1,NYM,1,na
1992,3,11,P,B,6,CO,CAR,CYM,PUN,1,na
1992,3,11,P,C,1,AR,GNA,HAP,CHA,1,na
1992,3,11,P,C,1,AR,LIN,1,VSP,2,na
1992,3,11,P,C,2,AR,LIN,1,VSP,1,na
1992,3,11,P,C,3,AR,ANY,1,NYM,2,na
1992,3,11,P,C,3,AR,GNA,1,NYM,2,na
1992,3,11,P,C,3,AR,LIN,1,VSP,7,na
1992,3,11,P,C,3,AR,SAL,1,NYM,1,na
1992,3,11,P,C,3,CO,CRY,1,1,1,na
1992,3,11,P,C,3,HE,CYD,PAN,BIL,2,na
1992,3,11,P,C,4,AR,LIN,1,VSP,3,na
1992,3,11,P,C,4,AR,LIN,1,VSP,1,na
1992,3,11,P,C,4,HE,LYG,LYG,KAL,1,na
1992,3,11,P,C,5,AR,LIN,1,VSP,1,na
1992,3,11,P,C,5,AR,OXY,1,NYM,1,na
1992,3,11,P,C,6,AR,ANY,1,NYM,1,na
1992,3,11,P,C,6,AR,GNA,1,NYM,1,na
1992,3,11,P,C,6,AR,LYC,1,NYM,1,na
1992,3,11,P,D,1,AR,GNA,1,NYM,1,na
1992,3,11,P,D,1,AR,LYC,ALO,KOC,1,na
1992,3,11,P,D,1,AR,SAL,1,NYM,1,na
1992,3,11,P,D,1,OR,ACR,1,NYM,2,na
1992,3,11,P,D,2,AR,GNA,HER,HES,1,na
1992,3,11,P,D,2,AR,LIN,1,VSP,1,na
1992,3,11,P,D,2,AR,LYC,1,NYM,1,na
1992,3,11,P,D,2,AR,LYC,ALO,KOC,1,na
1992,3,11,P,D,2,CO,CRY,1,1,1,na
1992,3,11,P,D,3,AR,ANY,1,NYM,1,na
1992,3,11,P,D,3,AR,DIC,CIC,4,1,na
1992,3,11,P,D,3,AR,GNA,1,NYM,1,na
1992,3,11,P,D,3,AR,GNA,HER,HES,1,na
1992,3,11,P,D,3,AR,LIN,1,VSP,3,na
1992,3,11,P,D,3,AR,SAL,1,NYM,1,na
1992,3,11,P,D,3,CO,CRY,1,1,1,na
1992,3,11,P,D,4,AR,GNA,DRA,1,1,na
1992,3,11,P,D,4,CO,CAR,CYM,PUN,3,na
1992,3,11,P,D,4,OR,RHA,1,NYM,1,na
1992,3,11,P,D,5,AR,ANY,ANY,DIX,1,na
1992,3,11,P,D,5,AR,LIN,1,VSP,3,na
1992,3,11,P,D,5,CO,STA,OMA,1,1,na
1992,3,11,P,D,6,AR,GNA,1,NYM,1,na
1992,3,11,P,E,1,AR,DIC,CIC,4,1,na
1992,3,11,P,E,1,AR,LYC,1,NYM,1,na
1992,3,11,P,E,2,AR,DIC,CIC,4,1,na
1992,3,11,P,E,2,AR,LIN,1,VSP,4,na
1992,3,11,P,E,2,AR,LYC,1,NYM,1,na
1992,3,11,P,E,2,CO,CAR,CYM,PUN,1,na
1992,3,11,P,E,3,AR,DIC,CIC,4,3,na
1992,3,11,P,E,3,AR,GNA,1,NYM,1,na
1992,3,11,P,E,3,AR,GNA,HAP,CHA,1,na
1992,3,11,P,E,3,AR,GNA,HER,HES,1,na
1992,3,11,P,E,3,AR,LIN,1,VSP,4,na
1992,3,11,P,E,3,CO,CAR,CYM,PUN,1,na
1992,3,11,P,E,4,AR,DIC,CIC,1,1,na
1992,3,11,P,E,4,AR,DIC,CIC,4,5,na
1992,3,11,P,E,4,AR,GNA,1,NYM,1,na
1992,3,11,P,E,4,AR,GNA,1,NYM,2,na
1992,3,11,P,E,4,AR,LIN,1,VSP,9,na
1992,3,11,P,E,4,AR,SAL,1,NYM,1,na
1992,3,11,P,E,4,CO,CRY,1,1,2,na
1992,3,11,P,E,4,CO,CUR,CRO,1,1,na
1992,3,11,P,E,4,OR,ACR,PSO,TEX,1,na
1992,3,11,P,E,5,AR,DIC,CIC,4,2,na
1992,3,11,P,E,5,AR,LIN,1,VSP,3,na
1992,3,11,P,E,6,AR,GNA,1,NYM,3,na
1992,3,11,P,E,6,AR,LYC,1,NYM,1,na
1992,5,27,C,A,1,AR,COR,CAS,OCC,1,na
1992,5,27,C,A,1,AR,GNA,1,NYM,3,na
1992,5,27,C,A,1,AR,LYC,SCH,MCC,1,na
1992,5,27,C,A,1,AR,PHI,EBO,PAR,3,na
1992,5,27,C,A,1,AR,THO,XYS,LAS,1,na
1992,5,27,C,A,1,CO,CAR,PAS,OBS,1,na
1992,5,27,C,A,1,CO,TEN,ELE,GRA,1,na
1992,5,27,C,A,1,HE,LYG,EMB,VIC,1,na
1992,5,27,C,A,1,HE,LYG,ORT,1,1,na
1992,5,27,C,A,1,HE,MIR,EUS,1,11,na
1992,5,27,C,A,1,OR,ACR,1,NYM,1,na
1992,5,27,C,A,1,OR,GRY,1,NYM,1,na
1992,5,27,C,A,1,OR,RHA,DAI,HAS,2,na
1992,5,27,C,A,1,SC,SCO,SCO,POL,2,na
1992,5,27,C,A,2,AR,LIN,1,VSP,1,na
1992,5,27,C,A,2,AR,THO,XYS,LAS,1,na
1992,5,27,C,A,2,CO,MEL,NEM,1,1,na
1992,5,27,C,A,2,CO,TEN,ARA,DEC,1,na
1992,5,27,C,A,2,CO,TEN,ELE,GRA,4,na
1992,5,27,C,A,2,CO,TEN,ELE,GRA,4,na
1992,5,27,C,A,2,HE,LYG,EMB,VIC,1,na
1992,5,27,C,A,2,HE,LYG,NYS,1,2,na
1992,5,27,C,A,2,HE,MIR,EUS,1,3,na
1992,5,27,C,A,3,CO,TEN,ELE,GRA,5,na
1992,5,27,C,A,3,OR,ACR,AUL,ELL,1,na
1992,5,27,C,A,4,AR,GNA,1,NYM,4,na
1992,5,27,C,A,4,AR,GNA,DRA,1,1,na
1992,5,27,C,A,4,AR,GNA,HAP,CHA,1,na
1992,5,27,C,A,4,AR,LYC,1,NYM,2,na
1992,5,27,C,A,4,AR,THE,EUR,SCR,1,na
1992,5,27,C,A,4,CO,CAR,PAS,OBS,1,na
1992,5,27,C,A,4,CO,TEN,ARA,DEC,1,na
1992,5,27,C,A,4,CO,TEN,ELE,GRA,9,na
1992,5,27,C,A,4,HE,LYG,EMB,VIC,4,na
1992,5,27,C,A,4,HE,LYG,NYS,1,2,na
1992,5,27,C,A,4,HE,MIR,EUS,1,21,na
1992,5,27,C,A,4,OR,ACR,AUL,ELL,1,na
1992,5,27,C,A,4,OR,ACR,XAN,MON,1,na
1992,5,27,C,A,4,SC,SCO,SCO,POL,1,na
1992,5,27,C,A,5,CO,TEN,ARA,DEC,1,na
1992,5,27,C,A,5,HE,LYG,EMB,VIC,2,na
1992,5,27,C,A,5,OR,GRY,1,NYM,2,na
1992,5,27,C,A,5,OR,RHA,DAI,HAS,1,na
1992,5,27,C,A,5,SR,VAE,VAE,COA,1,na
1992,5,27,C,A,5,SO,ERE,1,NYM,1,na
1992,5,27,C,A,6,AR,GNA,DRA,MUM,1,na
1992,5,27,C,A,6,AR,LYC,SCH,MIM,1,na
1992,5,27,C,A,6,CO,CAR,AMA,IDA,1,na
1992,5,27,C,A,6,CO,HIS,SAP,DIS,6,na
1992,5,27,C,A,6,CO,TEN,ELE,GRA,1,na
1992,5,27,C,A,6,CO,TEN,ELE,LON,2,na
1992,5,27,C,A,6,HE,LYG,EMB,VIC,5,na
1992,5,27,C,A,6,HE,LYG,NYS,1,3,na
1992,5,27,C,A,6,HE,MIR,EUS,1,12,na
1992,5,27,C,A,6,OR,ACR,1,NYM,2,na
1992,5,27,C,A,6,OR,ACR,ARP,CON,3,na
1992,5,27,C,A,6,OR,ACR,CIB,PAR,1,na
1992,5,27,C,A,6,OR,ACR,XAN,MON,1,na
1992,5,27,C,B,1,AR,GNA,1,NYM,3,na
1992,5,27,C,B,1,AR,GNA,DRA,MUM,1,na
1992,5,27,C,B,1,AR,GNA,ZEL,TUO,1,na
1992,5,27,C,B,1,AR,LYC,SCH,MCC,1,na
1992,5,27,C,B,1,AR,PHI,PHI,KEY,1,na
1992,5,27,C,B,1,AR,SAL,1,NYM,1,na
1992,5,27,C,B,1,HE,LYG,EMB,VIC,2,na
1992,5,27,C,B,1,HE,LYG,NYS,1,14,na
1992,5,27,C,B,1,HE,MIR,EUS,1,17,na
1992,5,27,C,B,1,OR,GRY,CYC,COM,2,na
1992,5,27,C,B,2,AR,AGE,1,NYM,1,na
1992,5,27,C,B,2,AR,GNA,1,NYM,2,na
1992,5,27,C,B,2,AR,GNA,DRD,SAC,1,na
1992,5,27,C,B,2,AR,GNA,HAP,CHA,1,na
1992,5,27,C,B,2,AR,THO,XYS,LAS,1,na
1992,5,27,C,B,2,CO,TEN,ELE,GRA,2,na
1992,5,27,C,B,2,HE,LYG,NYS,1,10,na
1992,5,27,C,B,2,OR,ACR,XAN,MON,2,na
1992,5,27,C,B,2,OR,GRY,CYC,COM,4,na
1992,5,27,C,B,3,AR,GNA,1,NYM,3,na
1992,5,27,C,B,3,AR,GNA,DRD,SAC,1,na
1992,5,27,C,B,3,AR,GNA,ZEL,TUO,3,na
1992,5,27,C,B,3,AR,PHO,PSI,1,2,na
1992,5,27,C,B,3,CO,CUR,MIN,LAN,4,na
1992,5,27,C,B,3,CO,TEN,ELE,GRA,2,na
1992,5,27,C,B,3,HE,MIR,EUS,1,2,na
1992,5,27,C,B,3,OR,ACR,1,NYM,2,na
1992,5,27,C,B,4,AR,GNA,1,NYM,2,na
1992,5,27,C,B,4,AR,GNA,DRA,MUM,4,na
1992,5,27,C,B,4,CO,CAR,PAS,OBS,2,na
1992,5,27,C,B,4,CO,CUR,MIN,LAN,1,na
1992,5,27,C,B,4,CO,HIS,SAP,DIS,1,na
1992,5,27,C,B,4,CO,TEN,ARA,DEC,1,na
1992,5,27,C,B,4,CO,TEN,ELE,GRA,1,na
1992,5,27,C,B,4,HE,LYG,EMB,VIC,1,na
1992,5,27,C,B,4,HE,LYG,EMB,VIC,1,na
1992,5,27,C,B,4,HE,MIR,EUS,1,1,na
1992,5,27,C,B,4,OR,ACR,ARP,CON,1,na
1992,5,27,C,B,5,AR,GNA,DRA,MUM,1,na
1992,5,27,C,B,5,AR,GNA,DRD,SAC,2,na
1992,5,27,C,B,5,CO,TEN,ELE,GRA,2,na
1992,5,27,C,B,5,HE,LYG,NYS,1,1,na
1992,5,27,C,B,5,HE,MIR,EUS,1,17,na
1992,5,27,C,B,5,OR,ACR,CIB,PAR,3,na
1992,5,27,C,B,6,AR,GNA,HAP,CHA,1,na
1992,5,27,C,B,6,AR,PHO,PSI,1,1,na
1992,5,27,C,B,6,CO,CUR,SAP,PUN,1,na
1992,5,27,C,B,6,CO,TEN,ANE,1,1,na
1992,5,27,C,B,6,CO,TEN,ARA,DEC,1,na
1992,5,27,C,B,6,CO,TEN,ELE,GRA,2,na
1992,5,27,C,B,6,HE,LYG,GEO,2,1,na
1992,5,27,C,B,6,HE,LYG,NYS,1,2,na
1992,5,27,C,B,6,HE,MIR,EUS,1,15,na
1992,5,27,C,B,6,OR,ACR,1,NYM,1,na
1992,5,27,C,B,6,OR,ACR,CIB,PAR,2,na
1992,5,27,C,B,6,OR,GRY,CYC,COM,1,na
1992,5,27,C,C,1,AR,GNA,1,NYM,3,na
1992,5,27,C,C,1,AR,GNA,DRA,MUM,1,na
1992,5,27,C,C,1,AR,LIN,1,VSP,1,na
1992,5,27,C,C,1,CO,TEN,ELE,GRA,2,na
1992,5,27,C,C,1,HE,LYG,EMB,VIC,2,na
1992,5,27,C,C,1,HE,LYG,GEO,2,1,na
1992,5,27,C,C,1,HE,LYG,NYS,1,4,na
1992,5,27,C,C,1,HE,MIR,EUS,1,17,na
1992,5,27,C,C,1,OR,GRY,1,NYM,1,na
1992,5,27,C,C,2,AR,GNA,HAP,CHA,1,na
1992,5,27,C,C,2,AR,PHO,PSI,1,2,na
1992,5,27,C,C,2,HE,LYG,NYS,1,15,na
1992,5,27,C,C,2,HE,MIR,EUS,1,12,na
1992,5,27,C,C,2,OR,GRY,1,NYM,1,na
1992,5,27,C,C,3,AR,GNA,1,NYM,1,na
1992,5,27,C,C,3,AR,GNA,DRA,MUM,5,na
1992,5,27,C,C,3,AR,GNA,DRD,SAC,1,na
1992,5,27,C,C,3,AR,GNA,HAP,CHA,1,na
1992,5,27,C,C,3,AR,PHO,PSI,1,1,na
1992,5,27,C,C,3,HE,LYG,NYS,1,9,na
1992,5,27,C,C,3,HE,MIR,EUS,1,19,na
1992,5,27,C,C,3,OR,ACR,1,NYM,2,na
1992,5,27,C,C,4,AR,GNA,1,NYM,1,na
1992,5,27,C,C,4,AR,GNA,DRA,MUM,1,na
1992,5,27,C,C,4,AR,GNA,DRD,SAC,1,na
1992,5,27,C,C,4,AR,PHO,PSI,1,1,na
1992,5,27,C,C,4,CO,HIS,SAP,DIS,1,na
1992,5,27,C,C,4,HE,LYG,EMB,VIC,4,na
1992,5,27,C,C,4,HE,LYG,NYS,1,4,na
1992,5,27,C,C,4,HE,MIR,EUS,1,4,na
1992,5,27,C,C,4,HE,THY,1,2,1,na
1992,5,27,C,C,4,OR,ACR,CIB,PAR,1,na
