YEAR,DATE,SITE,BLK,PLOT,TRT,SPECIES,NESTS
2001,09/24/01,G,4,2,C,NONE,0
2001,09/24/01,G,4,3,L,PORU,2
2002,10/06/02,C,1,1,C,APCO,5
2002,10/06/02,C,1,1,C,PODE,7
2002,10/06/02,C,1,3,L,APCO,4
2002,10/06/02,C,1,3,L,PODE,5
2002,10/06/02,C,1,4,R,APCO,3
2002,10/06/02,C,1,4,R,PODE,9
2002,10/06/02,C,2,1,C,APCO,2
2002,10/06/02,C,2,2,L,APCO,1
2002,10/06/02,C,2,2,L,PODE,7
2002,10/06/02,C,2,3,R,APCO,4
2002,10/06/02,C,2,3,R,PODE,10
2002,10/06/02,C,3,2,R,PODE,21
2002,10/06/02,C,3,2,R,APCO,8
2002,10/06/02,C,3,3,C,PODE,4
2002,10/06/02,C,3,3,C,APCO,5
2002,10/06/02,C,3,4,L,PODE,3
2002,10/06/02,C,3,4,L,APCO,4
2002,10/06/02,C,4,2,C,PODE,1
2002,10/06/02,C,4,2,C,PORU,1
2002,10/06/02,C,4,2,C,APCO,1
2002,10/06/02,C,4,1,L,PODE,2
2002,10/06/02,C,4,1,L,PORU,1
2002,10/06/02,C,4,1,L,APCO,7
2002,10/06/02,C,4,3,R,PODE,11
2002,10/06/02,C,4,3,R,PORU,1
2002,10/06/02,C,4,3,R,APCO,4
2002,10/04/02,G,1,1,L,PORU,1
2002,10/04/02,G,1,2,R,PORU,2
2002,10/04/02,G,1,4,C,PORU,2
2002,10/04/02,G,2,1,L,NONE,0
2002,10/04/02,G,2,3,C,NONE,0
2002,10/04/02,G,2,4,R,NONE,0
2002,10/04/02,G,3,2,L,NONE,0
2002,10/04/02,G,3,3,R,NONE,0
2002,10/04/02,G,3,4,C,PORU,1
2002,10/04/02,G,4,1,R,PORU,1
2002,10/04/02,G,4,2,C,NONE,0
2002,10/04/02,G,4,3,L,PORU,2
2003,10/06/03,C,1,1,C,APCO,3
2003,10/06/03,C,1,1,C,PODE,2
2003,10/06/03,C,1,3,L,APCO,3
2003,10/06/03,C,1,3,L,PODE,3
2003,10/06/03,C,1,4,R,APCO,3
2003,10/06/03,C,1,4,R,PODE,8
2003,10/06/03,C,2,1,C,APCO,2
2003,10/06/03,C,2,2,L,APCO,1
2003,10/06/03,C,2,2,L,PODE,2
2003,10/06/03,C,2,3,R,APCO,3
2003,10/06/03,C,2,3,R,PODE,7
2003,10/06/02,C,3,2,R,PODE,11
2003,10/06/02,C,3,2,R,APCO,4
2003,10/06/02,C,3,3,C,PODE,3
2003,10/06/02,C,3,3,C,APCO,3
2003,10/06/02,C,3,4,L,PODE,3
2003,10/06/02,C,3,4,L,APCO,4
2003,10/06/02,C,4,2,C,PODE,1
2003,10/06/02,C,4,2,C,PORU,1
2003,10/06/02,C,4,2,C,APCO,1
2003,10/06/02,C,4,1,L,PODE,2
2003,10/06/02,C,4,1,L,PORU,1
2003,10/06/02,C,4,1,L,APCO,7
2003,10/06/03,C,4,3,R,APCO,3
2003,10/06/03,C,4,3,R,PODE,8
2003,10/06/03,C,4,3,R,PORU,1
2003,10/05/03,G,1,1,L,PORU,1
2003,10/05/03,G,1,2,R,PORU,2
2003,10/05/03,G,1,4,C,PORU,2
2003,10/05/03,G,2,1,L,NONE,0
2003,10/05/03,G,2,3,C,NONE,0
2003,10/05/03,G,2,4,R,NONE,0
2003,10/05/03,G,3,2,L,NONE,0
2003,10/05/03,G,3,3,R,NONE,0
2003,10/05/03,G,3,4,C,PORU,1
2003,10/05/03,G,4,1,R,PORU,1
2003,10/05/03,G,4,2,C,NONE,0
2003,10/05/03,G,4,3,L,PORU,2
2004,09/27/04,C,1,1,C,APCO,1
2004,09/27/04,C,1,1,C,MYDE,1
2004,09/27/04,C,1,1,C,PODE,1
2004,09/27/04,C,1,3,L,APCO,4
2004,09/27/04,C,1,3,L,MYDE,1
2004,09/27/04,C,1,3,L,PODE,5
2004,09/27/04,C,1,4,R,APCO,4
2004,09/27/04,C,1,4,R,PODE,14
2004,09/27/04,C,2,1,C,APCO,3
2004,09/27/04,C,2,1,C,PODE,2
2004,09/27/04,C,2,2,L,APCO,1
2004,09/27/04,C,2,2,L,PODE,7
2004,09/27/04,C,2,3,R,APCO,5
2004,09/27/04,C,2,3,R,PODE,21
2004,09/26/04,G,1,1,L,PORU,1
2004,09/26/04,G,1,2,R,PORU,2
2004,09/26/04,G,1,4,C,PORU,3
2004,09/26/04,G,2,1,L,NONE,0
2004,09/26/04,G,2,3,C,PORU,1
2004,09/26/04,G,2,4,R,PORU,0
2004,09/26/04,G,3,2,L,NONE,0
2004,09/26/04,G,3,3,R,PORU,1
2004,09/26/04,G,3,4,C,PORU,2
2004,09/26/04,G,4,1,R,PORU,1
2004,09/26/04,G,4,2,C,PORU,0
2004,09/26/04,G,4,3,L,PORU,2
2004,09/27/04,C,3,3,C,PODE,9
2004,09/27/04,C,3,3,C,APCO,3
2004,09/27/04,C,3,2,R,APCO,6
2004,09/27/04,C,3,2,R,PODE,16
2004,09/27/04,C,3,4,L,APCO,3
2004,09/27/04,C,3,4,L,PODE,2
2004,09/27/04,C,4,1,L,APCO,6
2004,09/27/04,C,4,1,L,PODE,3
2004,09/27/04,C,4,1,L,PORU,2
2004,09/27/04,C,4,2,C,APCO,2
2004,09/27/04,C,4,2,C,PODE,4
2004,09/27/04,C,4,2,C,PORU,1
2004,09/27/04,C,4,3,R,MYDE,1
2004,09/27/04,C,4,3,R,POAP,1
2004,09/27/04,C,4,3,R,PODE,11
2004,09/27/04,C,4,3,R,PORU,1
2005,09/23/05,C,1,1,C,APCO,3
2005,09/23/05,C,1,1,C,PODE,9
2005,09/23/05,C,1,3,L,APCO,4
2005,09/23/05,C,1,3,L,PODE,6
2005,09/23/05,C,1,4,R,APCO,1
2005,09/23/05,C,1,4,R,PODE,11
2005,09/23/05,C,2,1,C,PODE,2
2005,09/23/05,C,2,2,L,APCO,2
2005,09/23/05,C,2,2,L,PODE,2
2005,09/23/05,C,2,3,R,APCO,2
2005,09/23/05,C,2,3,R,PODE,17
2005,09/23/05,C,3,2,R,APCO,4
2005,09/23/05,C,3,2,R,PODE,14
2005,09/23/05,C,3,3,C,APCO,3
2005,09/23/05,C,3,3,C,PODE,7
2005,09/23/05,C,3,4,L,APCO,2
2005,09/23/05,C,3,4,L,PODE,3
2005,09/23/05,C,4,1,L,MYDE,1
2005,09/23/05,C,4,1,L,PODE,3
2005,09/23/05,C,4,1,L,PORU,4
2005,09/23/05,C,4,2,C,APCO,1
2005,09/23/05,C,4,2,C,PODE,2
2005,09/23/05,C,4,2,C,PORU,2
2005,09/23/05,C,4,3,R,PODE,11
2005,09/23/05,C,4,3,R,PORU,1
2005,09/24/05,G,1,1,L,PORU,2
2005,09/24/05,G,1,2,R,PORU,1
2005,09/24/05,G,1,4,C,PORU,2
2005,09/24/05,G,2,1,L,NONE,0
2005,09/24/05,G,2,3,C,PORU,2
2005,09/24/05,G,2,4,R,NONE,0
2005,09/24/05,G,3,1,C,PORU,1
2005,09/24/05,G,3,2,L,PORU,1
2005,09/24/05,G,3,3,R,PORU,1
2005,09/24/05,G,4,1,R,PORU,1
2005,09/24/05,G,4,2,C,NONE,0
2005,09/24/05,G,4,3,L,PORU,3
