year,season,date,site,quad,treatment,species,obs,cover,height,count,comment
2008,2,5/13/2008,N,14,PK,GUSA2,4,3.5,17,1,NA
2008,2,5/13/2008,N,15,NPK,BOER4,1,0.5,0,6,W
2008,2,5/13/2008,N,15,NPK,BOER4,2,0.75,0,2,W
2008,2,5/13/2008,N,15,NPK,BOER4,3,0.05,0,5,W
2008,2,5/13/2008,N,15,NPK,BOER4,4,0.1,1,9,W
2008,2,5/13/2008,N,15,NPK,BOER4,5,0.25,0,8,W
2008,2,5/13/2008,N,15,NPK,BOER4,6,7,0,1,W
2008,2,5/13/2008,N,15,NPK,BOER4,7,1,0,4,W
2008,2,5/13/2008,N,15,NPK,BOER4,8,2.5,0,1,W
2008,2,5/13/2008,N,15,NPK,BOER4,9,4,0,1,W
2008,2,5/13/2008,N,15,NPK,BOER4,10,2.5,0,2,W
2008,2,5/13/2008,N,15,NPK,BOER4,11,6,0,1,W
2008,2,5/13/2008,N,16,NP,BOER4,12,1,0,4,W
2008,2,5/13/2008,N,16,NP,BOER4,13,0.1,0,5,W
2008,2,5/13/2008,N,16,NP,BOER4,14,1.5,0,2,W
2008,2,5/13/2008,N,16,NP,BOER4,15,0.5,0,3,W
2008,2,5/13/2008,N,16,NP,BOER4,16,0.25,0,6,W
2008,2,5/13/2008,N,16,NP,BOER4,17,0.05,0,1,W
2008,2,5/13/2008,N,16,NP,BOER4,18,0.75,0,2,W
2008,2,5/13/2008,N,16,NP,BOER4,19,2,0,2,W
2008,2,5/13/2008,N,16,NP,BOER4,20,4,0,1,W
2008,2,5/13/2008,N,16,NP,GACO5,1,0.05,5,1,NA
2008,2,5/13/2008,N,16,NP,GACO5,2,0.05,13,1,NA
2008,2,5/13/2008,N,16,NP,GACO5,3,0.05,10,1,NA
2008,2,5/13/2008,N,16,NP,GACO5,4,0.01,4,1,NA
2008,2,5/13/2008,N,16,NP,HODR,1,0.1,2,1,NA
2008,2,5/13/2008,N,17,NPK,BOER4,1,0.25,0,5,W
2008,2,5/13/2008,N,17,NPK,BOER4,2,3,0,1,W
2008,2,5/13/2008,N,17,NPK,BOER4,3,0.5,0,3,W
2008,2,5/13/2008,N,17,NPK,BOER4,4,8,0,2,W
2008,2,5/13/2008,N,17,NPK,BOER4,5,0.1,0,3,W
2008,2,5/13/2008,N,17,NPK,BOER4,6,0.05,0,1,W
2008,2,5/13/2008,N,17,NPK,BOER4,7,0.05,0,9,W
2008,2,5/13/2008,N,17,NPK,BOER4,8,1,0,3,W
2008,2,5/13/2008,N,17,NPK,BOER4,9,0.75,0,1,W
2008,2,5/13/2008,N,17,NPK,BOER4,10,2.5,0,1,W
2008,2,5/13/2008,N,17,NPK,GACO5,1,0.05,8,1,NA
2008,2,5/13/2008,N,17,NPK,GACO5,2,0.01,1,1,NA
2008,2,5/13/2008,N,17,NPK,GACO5,3,0.05,7,1,NA
2008,2,5/13/2008,N,17,NPK,GACO5,4,0.1,9,1,NA
2008,2,5/13/2008,N,17,NPK,GACO5,5,0.05,9,1,NA
2008,2,5/13/2008,N,17,NPK,GACO5,6,0.01,5,1,NA
2008,2,5/13/2008,N,17,NPK,HODR,1,0.1,2,1,NA
2008,2,5/13/2008,N,17,NPK,MAPIP,1,0.05,2,1,NA
2008,2,5/13/2008,N,18,K,BOER4,1,0.5,0,2,W
2008,2,5/13/2008,N,18,K,BOER4,2,0.25,0,7,W
2008,2,5/13/2008,N,18,K,BOER4,3,1,0,4,W
2008,2,5/13/2008,N,18,K,BOER4,4,3,0,2,W
2008,2,5/13/2008,N,18,K,BOER4,5,2,0,1,W
2008,2,5/13/2008,N,18,K,BOER4,6,0.75,0,5,W
2008,2,5/13/2008,N,18,K,BOER4,7,0.1,0,1,W
2008,2,5/13/2008,N,18,K,BOER4,8,0.05,0,2,W
2008,2,5/13/2008,N,18,K,BOER4,9,0.1,0,5,W
2008,2,5/13/2008,N,18,K,BOER4,10,1.5,0,3,W
2008,2,5/13/2008,N,18,K,GUSA2,1,2,18,1,NA
2008,2,5/13/2008,N,18,K,HODR,1,0.05,4,2,NA
2008,2,5/13/2008,N,18,K,HOGL2,1,0.1,2,1,NA
2008,2,5/13/2008,N,18,K,HYFIC,1,0.05,2,1,NA
2008,2,5/13/2008,N,18,K,MAPIP,1,0.05,2,1,NA
2008,2,5/13/2008,N,18,K,MAPIP,2,0.01,2,1,NA
2008,2,5/13/2008,N,19,NP,BOER4,1,4,0,1,W
2008,2,5/13/2008,N,19,NP,BOER4,2,0.5,0,2,W
2008,2,5/13/2008,N,19,NP,BOER4,3,0.25,0,4,W
2008,2,5/13/2008,N,19,NP,BOER4,4,12,0,1,W
2008,2,5/13/2008,N,19,NP,BOER4,5,0.5,0,1,W
2008,2,5/13/2008,N,19,NP,BOER4,6,0.1,0,6,W
2008,2,5/13/2008,N,19,NP,BOER4,7,0.05,0,2,W
2008,2,5/13/2008,N,19,NP,BOER4,8,8,0,1,W
2008,2,5/13/2008,N,19,NP,BOER4,9,1.5,0,1,W
2008,2,5/13/2008,N,19,NP,BOER4,10,2.5,0,1,W
2008,2,5/13/2008,N,19,NP,HODR,1,0.05,3,1,NA
2008,2,5/13/2008,N,20,N,ARPU9,1,0.5,4,1,NA
2008,2,5/13/2008,N,20,N,BOER4,1,0.75,0,1,W
2008,2,5/13/2008,N,20,N,BOER4,2,0.5,0,1,W
2008,2,5/13/2008,N,20,N,BOER4,3,3,0,1,W
2008,2,5/13/2008,N,20,N,BOER4,4,13,0,1,W
2008,2,5/13/2008,N,20,N,BOER4,5,4,0,1,W
2008,2,5/13/2008,N,20,N,GUSA2,1,12,32,2,NA
2008,2,5/13/2008,N,20,N,HODR,1,0.05,2,1,NA
2008,2,5/13/2008,N,20,N,SPORO,1,6,0,1,W
2008,2,5/13/2008,N,21,NP,BOER4,1,2,0,2,W
2008,2,5/13/2008,N,21,NP,BOER4,2,1,0,5,W
2008,2,5/13/2008,N,21,NP,BOER4,3,2.5,0,2,W
2008,2,5/13/2008,N,21,NP,BOER4,4,0.25,0,1,W
2008,2,5/13/2008,N,21,NP,BOER4,5,0.5,0,4,W
2008,2,5/13/2008,N,21,NP,BOER4,6,0.75,0,2,W
2008,2,5/13/2008,N,21,NP,BOER4,7,1.5,0,1,W
2008,2,5/13/2008,N,21,NP,BOER4,8,4,0,1,W
2008,2,5/13/2008,N,21,NP,GACO5,1,0.01,3,1,NA
2008,2,5/13/2008,N,21,NP,GACO5,2,0.01,6,3,NA
2008,2,5/13/2008,N,21,NP,GACO5,3,0.05,4,1,NA
2008,2,5/13/2008,N,21,NP,PLJA,1,0.25,0,2,W
2008,2,5/13/2008,N,22,C,BOER4,1,3,0,3,W
2008,2,5/13/2008,N,22,C,BOER4,2,0.05,0,4,W
2008,2,5/13/2008,N,22,C,BOER4,3,1,0,4,W
2008,2,5/13/2008,N,22,C,BOER4,4,0.5,0,2,W
2008,2,5/13/2008,N,22,C,BOER4,5,0.25,0,5,W
2008,2,5/13/2008,N,22,C,BOER4,6,2.5,0,1,W
2008,2,5/13/2008,N,22,C,BOER4,7,0.75,0,1,W
2008,2,5/13/2008,N,22,C,BOER4,8,0.1,0,1,W
2008,2,5/13/2008,N,22,C,BOER4,9,6,0,1,W
2008,2,5/13/2008,N,22,C,BOER4,10,2,0,1,W
2008,2,5/13/2008,N,22,C,BOER4,11,4,0,1,W
2008,2,5/13/2008,N,22,C,BOER4,12,5,0,1,W
2008,2,5/13/2008,N,22,C,HODR,1,0.1,3,1,NA
2008,2,5/13/2008,N,22,C,HODR,2,0.25,3,1,NA
2008,2,5/13/2008,N,22,C,HODR,3,0.1,5,1,NA
2008,2,5/13/2008,N,23,N,BOER4,1,0.25,0,7,W
2008,2,5/13/2008,N,23,N,BOER4,2,0.5,0,8,W
2008,2,5/13/2008,N,23,N,BOER4,3,0.01,0,4,W
2008,2,5/13/2008,N,23,N,BOER4,4,1.5,0,1,W
2008,2,5/13/2008,N,23,N,BOER4,5,3,0,1,W
2008,2,5/13/2008,N,23,N,BOER4,6,0.1,0,3,W
2008,2,5/13/2008,N,23,N,BOER4,7,5,0,1,W
2008,2,5/13/2008,N,23,N,BOER4,8,0.05,0,6,W
2008,2,5/13/2008,N,23,N,BOER4,9,0.75,0,2,W
2008,2,5/13/2008,N,23,N,BOER4,10,2.5,0,1,W
2008,2,5/13/2008,N,23,N,HODR,1,0.1,3,1,NA
2008,2,5/13/2008,N,23,N,HYFIC,1,0.1,4,1,NA
2008,2,5/13/2008,N,23,N,SPHA,1,0.1,4,1,NARROW_WRINKLY_LEAVES
2008,2,5/13/2008,N,23,N,SPHA,1,0.25,5,1,NA
2008,2,5/13/2008,N,23,N,SPHA,2,0.1,3,1,NA
2008,2,5/13/2008,N,24,NP,BOER4,1,1.5,0,1,W
2008,2,5/13/2008,N,24,NP,BOER4,2,0.05,0,3,W
2008,2,5/13/2008,N,24,NP,BOER4,3,0.1,0,10,W
2008,2,5/13/2008,N,24,NP,BOER4,4,0.25,0,4,W
2008,2,5/13/2008,N,24,NP,BOER4,5,0.01,0,5,W
2008,2,5/13/2008,N,24,NP,BOER4,6,0.75,0,1,W
2008,2,5/13/2008,N,24,NP,BOER4,7,0.5,0,3,W
2008,2,5/13/2008,N,24,NP,BOER4,8,15,0,1,W
2008,2,5/13/2008,N,24,NP,HODR,1,0.1,3,1,NA
2008,2,5/13/2008,N,24,NP,HYFIC,1,0.1,3,1,NA
2008,2,5/13/2008,N,24,NP,SPHA,1,0.05,2,1,NA
2008,2,5/13/2008,N,25,NPK,BOER4,1,1.5,0,1,W
2008,2,5/13/2008,N,25,NPK,BOER4,2,0.1,0,3,W
2008,2,5/13/2008,N,25,NPK,BOER4,3,0.25,0,4,W
2008,2,5/13/2008,N,25,NPK,BOER4,4,0.05,1,1,NA
2008,2,5/13/2008,N,25,NPK,BOER4,5,15,0,2,W
2008,2,5/13/2008,N,25,NPK,BOER4,6,1,0,2,W
2008,2,5/13/2008,N,25,NPK,BOER4,7,2,0,1,W
2008,2,5/13/2008,N,25,NPK,BOER4,8,0.5,0,1,W
2008,2,5/13/2008,N,25,NPK,BOER4,9,3.5,0,1,W
2008,2,5/13/2008,N,25,NPK,BOER4,10,4,0,1,W
2008,2,5/13/2008,N,25,NPK,HOGL2,1,0.1,3,1,NA
2008,2,5/13/2008,N,25,NPK,SPORO,1,1,0,1,W
2008,2,5/13/2008,N,26,NK,BOER4,1,2,0,1,W
2008,2,5/13/2008,N,26,NK,BOER4,2,1.5,0,5,W
2008,2,5/13/2008,N,26,NK,BOER4,3,3,0,2,W
2008,2,5/13/2008,N,26,NK,BOER4,4,0.05,0,2,W
2008,2,5/13/2008,N,26,NK,BOER4,5,0.1,0,1,W
2008,2,5/13/2008,N,26,NK,BOER4,6,1,0,3,W
2008,2,5/13/2008,N,26,NK,BOER4,7,0.25,0,2,W
2008,2,5/13/2008,N,26,NK,BOER4,8,3.5,0,1,W
2008,2,5/13/2008,N,26,NK,BOER4,9,0.5,0,4,W
2008,2,5/13/2008,N,26,NK,BOER4,10,2,0,2,W
2008,2,5/13/2008,N,26,NK,MAPIP,1,0.05,5,1,NA
2008,2,5/13/2008,N,27,N,BOER4,1,1,0,1,W
2008,2,5/13/2008,N,27,N,BOER4,2,0.05,0,9,W
2008,2,5/13/2008,N,27,N,BOER4,3,0.1,0,2,W
2008,2,5/13/2008,N,27,N,BOER4,4,2.5,0,1,W
2008,2,5/13/2008,N,27,N,BOER4,5,4,0,1,W
2008,2,5/13/2008,N,27,N,BOER4,6,0.5,0,3,W
2008,2,5/13/2008,N,27,N,BOER4,7,0.25,0,3,W
2008,2,5/13/2008,N,27,N,BOER4,8,1.5,0,1,W
2008,2,5/13/2008,N,27,N,BOER4,9,6,0,1,W
2008,2,5/13/2008,N,27,N,GUSA2,1,4,15,1,NA
2008,2,5/13/2008,N,27,N,GUSA2,2,1,9,1,NA
2008,2,5/13/2008,N,27,N,GUSA2,3,2,15,1,NA
2008,2,5/13/2008,N,27,N,GUSA2,4,1,13,1,NA
2008,2,5/13/2008,N,27,N,HODR,1,0.1,2,1,NA
2008,2,5/13/2008,N,28,NP,BOER4,1,4,0,1,W
2008,2,5/13/2008,N,28,NP,BOER4,2,0.05,0,3,W
2008,2,5/13/2008,N,28,NP,BOER4,3,0.01,0,1,W
2008,2,5/13/2008,N,28,NP,BOER4,4,6,0,1,W
2008,2,5/13/2008,N,28,NP,BOER4,5,0.25,0,3,W
2008,2,5/13/2008,N,28,NP,BOER4,6,0.1,0,5,W
2008,2,5/13/2008,N,28,NP,BOER4,7,3,0,1,W
2008,2,5/13/2008,N,28,NP,BOER4,8,2,0,1,W
2008,2,5/13/2008,N,28,NP,BOER4,9,5,0,3,W
2008,2,5/13/2008,N,28,NP,BOER4,10,0.5,0,2,W
2008,2,5/13/2008,N,28,NP,BOER4,11,1,0,1,W
2008,2,5/13/2008,N,28,NP,MAPIP,1,0.01,3,1,NA
2008,2,5/13/2008,N,29,K,BOER4,1,0.1,0,6,W
2008,2,5/13/2008,N,29,K,BOER4,2,8,0,1,W
2008,2,5/13/2008,N,29,K,BOER4,3,0.25,0,5,W
2008,2,5/13/2008,N,29,K,BOER4,4,1,0,4,W
2008,2,5/13/2008,N,29,K,BOER4,5,0.05,0,3,W
2008,2,5/13/2008,N,29,K,BOER4,6,2.5,0,1,W
2008,2,5/13/2008,N,29,K,BOER4,7,2,0,1,W
2008,2,5/13/2008,N,29,K,BOER4,8,9,0,1,W
2008,2,5/13/2008,N,29,K,CHER2,1,0.05,4,1,NA
2008,2,5/13/2008,N,29,K,CHER2,2,0.01,4,1,NA
2008,2,5/13/2008,N,29,K,CHER2,3,0.05,3,3,NA
2008,2,5/13/2008,N,29,K,CHER2,4,0.01,4,1,NA
2008,2,5/13/2008,N,29,K,HODR,1,0.1,2,1,NA
2008,2,5/13/2008,N,29,K,HOGL2,1,0.05,3,1,NA
2008,2,5/13/2008,N,30,NK,BOER4,1,3,0,2,W
2008,2,5/13/2008,N,30,NK,BOER4,2,1,0,3,W
2008,2,5/13/2008,N,30,NK,BOER4,3,0.5,0,4,W
2008,2,5/13/2008,N,30,NK,BOER4,4,0.1,0,5,W
2008,2,5/13/2008,N,30,NK,BOER4,5,0.25,0,5,W
2008,2,5/13/2008,N,30,NK,BOER4,6,0.05,0,10,W
2008,2,5/13/2008,N,30,NK,BOER4,7,9,0,1,W
2008,2,5/13/2008,N,30,NK,BOER4,8,0.75,0,1,W
2008,2,5/13/2008,N,30,NK,BOER4,9,0.01,0,1,W
2008,2,5/13/2008,N,30,NK,BOER4,10,1.5,0,1,W
2008,2,5/13/2008,N,30,NK,GUSA2,1,1.5,12,1,NA
2008,2,5/13/2008,N,31,NK,BOER4,1,1.5,0,1,W
2008,2,5/13/2008,N,31,NK,BOER4,2,0.25,0,2,W
2008,2,5/13/2008,N,31,NK,BOER4,3,0.1,0,1,W
2008,2,5/13/2008,N,31,NK,HYFIC,1,0.25,5,1,NA
2008,2,5/13/2008,N,31,NK,HYFIC,2,0.1,3,1,NA
2008,2,5/13/2008,N,31,NK,MAPIP,1,0.01,2,1,NA
2008,2,5/13/2008,N,31,NK,MAPIP,2,0.01,5,2,NA
2008,2,5/13/2008,N,31,NK,MAPIP,3,0.05,3,1,NA
2008,2,5/13/2008,N,31,NK,MAPIP,4,0.1,6,1,NA
2008,2,5/13/2008,N,31,NK,PLJA,1,0.25,8,1,NA
2008,2,5/13/2008,N,31,NK,PLJA,2,0.5,8,1,NA
2008,2,5/13/2008,N,31,NK,PLJA,3,0.1,8,1,NA
2008,2,5/13/2008,N,31,NK,PLJA,4,0.05,2,1,NA
