PERIOD,DATE,PLOT,LN,QUAD,PSPP,PCOV,PHT,PF,KRF,RBF,SDUNK,SDP,SDKR,SDRD,SDAN,BY
F99,09/26/99,PK,1,5,ARPU6,6.0,17,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,6,ARPU6,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,7,ARPU6,22.0,23,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,3,ARPU6,5.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,4,ARPU6,15.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,6,ARPU6,0.8,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,3,ARPU6,0.2,7,9,0,4,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,4,ARPU6,0.5,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,5,ARPU6,6.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,6,ARPU6,2.5,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,7,ARPU6,11.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,1,ARPU6,3.2,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,3,ARPU6,1.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,4,ARPU6,6.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,5,ARPU6,10.0,17,5,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,7,ARPU6,0.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,1,ARPU6,2.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,4,ARPU6,3.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,2,ARPU6,4.0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,4,ARPU6,1.5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,5,ARPU6,38.0,19,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,6,ARPU6,0.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,7,ARPU6,3.5,8,5,0,6,0.0,0.0,0.0,0.0,4.0,NA
F99,09/26/99,PK,7,1,ARPU6,4.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,1,ARPU6,0.4,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,3,BOBA2,0.5,7,2,0,5,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,7,BOBA2,0.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,1,BOBA2,0.5,6,4,0,7,0.0,0.0,0.0,0.4,0.0,NA
F99,09/26/99,PK,2,2,BOBA2,0.5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,2,BOBA2,1.5,6,3,0,5,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,3,BOBA2,2.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,4,BOBA2,9.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,5,BOBA2,5.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,6,BOBA2,1.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,7,BOBA2,3.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,1,BOBA2,6.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,1,BOBA2,3.5,5,7,0,4,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,2,BOBA2,4.5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,3,BOBA2,2.5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,4,BOBA2,0.5,2,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,5,BOBA2,0.2,4,2,0,0,0.0,0.0,0.0,0.0,4.0,NA
F99,09/26/99,PK,3,6,BOBA2,0.5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,1,BOBA2,7.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,2,BOBA2,0.1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,3,BOBA2,9.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,4,BOBA2,1.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,7,BOBA2,0.5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,1,BOBA2,6.5,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,2,BOBA2,2.5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,3,BOBA2,28.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,4,BOBA2,11.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,BOBA2,8.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,1,BOBA2,0.5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,2,BOBA2,11.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,3,BOBA2,4.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,6,BOBA2,7.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,7,BOBA2,5.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,2,BOBA2,0.3,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,3,BOBA2,0.3,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,4,BOBA2,3.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,5,BOBA2,5.0,10,2,0,11,0.0,0.0,0.0,0.2,0.0,NA
F99,09/26/99,PK,7,6,BOBA2,6.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,1,BOER4,54.0,25,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,BOGR2,11.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,1,BOSP,1.8,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,1,BREUC2,5.0,26,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,5,BUDA,4.5,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,1,CHPA,0.2,9,0,0,0,0.0,0.0,0.0,0.0,0.0,CHPA
F99,09/26/99,PK,6,1,CHPA,0.5,13,1,0,4,0.0,0.0,0.0,0.0,0.0,CHPA
F99,09/26/99,PK,1,1,CHSE7,0.5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,2,CHSE7,0.3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,3,CHSE7,1.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,4,CHSE7,0.1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,1,CHSE7,2.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,2,CHSE7,0.5,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,3,CHSE7,0.2,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,7,CHSE7,0.3,4,14,0,3,0.0,0.0,0.0,0.8,3.0,NA
F99,09/26/99,PK,3,3,CHSE7,0.3,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,6,CHSE7,0.8,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,7,CHSE7,2.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,1,CHSE7,0.5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,4,CHSE7,3.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,5,CHSE7,0.1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,7,CHSE7,0.3,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,1,CHSE7,0.5,6,0,0,4,0.0,0.0,0.0,0.0,3.0,NA
F99,09/26/99,PK,5,2,CHSE7,4.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,4,CHSE7,1.5,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,5,CHSE7,0.3,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,CHSE7,0.3,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,5,CHSE7,0.3,8,6,0,3,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,6,CHSE7,1.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,7,CHSE7,1.5,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,1,CHSE7,6.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,2,CHSE7,0.2,3,3,0,5,0.0,0.0,0.0,0.1,0.4,NA
F99,09/26/99,PK,7,3,CHSE7,0.1,3,3,0,10,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,4,CHSE7,1.4,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,1,CHSES,0.5,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,2,CHSES,2.5,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,3,CHSES,3.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,5,CHSES,1.5,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,7,CHSES,0.5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,1,CHSES,0.4,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,2,CHSES,1.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,3,CHSES,0.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,4,CHSES,0.5,8,22,0,0,0.0,90.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,7,CHSES,2.0,6,7,0,0,0.0,1.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,1,CHSES,2.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,2,CHSES,0.3,5,2,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,5,CHSES,0.5,4,7,0,9,0.0,22.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,CHSES,0.2,7,8,0,4,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,1,CHSES,1.5,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,3,CHSES,0.1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,4,CHSES,0.2,4,16,0,0,0.0,0.0,0.0,1.5,13.0,NA
F99,09/26/99,PK,6,7,CHSES,0.8,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,4,CHSES,0.6,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,2,DAPU7,0.7,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,4,DAPU7,7.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,5,DAPU7,2.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,5,DAPU7,0.5,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,7,GUSA2,0.5,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,6,HIJA,0.2,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,1,HOGL2,1.5,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,6,HOGL2,6.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,7,HOGL2,0.6,15,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,5,HOGL2,17.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,6,HOGL2,6.0,11,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,7,HOGL2,7.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,3,HOGL2,9.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,4,HOGL2,7.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,5,HOGL2,8.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,6,HOGL2,7.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,7,HOGL2,9.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,1,HOGL2,0.5,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,2,HOGL2,1.5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,3,HOGL2,4.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,4,HOGL2,3.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,5,HOGL2,5.2,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,6,HOGL2,4.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,7,HOGL2,0.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,3,HOGL2,5.0,16,14,0,5,0.0,2.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,4,HOGL2,7.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,5,HOGL2,7.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,HOGL2,11.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,HOGL2,4.5,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,4,HOGL2,2.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,5,HOGL2,2.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,6,HOGL2,16.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,7,HOGL2,9.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,3,HOGL2,2.5,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,5,KAPA,1.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,1,KAPA,8.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,2,KAPA,3.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,3,KAPA,11.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,4,KAPA,23.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,5,KAPA,5.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,7,KAPA,2.0,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,1,KAPA,2.5,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,2,KAPA,11.0,16,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,3,KAPA,11.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,4,KAPA,27.0,22,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,7,KAPA,3.5,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,3,KAPA,3.5,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,KAPA,5.0,17,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,1,KAPA,2.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,2,KAPA,5.0,16,13,0,2,0.0,0.0,0.0,0.0,2.5,NA
F99,09/26/99,PK,6,6,KAPA,11.0,15,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,4,KAPA,18.0,21,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,6,KAPA,12.0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,7,LYPH,9.5,18,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,3,LYPH,0.3,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,2,LYPH,2.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,6,MOSQ,2.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,7,MOSQ,0.1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,2,MOSQ,0.2,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,3,MOSQ,0.1,4,3,0,1,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,2,4,MOSQ,0.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,2,MOSQ,0.4,6,11,0,2,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,3,MOSQ,0.4,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,6,MOSQ,0.1,3,2,0,3,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,3,MOSQ,2.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,4,MOSQ,1.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,7,MOSQ,0.1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,2,MOSQ,0.2,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,3,MOSQ,0.5,4,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,MOSQ,10.5,11,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,3,MOSQ,3.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,1,MOSQ,5.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,2,MOSQ,1.4,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,4,MOSQ,4.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,7,6,MOSQ,2.5,8,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,1,MUAR,0.5,13,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,1,4,MUAR,8.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,4,MUAR,0.5,6,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,3,5,MUAR,3.5,10,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,4,1,MUAR,6.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,2,MUAR,14.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,5,MUAR,3.0,12,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,MUAR,1.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,5,6,MUAR,4.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
F99,09/26/99,PK,6,2,MUAR,16.0,14,0,0,0,0.0,0.0,0.0,0.0,0.0,NA
