year,season,date,site,plot,subplot,quad,treatment,species,obs,cover,height,count,comment
2000,3,10/22/2000,M,3,B,1,SF,CHSES,8,1.5,10,2,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,9,1,8,7,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,10,2,5,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,11,1.5,12,1,NA
2000,3,10/22/2000,M,3,B,1,SF,CHSES,12,1,12,1,NA
2000,3,10/22/2000,M,3,B,1,SF,EUEX4,1,2,15,1,NA
2000,3,10/22/2000,M,3,B,1,SF,HODR,1,1,5,1,NA
2000,3,10/22/2000,M,3,B,1,SF,HODR,2,1.5,8,1,NA
2000,3,10/22/2000,M,3,B,1,SF,KAPA,1,3,10,1,NA
2000,3,10/22/2000,M,3,B,1,SF,PLPA2,1,0.01,1,2,NA
2000,3,10/22/2000,M,3,B,1,SF,SPCO4,1,0.5,19,1,NA
2000,3,10/22/2000,M,3,B,1,SF,SPORO,1,0.25,9,2,NA
2000,3,10/22/2000,M,3,B,1,SF,SPORO,2,0.25,13,2,NA
2000,3,10/22/2000,M,3,B,2,SF,BOBA2,1,2,26,5,NA
2000,3,10/22/2000,M,3,B,2,SF,BOBA2,2,3,23,3,NA
2000,3,10/22/2000,M,3,B,2,SF,BOER4,1,1.5,22,1,NA
2000,3,10/22/2000,M,3,B,2,SF,BOER4,2,10,21,1,NA
2000,3,10/22/2000,M,3,B,2,SF,BOER4,3,0.25,8,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,1,0.1,9,4,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,2,0.1,4,2,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,3,1,13,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,4,0.25,10,3,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,5,0.75,11,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,6,0.25,14,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,7,1,11,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,8,0.01,1,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHER2,9,0.5,10,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHRE4,1,0.25,14,2,NA
2000,3,10/22/2000,M,3,B,2,SF,CHRE4,2,2,18,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSE7,1,0.5,8,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,1,1,9,12,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,2,0.5,5,3,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,3,1,6,14,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,4,0.25,4,3,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,5,1.5,8,11,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,6,0.5,8,17,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,7,1.5,12,2,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,8,2,10,3,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,9,4,11,1,NA
2000,3,10/22/2000,M,3,B,2,SF,CHSES,10,1,12,2,NA
2000,3,10/22/2000,M,3,B,2,SF,DAPU7,1,0.05,4,1,NA
2000,3,10/22/2000,M,3,B,2,SF,ENDE,1,0.5,9,1,NA
2000,3,10/22/2000,M,3,B,2,SF,HODR,1,3,7,1,NA
2000,3,10/22/2000,M,3,B,2,SF,KAPA,1,1.5,10,1,NA
2000,3,10/22/2000,M,3,B,2,SF,KAPA,2,5,20,1,NA
2000,3,10/22/2000,M,3,B,2,SF,MUAR2,1,2,12,1,NA
2000,3,10/22/2000,M,3,B,2,SF,MUSQ3,1,2.5,9,1,NA
2000,3,10/22/2000,M,3,B,2,SF,MUSQ3,2,0.5,5,1,NA
2000,3,10/22/2000,M,3,B,2,SF,MUSQ3,3,1.5,11,3,NA
2000,3,10/22/2000,M,3,B,2,SF,PEAN,1,1,5,1,NA
2000,3,10/22/2000,M,3,B,2,SF,SPPO6,1,0.75,44,1,NA
2000,3,10/22/2000,M,3,B,2,SF,SPPO6,2,2,42,1,NA
2000,3,10/22/2000,M,3,B,2,SF,SPPO6,3,0.5,7,13,NA
2000,3,10/22/2000,M,3,B,2,SF,SPPO6,4,0.25,3,1,NA
2000,3,10/22/2000,M,3,B,2,SF,TILA2,1,5,18,1,NA
2000,3,10/22/2000,M,3,B,2,SF,TILA2,2,0.5,13,1,NA
2000,3,10/22/2000,M,7,A,1,LF,BOER4,1,16,22,1,NA
2000,3,10/22/2000,M,7,A,1,LF,BOER4,2,1.5,16,1,NA
2000,3,10/22/2000,M,7,A,1,LF,BOER4,3,0.25,11,1,NA
2000,3,10/22/2000,M,7,A,1,LF,BOER4,4,1,14,1,NA
2000,3,10/22/2000,M,7,A,1,LF,BOER4,5,0.5,15,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,1,0.25,6,4,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,2,4,11,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,3,2.5,6,3,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,4,0.5,6,9,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,5,2,8,3,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,6,1,10,5,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,7,1,5,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,8,1.5,6,3,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,9,0.1,4,3,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,10,6,15,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,11,0.5,11,3,NA
2000,3,10/22/2000,M,7,A,1,LF,CHLA10,12,5,9,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHSE7,1,1,10,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHSES,1,1,7,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHSES,2,0.5,7,5,NA
2000,3,10/22/2000,M,7,A,1,LF,CHSES,3,1,10,6,NA
2000,3,10/22/2000,M,7,A,1,LF,CHSES,4,1,14,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHSES,5,2.5,10,1,NA
2000,3,10/22/2000,M,7,A,1,LF,CHSES,6,1.5,10,1,NA
2000,3,10/22/2000,M,7,A,1,LF,GUSA2,1,5,29,1,NA
2000,3,10/22/2000,M,7,A,1,LF,GUSA2,2,1.5,20,1,NA
2000,3,10/22/2000,M,7,A,1,LF,GUSA2,3,0.25,5,1,NA
2000,3,10/22/2000,M,7,A,1,LF,SPORO,1,0.1,6,2,NA
2000,3,10/22/2000,M,7,A,1,LF,SPORO,2,0.25,17,1,NA
2000,3,10/22/2000,M,7,A,1,LF,TILA2,1,1,23,1,NA
2000,3,10/22/2000,M,7,A,2,LF,BOBA2,1,0.5,18,1,NA
2000,3,10/22/2000,M,7,A,2,LF,BOER4,1,1.5,21,1,NA
2000,3,10/22/2000,M,7,A,2,LF,BOER4,2,2,22,1,NA
2000,3,10/22/2000,M,7,A,2,LF,BOER4,3,2.5,18,1,NA
2000,3,10/22/2000,M,7,A,2,LF,BOER4,4,0.5,17,1,NA
2000,3,10/22/2000,M,7,A,2,LF,BOER4,5,2,19,1,NA
2000,3,10/22/2000,M,7,A,2,LF,BOER4,6,0.5,14,1,NA
2000,3,10/22/2000,M,7,A,2,LF,CHLA10,1,0.75,8,1,NA
2000,3,10/22/2000,M,7,A,2,LF,CHLA10,2,0.25,4,11,NA
2000,3,10/22/2000,M,7,A,2,LF,CHLA10,3,1,10,1,NA
2000,3,10/22/2000,M,7,A,2,LF,CHLA10,4,1.5,8,2,NA
2000,3,10/22/2000,M,7,A,2,LF,CHRE4,1,0.5,16,1,NA
2000,3,10/22/2000,M,7,A,2,LF,CHSE7,1,3,5,1,NA
2000,3,10/22/2000,M,7,A,2,LF,CHSE7,2,2,5,1,NA
2000,3,10/22/2000,M,7,A,2,LF,CHSE7,3,1.5,8,2,NA
2000,3,10/22/2000,M,7,A,2,LF,CHSES,1,0.5,7,5,NA
2000,3,10/22/2000,M,7,A,2,LF,CHSES,2,1,9,1,NA
2000,3,10/22/2000,M,7,A,2,LF,CHSES,3,1.5,13,1,NA
2000,3,10/22/2000,M,7,A,2,LF,GUSA2,1,2,22,1,NA
2000,3,10/22/2000,M,7,A,2,LF,GUSA2,2,2.5,17,1,NA
2000,3,10/22/2000,M,7,A,2,LF,GUSA2,3,1,16,1,NA
2000,3,10/22/2000,M,7,A,2,LF,GUSA2,4,3.5,17,1,NA
2000,3,10/22/2000,M,7,A,2,LF,GUSA2,5,2,14,1,NA
2000,3,10/22/2000,M,7,A,2,LF,GUSA2,6,0.5,11,1,NA
2000,3,10/22/2000,M,7,A,2,LF,HODR,1,1,4,1,NA
2000,3,10/22/2000,M,7,A,2,LF,KAPA,1,37,36,1,NA
2000,3,10/22/2000,M,7,A,2,LF,TILA2,1,0.25,18,1,NA
2000,3,10/22/2000,M,7,B,1,L,ALIN,1,5,22,1,NA
2000,3,10/22/2000,M,7,B,1,L,BOBA2,1,0.5,14,3,NA
2000,3,10/22/2000,M,7,B,1,L,BOER4,1,1.5,18,1,NA
2000,3,10/22/2000,M,7,B,1,L,BOER4,2,0.75,18,1,NA
2000,3,10/22/2000,M,7,B,1,L,BOER4,3,1,16,1,NA
2000,3,10/22/2000,M,7,B,1,L,BOER4,4,10,24,1,NA
2000,3,10/22/2000,M,7,B,1,L,BOER4,5,2,18,1,NA
2000,3,10/22/2000,M,7,B,1,L,BOER4,6,5,17,1,NA
2000,3,10/22/2000,M,7,B,1,L,BOER4,7,0.25,6,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHLA10,1,0.1,2,2,NA
2000,3,10/22/2000,M,7,B,1,L,CHLA10,2,0.25,6,10,NA
2000,3,10/22/2000,M,7,B,1,L,CHLA10,3,1,3,5,NA
2000,3,10/22/2000,M,7,B,1,L,CHLA10,4,2,8,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHRE4,1,0.5,9,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHRE4,2,0.25,13,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHRE4,3,1,12,2,NA
2000,3,10/22/2000,M,7,B,1,L,CHSE7,1,1,7,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHSE7,2,0.5,3,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHSE7,3,1.5,4,2,NA
2000,3,10/22/2000,M,7,B,1,L,CHSE7,4,2,4,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHSE7,5,1,2,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHSES,1,0.25,6,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHSES,2,1.5,3,1,NA
2000,3,10/22/2000,M,7,B,1,L,CHSES,3,1,8,6,NA
2000,3,10/22/2000,M,7,B,1,L,CHSES,4,0.5,8,3,NA
2000,3,10/22/2000,M,7,B,1,L,CHSES,5,0.5,1,1,NA
2000,3,10/22/2000,M,7,B,2,L,BOER4,1,7,16,1,NA
2000,3,10/22/2000,M,7,B,2,L,BOER4,2,3.5,16,1,NA
2000,3,10/22/2000,M,7,B,2,L,BOER4,3,2,20,1,NA
2000,3,10/22/2000,M,7,B,2,L,BOER4,4,1.5,21,1,NA
2000,3,10/22/2000,M,7,B,2,L,BOER4,5,2,22,1,NA
2000,3,10/22/2000,M,7,B,2,L,BOER4,6,5,23,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHLA10,1,1,7,6,NA
2000,3,10/22/2000,M,7,B,2,L,CHLA10,2,0.5,9,7,NA
2000,3,10/22/2000,M,7,B,2,L,CHLA10,3,0.75,9,2,NA
2000,3,10/22/2000,M,7,B,2,L,CHLA10,4,4,11,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHLA10,5,0.5,13,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHLA10,6,0.25,6,4,NA
2000,3,10/22/2000,M,7,B,2,L,CHLA10,7,0.1,3,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHRE4,1,0.25,15,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHSE7,4,1.5,8,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHSES,1,1,13,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHSES,2,0.5,13,13,NA
2000,3,10/22/2000,M,7,B,2,L,CHSES,3,1.5,14,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHSES,4,0.5,7,10,NA
2000,3,10/22/2000,M,7,B,2,L,CHSES,5,1,11,2,NA
2000,3,10/22/2000,M,7,B,2,L,CHSES,6,1,12,1,NA
2000,3,10/22/2000,M,7,B,2,L,CHSES,7,0.5,11,7,NA
2000,3,10/22/2000,M,7,B,2,L,CHSES,8,0.5,3,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,1,6,13,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,2,3,12,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,3,2.5,10,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,4,1,11,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,5,2,11,2,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,6,0.5,12,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,7,1.5,10,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,8,1,9,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,9,0.5,8,3,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,10,1,10,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,11,2.5,9,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,12,2,14,1,NA
2000,3,10/22/2000,M,7,B,2,L,MUAR2,13,5,14,1,NA
2000,3,10/22/2000,M,9,A,1,SF,ASTRA,1,0.5,7,1,NA
2000,3,10/22/2000,M,9,A,1,SF,ASTRA,2,0.1,2,1,NA
2000,3,10/22/2000,M,9,A,1,SF,ASTRA,3,0.25,3,1,NA
2000,3,10/22/2000,M,9,A,1,SF,ASTRA,4,0.05,1,2,NA
2000,3,10/22/2000,M,9,A,1,SF,BOBA2,1,1.5,22,1,NA
2000,3,10/22/2000,M,9,A,1,SF,BOBA2,2,0.5,20,1,NA
2000,3,10/22/2000,M,9,A,1,SF,BOER4,1,0.5,17,1,NA
2000,3,10/22/2000,M,9,A,1,SF,BOER4,2,2,17,2,NA
2000,3,10/22/2000,M,9,A,1,SF,BOER4,3,0.25,7,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHRE4,1,1,13,2,NA
2000,3,10/22/2000,M,9,A,1,SF,CHRE4,2,0.5,13,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSE7,1,1,4,3,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSE7,2,1,1,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSE7,3,0.5,1,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSE7,4,1.5,8,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,1,1,9,8,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,2,0.5,8,7,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,3,1.5,10,2,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,4,3,6,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,5,0.5,2,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,6,1.5,3,11,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,7,4,3,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,8,2,4,1,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,9,1,2,5,NA
2000,3,10/22/2000,M,9,A,1,SF,CHSES,10,2,2,3,NA
2000,3,10/22/2000,M,9,A,1,SF,EUEX4,1,0.25,7,2,NA
2000,3,10/22/2000,M,9,A,1,SF,LIPU4,1,0.01,2,1,NA
2000,3,10/22/2000,M,9,A,1,SF,PLPA2,1,0.01,1,2,NA
2000,3,10/22/2000,M,9,A,1,SF,SPCO4,1,1.5,42,1,NA
2000,3,10/22/2000,M,9,A,1,SF,SPORO,1,0.5,9,2,NA
2000,3,10/22/2000,M,9,A,1,SF,SPORO,2,0.25,6,2,NA
2000,3,10/22/2000,M,9,A,1,SF,SPPO6,1,0.25,2,1,NA
2000,3,10/22/2000,M,9,A,1,SF,TILA2,1,5,14,1,NA
2000,3,10/22/2000,M,9,A,1,SF,TILA2,2,0.5,14,1,NA
2000,3,10/22/2000,M,9,A,2,SF,BOER4,1,2,15,1,NA
2000,3,10/22/2000,M,9,A,2,SF,BOER4,2,0.5,12,1,NA
2000,3,10/22/2000,M,9,A,2,SF,BOER4,3,12,24,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHRE4,1,1,14,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSE7,1,1.5,9,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSE7,2,1,10,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSE7,3,0.5,4,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSE7,4,1,4,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,1,1.5,9,2,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,2,1.5,12,3,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,3,2.5,4,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,4,1,8,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,5,1.5,3,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,6,1,4,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,7,0.5,2,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,8,0.25,2,1,NA
2000,3,10/22/2000,M,9,A,2,SF,CHSES,9,1,1,1,NA
2000,3,10/22/2000,M,9,A,2,SF,DAPU7,1,0.1,3,1,NA
2000,3,10/22/2000,M,9,A,2,SF,GUSA2,1,6,22,1,NA
2000,3,10/22/2000,M,9,A,2,SF,GUSA2,2,1.5,13,1,NA
2000,3,10/22/2000,M,9,A,2,SF,KAPA,1,28,38,1,NA
2000,3,10/22/2000,M,9,A,2,SF,SCMU6,1,1,21,1,NA
2000,3,10/22/2000,M,9,A,2,SF,SPCO4,1,8,33,1,NA
2000,3,10/22/2000,M,9,A,2,SF,SPPO6,1,0.5,29,1,NA
2000,3,10/22/2000,M,9,B,1,S,ASTRA,1,0.05,1,1,NA
2000,3,10/22/2000,M,9,B,1,S,ASTRA,2,0.75,7,1,NA
2000,3,10/22/2000,M,9,B,1,S,BOER4,1,25,23,1,NA
2000,3,10/22/2000,M,9,B,1,S,BOER4,2,0.75,17,1,NA
2000,3,10/22/2000,M,9,B,1,S,BOER4,3,0.1,9,2,NA
2000,3,10/22/2000,M,9,B,1,S,CHRE4,1,1,13,1,NA
2000,3,10/22/2000,M,9,B,1,S,CHRE4,2,0.5,12,1,NA
2000,3,10/22/2000,M,9,B,1,S,CHRE4,3,0.5,17,1,NA
2000,3,10/22/2000,M,9,B,1,S,CHSE7,1,0.25,4,3,NA
2000,3,10/22/2000,M,9,B,1,S,CHSE7,2,0.1,9,1,NA
2000,3,10/22/2000,M,9,B,1,S,CHSES,1,0.5,9,11,NA
2000,3,10/22/2000,M,9,B,1,S,CHSES,2,0.25,3,13,NA
2000,3,10/22/2000,M,9,B,1,S,CHSES,3,0.1,7,15,NA
2000,3,10/22/2000,M,9,B,1,S,DAPU7,1,0.01,1,1,NA
2000,3,10/22/2000,M,9,B,1,S,EUEX4,1,0.1,10,3,NA
2000,3,10/22/2000,M,9,B,1,S,GUSA2,1,5,18,1,NA
2000,3,10/22/2000,M,9,B,1,S,MUAR2,1,1,8,2,NA
2000,3,10/22/2000,M,9,B,1,S,MUAR2,2,1,10,1,NA
2000,3,10/22/2000,M,9,B,1,S,MUAR2,3,2,9,1,NA
2000,3,10/22/2000,M,9,B,1,S,SPFL2,1,1,28,1,NA
2000,3,10/22/2000,M,9,B,2,S,ASTRA,1,0.01,2,1,NA
2000,3,10/22/2000,M,9,B,2,S,ASTRA,2,0.25,6,1,NA
2000,3,10/22/2000,M,9,B,2,S,BOBA2,1,0.5,16,1,NA
2000,3,10/22/2000,M,9,B,2,S,BOBA2,2,1,24,2,NA
2000,3,10/22/2000,M,9,B,2,S,BOBA2,3,1,30,1,NA
2000,3,10/22/2000,M,9,B,2,S,BOER4,1,2,16,12,NA
