YEAR,MONTH,DATE,SITE,TRANSECT,TREATMENT,QUAD,SIDE,FRONDS,AREA,OBS_CODE,NOTES
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,4,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,10,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,28,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,18,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,39,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,28,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,17,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,I,34,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,I,21,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,I,29,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,I,17,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,I,40,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,1,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,40,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,18,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,22,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,12,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,32,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,13,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,10,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,6,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,7,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,59,20,20,-99999
2008,1,2008-01-17,MOHK,3,ANNUAL REMOVAL,40,O,18,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,20,I,3,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,20,O,0,20,20,NO KELP
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,29,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,7,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,16,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,9,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,I,2,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,O,5,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,O,7,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,O,2,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,O,4,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,O,29,20,20,-99999
2008,1,2008-01-30,AQUE,4,CONTROL,40,O,41,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,20,I,12,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,20,I,15,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,20,I,14,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,20,I,1,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,I,7,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,I,4,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,I,16,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,O,7,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,O,5,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,O,3,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,O,145,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,O,4,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,O,2,20,20,-99999
2008,1,2008-01-30,AQUE,7,ANNUAL REMOVAL,40,O,2,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,20,I,0,20,20,NO KELP
2008,2,2008-02-12,CARP,7,CONTROL,20,O,3,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,20,O,2,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,20,O,1,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,20,O,7,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,20,O,4,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,20,O,1,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,20,O,2,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,40,I,0,20,20,NO KELP
2008,2,2008-02-12,CARP,7,CONTROL,40,O,1,20,20,-99999
2008,2,2008-02-12,CARP,7,CONTROL,40,O,2,20,20,-99999
2008,2,2008-02-12,CARP,9,ANNUAL REMOVAL,20,I,1,20,20,-99999
2008,2,2008-02-12,CARP,9,ANNUAL REMOVAL,20,O,1,20,20,-99999
2008,2,2008-02-12,CARP,9,ANNUAL REMOVAL,40,I,3,20,20,-99999
2008,2,2008-02-12,CARP,9,ANNUAL REMOVAL,40,I,4,20,20,-99999
2008,2,2008-02-12,CARP,9,ANNUAL REMOVAL,40,I,4,20,20,-99999
2008,2,2008-02-12,CARP,9,ANNUAL REMOVAL,40,I,19,20,20,-99999
2008,2,2008-02-12,CARP,9,ANNUAL REMOVAL,40,O,0,20,20,NO KELP
2008,3,2008-03-07,AQUE,4,CONTROL,20,I,3,20,20,-99999
2008,3,2008-03-07,AQUE,4,CONTROL,20,O,0,20,20,NO KELP
2008,3,2008-03-07,AQUE,4,CONTROL,40,I,23,20,20,-99999
2008,3,2008-03-07,AQUE,4,CONTROL,40,O,2,20,20,-99999
2008,3,2008-03-07,AQUE,4,CONTROL,40,O,7,20,20,-99999
2008,3,2008-03-07,AQUE,4,CONTROL,40,O,6,20,20,-99999
2008,3,2008-03-07,AQUE,4,CONTROL,40,O,5,20,20,-99999
2008,3,2008-03-07,AQUE,4,CONTROL,40,O,12,20,20,-99999
2008,3,2008-03-07,AQUE,4,CONTROL,40,O,40,20,20,-99999
2008,3,2008-03-07,AQUE,7,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,3,2008-03-07,AQUE,7,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,3,2008-03-07,AQUE,7,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,3,2008-03-07,AQUE,7,ANNUAL REMOVAL,40,O,0,20,20,NO KELP
2008,3,2008-03-07,NAPL,3,CONTROL,20,I,0,20,20,NO KELP
2008,3,2008-03-07,NAPL,3,CONTROL,20,O,0,20,20,NO KELP
2008,3,2008-03-07,NAPL,3,CONTROL,40,I,0,20,20,NO KELP
2008,3,2008-03-07,NAPL,3,CONTROL,40,O,0,20,20,NO KELP
2008,3,2008-03-07,NAPL,9,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,3,2008-03-07,NAPL,9,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,3,2008-03-07,NAPL,9,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,3,2008-03-07,NAPL,9,ANNUAL REMOVAL,40,O,1,20,20,-99999
2008,3,2008-03-11,CARP,7,CONTROL,20,I,0,20,20,NO KELP
2008,3,2008-03-11,CARP,7,CONTROL,20,O,0,20,20,NO KELP
2008,3,2008-03-11,CARP,7,CONTROL,40,I,0,20,20,NO KELP
2008,3,2008-03-11,CARP,7,CONTROL,40,O,0,20,20,NO KELP
2008,3,2008-03-11,CARP,9,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,3,2008-03-11,CARP,9,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,3,2008-03-11,CARP,9,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,3,2008-03-11,CARP,9,ANNUAL REMOVAL,40,O,0,20,20,NO KELP
2008,3,2008-03-11,MOHK,2,CONTROL,20,I,13,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,20,I,12,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,20,I,25,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,20,O,15,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,20,O,9,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,20,O,9,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,40,I,6,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,40,I,3,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,40,I,55,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,40,O,1,20,20,-99999
2008,3,2008-03-11,MOHK,2,CONTROL,40,O,2,20,20,-99999
2008,3,2008-03-11,MOHK,3,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,3,2008-03-11,MOHK,3,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,3,2008-03-11,MOHK,3,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,3,2008-03-11,MOHK,3,ANNUAL REMOVAL,40,O,0,20,20,NO KELP
2008,4,2008-04-01,AQUE,4,CONTROL,20,I,5,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,20,O,2,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,I,24,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,I,9,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,I,1,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,O,6,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,O,12,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,O,15,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,O,6,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,O,18,20,20,-99999
2008,4,2008-04-01,AQUE,4,CONTROL,40,O,47,20,20,-99999
2008,4,2008-04-01,AQUE,7,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,4,2008-04-01,AQUE,7,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,4,2008-04-01,AQUE,7,ANNUAL REMOVAL,40,I,1,20,20,-99999
2008,4,2008-04-01,AQUE,7,ANNUAL REMOVAL,40,O,1,20,20,-99999
2008,4,2008-04-01,AQUE,7,ANNUAL REMOVAL,40,O,2,20,20,-99999
2008,4,2008-04-02,CARP,7,CONTROL,20,I,0,20,20,NO KELP
2008,4,2008-04-02,CARP,7,CONTROL,20,O,2,20,20,-99999
2008,4,2008-04-02,CARP,7,CONTROL,40,I,0,20,20,NO KELP
2008,4,2008-04-02,CARP,7,CONTROL,40,O,0,20,20,NO KELP
2008,4,2008-04-02,CARP,9,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,4,2008-04-02,CARP,9,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,4,2008-04-02,CARP,9,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,4,2008-04-02,CARP,9,ANNUAL REMOVAL,40,O,0,20,20,NO KELP
2008,4,2008-04-07,MOHK,2,CONTROL,20,I,21,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,20,I,11,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,20,I,33,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,20,O,1,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,20,O,8,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,20,O,28,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,20,O,16,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,20,O,4,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,20,O,5,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,40,I,1,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,40,I,48,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,40,I,1,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,40,I,42,20,20,-99999
2008,4,2008-04-07,MOHK,2,CONTROL,40,O,0,20,20,NO KELP
2008,4,2008-04-07,MOHK,3,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,4,2008-04-07,MOHK,3,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,4,2008-04-07,MOHK,3,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,4,2008-04-07,MOHK,3,ANNUAL REMOVAL,40,O,0,20,20,NO KELP
2008,4,2008-04-11,NAPL,3,CONTROL,20,I,0,20,20,NO KELP
2008,4,2008-04-11,NAPL,3,CONTROL,20,O,0,20,20,NO KELP
2008,4,2008-04-11,NAPL,3,CONTROL,40,I,0,20,20,NO KELP
2008,4,2008-04-11,NAPL,3,CONTROL,40,O,0,20,20,NO KELP
2008,4,2008-04-11,NAPL,9,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,4,2008-04-11,NAPL,9,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,4,2008-04-11,NAPL,9,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,4,2008-04-11,NAPL,9,ANNUAL REMOVAL,40,O,2,20,20,-99999
2008,4,2008-04-11,NAPL,9,ANNUAL REMOVAL,40,O,2,20,20,-99999
2008,4,2008-04-11,NAPL,9,ANNUAL REMOVAL,40,O,1,20,20,-99999
2008,4,2008-04-11,NAPL,9,ANNUAL REMOVAL,40,O,1,20,20,-99999
2008,5,2008-05-19,NAPL,3,CONTROL,20,I,0,20,20,NO KELP
2008,5,2008-05-19,NAPL,3,CONTROL,20,O,0,20,20,NO KELP
2008,5,2008-05-19,NAPL,3,CONTROL,40,I,0,20,20,NO KELP
2008,5,2008-05-19,NAPL,3,CONTROL,40,O,0,20,20,NO KELP
2008,5,2008-05-19,NAPL,9,ANNUAL REMOVAL,20,I,0,20,20,NO KELP
2008,5,2008-05-19,NAPL,9,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,5,2008-05-19,NAPL,9,ANNUAL REMOVAL,40,I,4,20,20,-99999
2008,5,2008-05-19,NAPL,9,ANNUAL REMOVAL,40,O,9,20,20,-99999
2008,5,2008-05-19,NAPL,9,ANNUAL REMOVAL,40,O,4,20,20,-99999
2008,5,2008-05-19,NAPL,9,ANNUAL REMOVAL,40,O,2,20,20,-99999
2008,5,2008-05-20,CARP,7,CONTROL,20,I,0,20,20,NO KELP
2008,5,2008-05-20,CARP,7,CONTROL,20,O,0,20,20,NO KELP
2008,5,2008-05-20,CARP,7,CONTROL,40,I,0,20,20,NO KELP
2008,5,2008-05-20,CARP,7,CONTROL,40,O,0,20,20,NO KELP
2008,5,2008-05-20,CARP,9,ANNUAL REMOVAL,20,I,1,20,20,-99999
2008,5,2008-05-20,CARP,9,ANNUAL REMOVAL,20,I,1,20,20,-99999
2008,5,2008-05-20,CARP,9,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,5,2008-05-20,CARP,9,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,5,2008-05-20,CARP,9,ANNUAL REMOVAL,20,O,1,20,20,-99999
2008,5,2008-05-20,CARP,9,ANNUAL REMOVAL,40,I,0,20,20,NO KELP
2008,5,2008-05-20,CARP,9,ANNUAL REMOVAL,40,O,0,20,20,NO KELP
2008,5,2008-05-20,MOHK,2,CONTROL,20,I,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,I,17,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,I,30,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,I,21,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,I,43,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,4,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,7,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,6,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,21,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,20,O,22,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,I,6,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,I,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,I,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,I,6,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,I,66,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,3,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,6,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,1,20,20,-99999
2008,5,2008-05-20,MOHK,2,CONTROL,40,O,2,20,20,-99999
2008,5,2008-05-20,MOHK,3,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-20,MOHK,3,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-20,MOHK,3,ANNUAL REMOVAL,20,I,1,20,20,-99999
2008,5,2008-05-20,MOHK,3,ANNUAL REMOVAL,20,I,1,20,20,-99999
2008,5,2008-05-20,MOHK,3,ANNUAL REMOVAL,20,O,0,20,20,NO KELP
2008,5,2008-05-20,MOHK,3,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-20,MOHK,3,ANNUAL REMOVAL,40,O,0,20,20,NO KELP
2008,5,2008-05-28,AQUE,4,CONTROL,20,I,20,20,20,-99999
2008,5,2008-05-28,AQUE,4,CONTROL,20,I,1,20,20,-99999
2008,5,2008-05-28,AQUE,4,CONTROL,20,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,4,CONTROL,20,O,0,20,20,NO KELP
2008,5,2008-05-28,AQUE,4,CONTROL,40,I,27,20,20,-99999
2008,5,2008-05-28,AQUE,4,CONTROL,40,I,3,20,20,-99999
2008,5,2008-05-28,AQUE,4,CONTROL,40,I,23,20,20,-99999
2008,5,2008-05-28,AQUE,4,CONTROL,40,I,78,20,20,-99999
2008,5,2008-05-28,AQUE,4,CONTROL,40,O,16,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,1,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,1,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,I,4,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,1,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,1,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,1,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,20,O,1,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
2008,5,2008-05-28,AQUE,7,ANNUAL REMOVAL,40,I,2,20,20,-99999
