global_id,og_id,portal_id,file_id,lter,title,alt_id,owner,metadata_date,year_only,no_temporal_info,start_date,end_date,duration,current,conv_access,pop_data,temp_int,quality,taxa,data_type,descriptor,study_type,num_spp,comm_data,multi_trophic,env_data_file,habitat_data_file,space_data_file,coor_sys,projection,lat,long,summarized,num_sites,num_treatment_levels,treatment_type,exp_maintainence,spatial_replication,num_levels_of_replication,rep_lev1,rep_lev2,rep_lev3,rep_lev4,site_metadata,notes,linked,data_obj_count,api_file
11,18,knb-lter-sbc.21.15,"M. pyrifera standing crop, plant density, and loss rates with SE¾, Macrocystis pyrifera standing crop, plant density and loss rates",SBC,"SBCLTER: Reef: Net primary production, growth and standing crop of Macrocystis pyrifera in Southern California",,Rassweiler;Arkema;Reed;Zimmerman;Brzezinski,0,0,0,4/4/02,12/11/12,,1,1,1,monthly,low,algae,density,,obs,1,no,no,,,,,,,,see site_metadata,3,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.21,density=number of plants per m2,,1,
12,19,knb-lter-sbc.21.15,"M. pyrifera frond census, marked plants, Census of fronds on marked plants",SBC,"SBCLTER: Reef: Net primary production, growth and standing crop of Macrocystis pyrifera in Southern California",,Rassweiler;Arkema;Reed;Zimmerman;Brzezinski,0,0,0,4/4/02,12/11/12,,1,1,1,monthly,low,algae,demo,,obs,1,no,no,,,,,,,,,3,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.21,demographic is growth metric,,1,
13,21,knb-lter-sbc.54.6,All Satellite kelp biomass,SBC,"SBC LTER: Time series of kelp biomass in the canopy from Landsat 5, 1984 -2011",,,0,0,0,3/23/84,11/9/11,,0,1,1,weekly,low,algae,biomass,,obs,1,no,no,,,,,,,,,-999,-999,see site_metadata,see site_metadata,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.54,biomass was estimated with Landsat ,,1,
14,50,knb-lter-sbc.77.1,"Time-series of lobster abundance and size, Time-series of abundance and size of California spiny lobster (Panulirus interruptus) at SBC LTER reefs",SBC,"SBC LTER: Reef: Abundance, size and fishing effort for California Spiny Lobster (Panulirus interruptus), ongoing since 2012",,Reed,0,0,0,8/20/12,9/12/14,,1,1,1,yr,low,arthropod,count,,obs,1,no,no,,,,,,,,,5,0,habitat,none,yes,2,8,4,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.77,"site (5), permanent transects (up to 8 per site), lobster transect (up to 4 per permanent transect)",,1,SBC/lobster_abundance_all_years_20141001.csv
15,52,knb-lter-sbc.52.3,"California invertebrate settlement, all years, settlement data for urchins plus selected bivalves, gastropds and crabs.",SBC,SBC LTER: Time series of settlement of urchins and other invertebrates,,Dixon;Ebert;Richards,0,0,0,2/19/90,7/29/11,,0,1,1,biweekly,low,echinoderm,density,,obs,-999,yes,yes,,,,,,,,,7,0,habitat,none,yes,1,24,0,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.52,"density= average number of settlers per day per brush; site (5), brush (up to 24 brushes per site , or 12 brush pairs)",,1,SBC/calif_invert_settlement_allyears.csv
16,53,knb-lter-sbc.39.4,"SCI selected fish, all years, Santa Cruz Island Surfperch and Garibaldi data",SBC,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,,Schmitt; Holbrook,0,0,0,7/28/82,11/30/10,,0,1,1,irregular,low,fish,count,,obs,5,yes,no,,,,,,,,,-999,0,habitat,none,yes,1,3,0,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.39,"site (11), transect (3 per site, transects are habitat types i.e. depths)",,1,SBC/SCI_Fish_All_Years.csv
17,54,knb-lter-sbc.38.4,"SCI benthic cover, all years, cover of algae and sessile invertebrates at permanent Santa Cruz Island sites since 1982",SBC,"SBC LTER: Santa Cruz Island: Cover of Algae, Invertebrates and Benthic Substrate",,Schmitt; Holbrook,0,0,0,8/5/82,10/7/10,,0,1,1,irregular,low,algae; cnidarian;echinoderm; see site_metadata,presc_abs,,obs,-999,yes,see site_metadata,,,,,,,,,-999,0,habitat,none,yes,3,3,80,4,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.38,"site (11), transect (3 per site, transects are habitat types), points (80 points per transect), replicates (4 replicate samples per point)",,1,SBC/SCI_Cover_All_Years.csv
18,55,knb-lter-sbc.47.3,"SCI alga weights, all years, Weight of algae by genus or species collected from scraped quadrats",SBC,SBC LTER: Santa Cruz Island: Abundance and Biomass of Benthic Organisms (food resource collection),,Schmitt; Holbrook,0,0,0,10/14/82,11/16/06,,0,1,1,irregular,low,algae,biomass,,obs,-999,yes,no,,,,,,,,,-999,0,habitat,none,yes,2,3,12,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.47,"site (11), transect (3 per site, transects are habitat types), quadrat (up to 12 quadrats per transect); biomass is wet weight",,1,SBC/SCI_Algal_Weights_All_Years.csv
19,57,knb-lter-sbc.46.3,"SCI Pycnopodia, all years, Pycnopodia Counts from Santa Cruz Island",SBC,SBC LTER: Santa Cruz Island: Abundance of Pycnopodia helianthoides,,Schmitt; Holbrook,0,0,0,11/3/03,11/30/10,,0,1,1,irregular,low,echinoderm,count,,obs,1,no,no,,,,,,,,,11,0,habitat,none,yes,2,3,2,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.46,"site(11), transects (3 per site, different habitat types), sweeps (2, per transect, each side of transect)",,1,SBC/SCI_Pycnopodia_All_Years.csv
20,59,knb-lter-sbc.14.13,"Historical kelp biomass, Time series of giant kelp biomass along the coasts of California and Baja, Mexico",SBC,SBC LTER: Reef: Historical Kelp Database for giant kelp (Macrocystis pyrifera) biomass in California and Mexico,,Reed,0,0,0,8/13/57,4/28/07,,0,1,1,irregular,low,algae,biomass,,obs,1,no,no,,,,,,,,,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.14,bimoass was visually estimated from aerial surveys,,1,
21,77,knb-lter-sbc.61.4,"Sea otter sightings, records, Number, location and behavior/activities of sea otters along the Santa Barbara Coast",SBC,"SBC LTER: Reef: Sightings of sea otters (Enhydra lutris) near Santa Barbara and Channel Islands, ongoing since 2007",,,0,0,0,5/1/07,12/22/11,,1,1,1,monthly;irregular,low,mammal,count,,obs,1,no,no,,,,,,,,,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.61,,,1,
22,166,knb-lter-sbc.60.5,"Okamoto, SCI aggregated EJ food, Aggregated mean abundance of age classes of black surfperch and their prey.",SBC,"SBC LTER: Santa Cruz Island: Aggregated mean abundance of black surfperch (Embiotoca jacksoni) and prey availability, 1994-2008",,Okamoto;Schmitt;Holbrook,0,1,0,1/1/94,1/1/08,,0,1,1,see site_metadata,low,fish,count,,obs,1,no,no,,,,,,,,averaged,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.60,,,1,
23,321,knb-lter-sbc.45.8,"SBC LTER cross-shelf study, 2008, 5m phytoplankton counts",SBC,"SBC LTER: Cross-shelf Study 2008-2009: Profiles of CTD, biogeochemistry, primary production, abundance of phytoplankton groups, and abundance and production of bacteria",,Halewood;Carlson;Brzezinski;Goodman,0,0,0,1/16/08,4/20/09,,0,1,1,monthly,low,phyto,concentration,,obs,-999,yes,no,,,,,,,,,5,0,habitat,none,yes,0,0,0,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.45,no additional spatial replication aside from repeat site visits; data are cells per liter,,1,
24,334,knb-lter-sev.106.214968,sev106_hopperdynamics_20150826.txt,SEV," Long-Term Core Site Grasshopper Dynamics for the Sevilleta National Wildlife Refuge, New Mexico (1992-2013) ",106," Lightfoot, David ",0,1,0,6/22/92,9/22/13,,1,1,1,season:yr,high,arthropod,count,,obs,56,yes,no,,,,,,see notes,see notes,,4,2,habitat;fire,pulse,yes,2,5,6,0,0,http://sev.lternet.edu/data/sev-106,"site coordinates: G (http://sev.lternet.edu/node/3563), C (http://sev.lternet.edu/node/649), P (http://sev.lternet.edu/node/3565), B (http://sev.lternet.edu/node/3564); sites(4), webs(5 per site), transects(6 per web)",,1,
25,337,knb-lter-sev.112.85597,sev112_coyotedens_01062009.txt,SEV," Coyote Population Densities at the Sevilleta National Wildlife Refuge, New Mexico (1992-2004) ",112," Parmenter, Robert ",0,0,0,1/31/92,7/12/04,,0,1,1,season:yr,low,mammal,density,,obs,1,no,no,,,,,,,,averaged,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-112,not raw data; density= number of coyotes per square kilometer,,1,
26,338,knb-lter-sev.113.119297,sev112_coyotedens_01062009.txt,SEV," Rabbit Population Densities at the Sevilleta National Wildlife Refuge, New Mexico (1992-2004) ",113," Parmenter, Robert ",0,0,0,1/20/92,7/23/02,,0,1,1,season:yr,low,mammal,density,,obs,1,no,no,,,,,,,,averaged,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-113,not raw data; density= number of rabbits per square kilometer,,1,
27,340,knb-lter-sev.129.257660,sev129_nppcorequadrat_20141215.txt,SEV," Core Research Site Web Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge, New Mexico (1999- ) ",129," Muldavin, EstebanCollins, Scott ",0,0,0,2/2/99,5/19/15,,1,1,1,season:yr,low,plant,per_cover,,obs,161,yes,no,,,,,,,,,3,0,habitat,none,yes,3,5,4,4,0,http://sev.lternet.edu/data/sev-129,"Designated as NA-US-011 Global Index of Vegetation-Plot Databses; NPP or biomass is compared across ecosystems (Creosote-dominated shrubland, black Gramma-dominated grassland, Blue grama-dominated grassland, and Pinon-juniper; 3 sites (different ecosystems),  webs (up to 5 per site), plots (up to 4 per web), quadrats (up to 4 per plot)",157;182,1,
28,341,knb-lter-sev.13.270182,sev013_rodentparasite_02182011.txt,SEV," Rodent Parasite Data for the Sevilleta National Wildlife Refuge, New Mexico (1990-1998) ",13," Duszyinski, Don ",0,0,0,6/1/90,9/1/98,,0,1,1,season:yr,low,parasite,count,,obs,-999,see site_metadata,see site_metadata,,,,,,,,,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-13,count of parasitesÄ,,1,
29,350,knb-lter-sev.147.167839,sev147_droughtveg_11142011.txt,SEV," Rainfall Manipulation Study Vegetation Data from the Chihuahuan Desert Grassland and Creosote Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (2003-2011) ",147," Pockman, William ",0,0,0,4/24/03,10/26/11,,0,0,1,season:yr,low,plant,per_cover,,exp,124,yes,no,,,,,,,,,3,3,precip,see site_metadata,yes,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-147,error in file when read in; data do not include information about treatment levels,,1,
30,351,knb-lter-sev.148.131882,sev148_burnxgrass_12112013.txt,SEV," 2003 Prescribed Burn Effect on Chihuahuan Desert Grasses and Shrubs at the Sevilleta National Wildlife Refuge, New Mexico: Grass Recovery Study (2003- ) ",148," Muldavin, Esteban ",0,0,0,6/9/03,11/19/13,,1,1,1,yr,low,plant,basal_cover,,exp,4,yes,no,,,,,,,,,-999,4,fire;fenced,pulse;maintained,yes,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-148,"temporal interval mostly once per year; taxa resolution varies; site (1), treatment1 (burned or unburned), treatment2 (fenced or unfenced), quadrat(6 per plot ), corner(4 per quadrat); numer of decimeters in which plant is rooted",164;165;166,1,
31,353,knb-lter-sev.15.218704,sev015_burnxrodentpop_10191995.txt,SEV," Burn Exclosure Rodent Population Study at the Sevilleta National Wildlife Refuge, New Mexico, (1991-1993) ",15," Parmenter, Robert ",0,0,0,9/1/91,6/1/93,,0,1,1,season:yr,low,mammal,mark-recapture|distance-sampling,,exp,25,yes,no,,,,,,,,,-999,1,fire;consumer,see site_metadata,yes,4,4,4,144,0,http://sev.lternet.edu/data/sev-15,"site (1, burn exclose), block (4 blocks in the site), web (4 per block), traps (144 per web)",,1,
32,359,knb-lter-sev.155.233346,sev155_nppfertilizerquadrat_20150819.txt,SEV," Nitrogen Fertilization Experiment (NFert): Net Primary Production Quadrat Data at the Sevilleta National Wildlife Refuge, New Mexico (2004-present) ",155," Collins, Scott ",0,0,0,3/8/04,4/29/15,,1,1,1,season:yr,low,plant,per_cover,,exp,92,yes,no,,,,,,,,,1,2,resource,maintained,yes,2,10,4,0,0,http://sev.lternet.edu/data/sev-155,"site (1), treatment (2, fertilized or control), plots (10 per treatment), quadrats (4 per plot)",157; 186,1,
33,360,knb-lter-sev.156.245412,sev156_nppburnquadrat_20150819.txt,SEV," Burn Study Sites Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge, New Mexico (2004-present) ",156," Muldavin, Esteban ",0,0,0,4/27/04,5/11/15,,1,1,1,season:yr,low,plant,per_cover,,exp,129,yes,no,,,,,,,,,3,2,habitat;fire,pulse,yes,1,40,0,0,0,http://sev.lternet.edu/data/sev-156,"sites (3, different veg types), treatments (2 levels, burned and controll), quadrats (40 per treatment)",157;185,1,
34,368,knb-lter-sev.168.192537,sev168_removal_20140116.txt,SEV," Plant Removal Study: Recovery of Vegetation Following Disturbance at the Sevilleta National Wildlife Refuge, New Mexico (1995-2010) ",168," Peters, Debra ",0,0,0,1/1/95,9/2/10,,0,1,1,yr,low,plant,per_cover,,exp,205,yes,no,,,,,,,,,6,4,habitat;removal,maintained,yes,1,5,0,0,0,http://sev.lternet.edu/data/sev-168,"site (6 site, differen plant communities), treatment (up to 4 treatment levels per site, removal of a certain plant species), plots (5 per treatment )",,1,
35,370,knb-lter-sev.17.120278 ,sev017_birdpop_09251997.txt,SEV," Bird Community Assessment in Grassland, Shrubland, and Woodland Habitats at the Sevilleta National Wildlife Refuge, New Mexico (1991-1997) ",17," Parmenter, Robert ",0,0,0,1/23/91,6/2/97,,0,1,1,season:yr,low,bird,count,,obs,91,yes,no,,,,,,,,,3,0,habitat,none,yes,1,8,0,0,0,http://sev.lternet.edu/data/sev-17,"data need to be transformed to counts; site (3, different habitat types), sampling location (8 per habitat type)",,1,
36,374,knb-lter-sev.173.87391  ,sev173_pdoglizardplot_01312006.txt,SEV," Pino Gate Prairie Dog Study at the Sevilleta National Wildlife Refuge, New Mexico: Landscape Plot Lizard Data (2001-2002) ",173," Davidson, AnaLightfoot, David ",0,0,0,6/2/00,8/19/02,,0,1,1,season:yr;irregular,low,herpetofauna,count,,obs,7,yes,no,,,,,,,,,-999,-999,see site_metadata,see site_metadata,yes,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-173,see site metadata for description of study and levels of replication,193;194;195;196;197;198,1,
37,377,knb-lter-sev.176.233653,sev176_nppwarmquadrat_20141215.txt,SEV," Warming-El Nino-Nitrogen Deposition Experiment (WENNDEx): Net Primary Production Quadrat Data at the Sevilleta National Wildlife Refuge, New Mexico (2006 -present) ",176," Collins, ScottPockman, WilliamFargione, Joe ",0,0,0,2/2/06,5/21/15,,1,1,1,season:yr,low,plant,per_cover,,exp,85,yes,no,,,,,,,,,1,8,temp;precip;resource,maintained; maintained;maintained,yes,2,5,2,0,0,http://sev.lternet.edu/data/sev-176,"site (1), treatments (8 levels), plot (5 per treatment), quadrats (2 per plot)",181;205,1,
38,379,knb-lter-sev.178.133945,sev178_grazingexclospp_04102009.txt,SEV," Livestock Exclosure Study: Plant Species Composition in a Chihuahuan Desert Grassland at the Sevilleta National Wildlife Refuge, New Mexico (2004-2007) ",178," Collins, ScottZeglin, Lydia ",0,0,0,5/1/04,9/1/07,,0,1,1,season:yr,low,plant,per_cover,,exp,4,yes,no,,,,,,,,,1,3,consumer,maintained,yes,2,3,48,0,0,http://sev.lternet.edu/data/sev-178,"site(see site metadata), treatment (3 levels), plot (up to 3 per treatment level), quadrat(up to 48 per plot",184,1,
39,387,knb-lter-sev.187.167478,sev187_pjnppquadrat_04122010.txt,SEV," Pinon Juniper Net Primary Production Quadrat Data from the Sevilleta National Wildlife Refuge, New Mexico: 1999-2001 ",187," Muldavin, Esteban ",0,0,0,2/1/99,9/1/01,,0,0,1,season:yr,low,plant,per_cover,,obs,118,yes,no,,,,,,,,,2,0,habitat,none,yes,3,5,4,4,0,http://sev.lternet.edu/data/sev-187,"can't read data in, error with txt file; site (2), web (5 per site), plot (4 per web), quadrat (4 per plot) ",,1,
40,388,knb-lter-sev.188.243666,sev188_nppmonsoonquadrat_20150819.txt,SEV," Monsoon Rainfall Manipulation Experiment (MRME): Net Primary Production Quadrat Data at the Sevilleta National Wildlife Refuge, New Mexico (2006-present) ",188," Collins, Scott ",0,0,0,9/27/06,5/18/15,,1,1,1,season:yr,low,plant,per_cover,,exp,78,yes,no,knb-lter-sev.191.121599,,,,,,,,1,6,precip;resource,maintained,yes,3,5,2,0,0,http://sev.lternet.edu/data/sev-188,"site (1), treatments (6 level), plot (up to 5 per treatment), subplot ( indicate area sampled, 1 per plot), quadrat (2 per plot); data for year 2000 is in there but I don't think it should be; not included in duration calculation",157;206;191,1,
41,393,knb-lter-sev.193.178639 ,sev193_pdogvegplot_01132009.txt,SEV," Pino Gate Prairie Dog Study: Landscape-scale Vegetation Plot Data from the Sevilleta National Wildlife Refuge, New Mexico (1999-2002) ",193," Davidson, AnaLightfoot, David ",0,0,0,9/26/99,5/8/02,,0,1,1,season:yr,low,plant,canopy_cover,,obs,94,yes ,yes,,,,,,,,,-999,-999,see site_metadata,see site_metadata,yes,2,7,7,0,0,http://sev.lternet.edu/data/sev-193,"plot(3, presence abscense of small mammals), line (7 per plot), quadrat (7 per line)",173;194;195;196;197;198,1,
42,394,knb-lter-sev.194.188141,sev194_pdogvegmound_01132009.txt,SEV," Pino Gate Prairie Dog Study: Mound-scale Vegetation Plot Data from the Sevilleta National Wildlife Refuge, New Mexico (2000-2002) ",194," Davidson, AnaLightfoot, David ",0,0,0,10/22/99,5/11/02,,0,1,1,season:yr,low,plant,per_cover,,obs,95,yes ,yes,,,,,,,,,-999,-999,see site_metadata,see site_metadata,yes,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-194,see site metadata for description of study and levels of replication,173;193;195;196;197;198,1,
43,397,knb-lter-sev.197.122487 ,ev197_pdoghopperplot_01142009.txt,SEV," Pino Gate Prairie Dog Study: Landscape-scale Grasshopper Plot Data from the Sevilleta National Wildlife Refuge, New Mexico (2000-2002) ",197," Davidson, AnaLightfoot, David ",0,0,0,10/10/99,5/24/02,,0,1,1,season:yr,low,arthropod,count,,obs,34,yes,yes,,,,,,,,,-999,-999,see site_metadata,see site_metadata,yes,2,7,6,0,0,http://sev.lternet.edu/data/sev-197,"plot (3 types, presence or absence of small mammals), transects(7 per site type), section (6 sections per transect)",173;193;194;195;196;198,1,
44,398,knb-lter-sev.198.123629,sev198_pdoghoppermound_01142009.txt,SEV," Pino Gate Prairie Dog Study: Mound-scale Grasshopper Plot Data from the Sevilleta National Wildlife Refuge, New Mexico (2000-2001) ",198," Davidson, AnaLightfoot, David ",0,0,0,10/10/99,5/24/02,,0,1,1,season:yr,low,arthropod,count,,obs,35,yes ,no,,,,,,,,,-999,-999,see site_metadata,see site_metadata,yes,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-198,see site metadata for description of study and levels of replication,173;193;194;195;196;197,1,
45,413,knb-lter-sev.212.1 ,sev212_pdogvegcover_20130509.txt,SEV," Gunnison's Prairie Dog Relocation Project: Vegetation Cover Data from the Sevilleta National Wildife Refuge, New Mexico (2005-2013 ) ",212," Davidson, AnaLightfoot, David ",0,0,0,4/24/05,4/17/13,,1,0,1,season:yr,low,plant,per_cover,,exp,143,yes,yes,,,,,,,,,-999,-999,consumer,maintained,see site_metadata,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-212,see site metadata for description of study and levels of replication,213,1,
46,416,knb-lter-sev.215.173899,sev215_bosquebees_20140128.txt,SEV," Effect of Habitat Restoration on Native Bee Communities at the Bosque del Apache National Wildlife Refuge, New Mexico (2008-2010) ",215," Wright, Karen ",0,0,0,3/1/08,9/1/10,,0,1,1,season:yr,low,arthropod,count,,exp,137,yes,no,,,,,,,,,3,0,habitat,none,yes,1,3,0,0,0,http://sev.lternet.edu/data/sev-215,"site (3, one is a removal), replicates (3 per site)",,1,
