,LTER.SpeciesCode,Scientific.Name,Authority,Common.Name,Habit..P.Perennial..A.Annual..Bi.Biennial..Growth.Form..G.Grass..F.Forb..SS.Sub.Shrub..,X..C.cool..W.Warm.Season.,Flowering.Date,X,kingdom,order,Family_og,family,genus,species
17,Brte, Bromus tectorum, L., cheatgrass, AG, CS, May-Jun,NA,Plantae,Poales, Gramineae,Poaceae,Bromus,tectorum
18,Buda, Buchloe dactyloides, (Nutt.) Engelm., Buffalograss, PG, WS, Apr-Jun,NA,Plantae,Poales, Gramineae,Poaceae,Buchloe,dactyloides
19,Calo, Calamovilfa longifolia, (Hook.) Scribn., prairie sandreed, PG, WS, Jul-Sep,NA,Plantae,Poales, Gramineae,Poaceae,Calamovilfa,longifolia
20,Cafi, Carex filifolia, Nutt., threadleaf sedge, PG, CS,,NA,Plantae,Poales, Cyperaceae, Cyperaceae,Carex,filifolia
21,Cael, Carex eleocharis, Bailey, needleleaf sedge, PG,,,NA,Plantae,Poales, Cyperaceae, Cyperaceae,Carex,eleocharis
22,Cahe, See Cael,,,,,,NA,Plantae,Poales, Cyperaceae, Cyperaceae,Carex,eleocharis
23,Cane, Carex nebrascensis, Dewey, Nebraska sedge, PG,,,NA,Plantae,Poales, Cyperaceae, Cyperaceae,Carex,nebrascensis
24,Capr, Carex praegracilis, W. Boott., silver sedge or (nutgrass), PG,,,NA,Plantae,Poales, Cyperaceae, Cyperaceae,Carex,praegracilis
25,Deca, Deschampsia caespitosa, (L.) Beauv., tufted hairgrass, PG, CS, Jun-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Deschampsia,caespitosa
26,Disp, Distichlis spicata, (L.) Green var. stricta (Torr.) Beetle, inland saltgrass, PG, WS, May-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Distichlis,spicata
27,Dist, See Disp,,,,,,NA,Plantae,Poales, Gramineae,Poaceae,Distichlis,spicata
28,Eccr, Echinochloa crus-galli, (L.) Beauv., barnyard grass, AG,, Jun-Sep,NA,Plantae,Poales, Gramineae,Poaceae,Echinochloa,crus-galli
29,Elac*, Eleocharis acicularis, (L.) R. & S., needle spikerush, PG,,,NA,Plantae,Poales, Cyperaceae, Cyperaceae,Eleocharis,acicularis
30,Elma, Eleocharis macrostachya, Britt., common spikerush, PG,,,NA,Plantae,Poales, Cyperaceae, Cyperaceae,Eleocharis,macrostachya
31,Elca, Elymus canadensis, L., Canada wild rye, PG, CS, Jun-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Elymus,canadensis
32,Elju, Elymus junceus, Fisch., Russian wild rye, PG,,May-Jun,NA,Plantae,Poales, Gramineae,Poaceae,Elymus,junceus
33,Erci, Eragrostis cilianensis, (All.) E. Mosher, stinkgrass, AG,, Jul-Oct,NA,Plantae,Poales, Gramineae,Poaceae,Eragrostis,cilianensis
34,Feoc, See Vuoc,,,,,,NA,Plantae,Poales,Gramineae,Poaceae,Vulpia,octoflora
35,Hoju, Hordeum jubatum, L., foxtail barley,PG, CS, Jun-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Hordeum,jubatum
36,Hopu, Hordeum pusillum, Nutt., little barley, AG,, May-Jun,NA,Plantae,Poales, Gramineae,Poaceae,Hordeum,pusillum
37,Juba, Juncus balticus, Willd., Baltic rush, PG,, Jun-Aug,NA,Plantae,Poales, Juncaceae, Juncaceae,Juncus,balticus
38,Juto, Juncus torreyi, Coville, Torrey's rush, PG,,,NA,Plantae,Poales, Juncaceae, Juncaceae,Juncus,torreyi
39,Kocr, See Kopy,,,,,,NA,Plantae,Poales, Gramineae,Poaceae,Koeleria,pyramidata
40,Kopy, Koeleria pyramidata, (Lam.) Beauv., prairie junegrass, PG, CS, May-Aug,NA,Plantae,Poales, Gramineae,Poaceae,Koeleria,pyramidata
41,Muas, Muhlenbergia asperifolia, (Nees & Meyen) Parodi, scratchgrass, PG,, Jun-Oct,NA,Plantae,Poales, Gramineae,Poaceae,Muhlenbergia,asperifolia
42,Muca, Muhlenbergia cuspidata, (Torr.) Rydb., Plains muhly, PG,, Jun-Oct,NA,Plantae,Poales, Gramineae,Poaceae,Muhlenbergia,cuspidata
43,Muto, Muhlenbergia torreyi, (Kunth) A.S. Hitche. ex. Bush, ring muhly, PG, WS, Jul-Sep,NA,Plantae,Poales, Gramineae,Poaceae,Muhlenbergia,torreyi
44,Muwr, Muhlenbergia wrightii, Vasey, spike muhly, PG,,,NA,Plantae,Poales, Gramineae,Poaceae,Muhlenbergia,wrightii
45,Musq, Monroa squarrosa, (Nutt.) Torr., false buffalograss, AG,, May-Sep,NA,Plantae,Poales, Gramineae,Poaceae,Monroa,squarrosa
46,Orhy,Oryzopsis hymenoides,(Roemer & Schultes) Ricker,Indian ricegrass,PG,CS,May-Jul,NA,Plantae,Poales,Gramineae,Poaceae,Oryzopsis,hymenoides
47,Paca,Panicum capillare,L. var. occidentale Rydb.,Common witchgrass,AG,,Jul-Oct,NA,Plantae,Poales,Gramineae,Poaceae,Panicum,capillare
48,Pavi*,Panicum virgatum,L.,switchgrass,PG,,Jul-Sep,NA,Plantae,Poales,Gramineae,Poaceae,Panicum,virgatum
49,Phpr,Phleum pratense,L.,timothy,PG,,May-Aug,NA,Plantae,Poales,Gramineae,Poaceae,Phleum,pratense
50,Poar,Poa arida,Vasey,plains bluegrass,PG,,Apr-Jun (Aug),NA,Plantae,Poales,Gramineae,Poaceae,Poa,arida
51,Popr,Poa pratensis,L.,Kentucky bluegrass,PG,,May-Aug,NA,Plantae,Poales,Gramineae,Poaceae,Poa,pratensis
52,Posa,Poa sandbergii,Vasey,Sandberg?s bluegrass,PG,CS,May-Jul,NA,Plantae,Poales,Gramineae,Poaceae,Poa,sandbergii
53,Pomo,Polypogon monspeliensis,(L.) Desf.,Rabbitfoot grass,AG,,May-Sep,NA,Plantae,Poales,Gramineae,Poaceae,Polypogon,monspeliensis
54,Scpa,Schedonnardus paniculatus,(Nutt.) Trel.,Tumblegrass,PG,WS,Apr-Aug,NA,Plantae,Poales,Gramineae,Poaceae,Schedonnardus,paniculatus
55,(Scsc),Andropogon scoparium (Michx.),Nash,Little bluestem,PG,WS,,NA,Plantae,Poales,Gramineae,Poaceae,Andropogon,scoparium
56,(Scsc),Schizachyrium scoparium(Michx.),Nash,Little bluestem,PG,WS,,NA,Plantae,Poales,Gramineae,Poaceae,Schizachyrium,scoparium(Michx.)
57,Scam,Scirpus americanus,Pers.,American bulrush,PG,,,NA,Plantae,Poales,Cyperaceae, Cyperaceae,Scirpus,americanus
58,Scva,Scirpus validus,Vahl,softstem bulrush,PG,,,NA,Plantae,Poales,Cyperaceae, Cyperaceae,Scirpus,validus
59,Sevi*,Setaria viridis,(L.) Beauv.,green foxtail,AG,,Jul-Sep,NA,Plantae,Poales,Gramineae,Poaceae,Setaria,viridis
60,Sihy,Sitanion hystrix,(Nutt.) J.G. Sm.,bottlebrush squirreltail,PG,CS,May-Aug,NA,Plantae,Poales,Gramineae,Poaceae,Sitanion,hystrix
61,Spai,Sporobolus airoides,(Torr.) Torr.,alkali sacaton,PG,WS,(Jun) Jul-Oct,NA,Plantae,Poales,Gramineae,Poaceae,Sporobolus,airoides
62,Spcr,Sporobolus cryptandrus,(Torr.) Gray,sand dropseed,PG,WS,Jun-Sep,NA,Plantae,Poales,Gramineae,Poaceae,Sporobolus,cryptandrus
63,Stco,Stipa comata,Trin. & Rupr,needle and thread,PG,CS,May-Jul,NA,Plantae,Poales,Gramineae,Poaceae,Stipa,comata
64,Stne*,Stipa neomexicana,(Thunb.) Scribn.,New Mexico feathergrass,PG,,Jun-Jul,NA,Plantae,Poales,Gramineae,Poaceae,Stipa,neomexicana
65,Stro,Stipa robusta,(Vasey) Scribn.,sleepygrass,PG,,,NA,Plantae,Poales,Gramineae,Poaceae,Stipa,robusta
66,Stvi,Stipa viridula,Trin.,green needlegrass,PG,,Jun-Jul,NA,Plantae,Poales,Gramineae,Poaceae,Stipa,viridula
67,Vuoc,Vulpia octoflora,(Walt.) Rydb.,sixweeks fescue,AG,CS,Apr-Jun,NA,Plantae,Poales,Gramineae,Poaceae,Vulpia,octoflora
68,Forbs and Shrubs,,,,,,,NA,Plantae,NA,NA,,NA,NA
69,Abfr,Abronia fragrans,(Nutt.) ex. Hook,snowball sandverbena,PF,,Mar-Aug,NA,Plantae,Caryophyllales,Nyctaginaceae,Nyctaginaceae,Abronia,fragrans
70,Acla,see Acmi,,,,,,NA,Plantae,Asterales,Compositae,Asteraceae,Achillea,millefolium
71,Acmi,Achillea millefolium,L. var. lanulosa (Nutt.) Piper,western yarrow,PF,,May-Jun,NA,Plantae,Asterales,Compositae,Asteraceae,Achillea,millefolium
72,Alge,Allium geyeri,Wats.,Geyer's onion,PF,,Jun-Jul,NA,Plantae,Lillales,Liliaceae,Liliaceae,Allium,geyeri
73,Alte,Allium textile,A. Nels. & J.F. Macbr.,prairie onion (textile onion),PF,CS,May-Jul,NA,Plantae,Lillales,Liliaceae,Liliaceae,Allium,textile
74,Almi*,Alyssum minus,(L.) Rothmaler var. micranthum (C.A. Mey) Dudley,alyssum,PF,,May-Jun,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Alyssum,minus
75,Amgr,Amaranthus graecizans,L.,prostrate pigweed,AF,,Jul-Oct,NA,Plantae,Caryophyllales,Amaranthaceae,Amaranthaceae,Amaranthus,graecizans
76,Amre,Amaranthus retroflexus,L.,redroot (rough) pigweed (amaranth),AF,,Jul-Oct,NA,Plantae,Caryophyllales,Amaranthaceae,Amaranthaceae,Amaranthus,retroflexus
77,Amac,Ambrosia acanthicarpa,Hook.,annual bursage (flatspine burr ragweed),AF,,Aug-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Ambrosia,acanthicarpa
78,Amps,Ambrosia psilostachya,DC.,western ragweed,PF,,Jul-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Ambrosia,psilostachya
79,Amto,Ambrosia tomentosa,Nutt.,skeleton bursage,PF,,Jun-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Ambrosia,tomentosa
80,Anpt*,Anemone patens,L.,pasque flower,PF,,Apr-Jun,NA,Plantae,Ranunculales,Ranunculaceae,Ranunculaceae,Anemone,patens
81,Anpa,Antennaria parvifolia,Nutt.,small-leaved pussytoes,PF,,May-Jul,NA,Plantae,Asterales,Compositae,Asteraceae,Antennaria,parvifolia
82,Armi,Arctium minus,Bernh.,common burdock,BiF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Arctium,minus
83,Arho,Arenaria hookeri,Nutt. ex. Torr. & Gray,hooker sandwort,PF,,Jun-Aug,NA,Plantae,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Arenaria,hookeri
84,Arin,see Arpo,,,,,,NA,Plantae,Ranunculales,Papaveraceae,Papaveraceae,Argemone,polyanthemos
85,Arpo,Argemone polyanthemos,(Fedde) G.B. Ownby,bluestem (crested) pricklypoppy,AF,,May-Aug (Sep),NA,Plantae,Ranunculales,Papaveraceae,Papaveraceae,Argemone,polyanthemos
86,Arbi,Artemisia biennis,Willd.,common sagewart (biennial wormwood),BiF,,Sep-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Artemisia,biennis
87,Arcm,Artemisia campestris,L. ssp. caudata (Michx.) Hall & Clements,common green sagewort,Bif,,Aug-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Artemisia,campestris
88,Arca,Artemisia cana,Pursh,silver sagebrush,PS,,Aug-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Artemisia,cana
89,Ardr,Artemisia dracunculus,L.,tarragon sagewort (silky wormwood),PF,,Aug-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Artemisia,dracunculus
90,Arfi,Artemisia filifolia,Torr.,sand sagebrush,PS,,Jun-Sept,NA,Plantae,Asterales,Compositae,Asteraceae,Artemisia,filifolia
91,Arfr,Artemisia frigida,Willd.,fringed (prairie) sagewort,PSS,CS,Aug-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Artemisia,frigida
92,Arlu,Artemisia ludoviciana,Nutt.,Louisiana (white) sagewort,PF,,Aug-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Artemisia,ludoviciana
93,Aspu,Asclepias pumila,(A. Gray) Vail,low milkweed,PF,,Jul-Sep,NA,Plantae,Gentianales,Asclepiadaceae,Asclepiadaceae,Asclepias,pumila
94,Assp,Asclepias speciosa,Torr.,showy milkweed,Pf,,May-Aug,NA,Plantae,Gentianales,Asclepiadaceae,Asclepiadaceae,Asclepias,speciosa
95,Asvi,Asclepias viridiflora,Raf.,green milkweed,PF,,Jun-Aug,NA,Plantae,Gentianales,Asclepiadaceae,Asclepiadaceae,Asclepias,viridiflora
96,Asco,Aster commutatus,(T. & G.) A. Gray,change aster,PF,,Jul-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Aster,commutatus
97,Asfa*,Aster falcatus,Lindl.,white prairie aster,PF,,Aug-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Aster,falcatus
98,Ashe,Aster hesperius,Gray,Siskiyou aster,PF,,Aug-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Aster,hesperius
99,Asta,see Mata,,,,,,NA,Plantae,Asterales,Compositae,Asteraceae,Machaeranthera,tanacetifolia
100,Asad,Astragalus adsurgens,Pall. var. robustior Hook.,standing milkvetch,PF,,Jun-Sep,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,adsurgens
101,Asbi,Astragalus bisulcatus,(Hook.) Gray,two-grooved milkvetch,PF,,Jun-Aug,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,bisulcatus
102,Asce,Astragalus ceramicus,Sheld. var. filifolus (Gray) F. J. Hermann,painted milkvetch,PF,,Jun-Jul,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,ceramicus
103,Ascr,Astragalus crassicarpus,Nutt.,groundplum milkvetch,PF,,Mar-May,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,crassicarpus
104,Asdr,Astragalus drummondii,Dougl. ex. Hook.,drummond milkvetch,PF,CS,May-Jun,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,drummondii
105,Asgr,Astragalus gracilis,Nutt.,slender milkvetch,PF,CS,May-Oct,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,gracilis
106,Asmi,Astragalus missouriensis,Nutt.,Missouri milkvetch,PF,CS,Mar-Jul,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,missouriensis
107,Asmo,Astragalus mollissimus,Torr.,woolly milkvetch,PF,CS,Apr-Jun,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,mollissimus
108,Asox,Astragalus Oxytropis,lcoa code combined for 2 genus,Astragalus or Oxtropis species,PF,CS,Apr-Jun,NA,Plantae,Fabales,Leguminosae,Fabaceae,Astragalus,Oxytropis
109,Aspe,Astragalus pectinatus,Dougl. ex. G. Don,tineleaved (narrowleaf) milkvetch,PF,,May-Jun,NA,Plantae,Fabales,Leguminosae ,Fabaceae,Astragalus,pectinatus
110,Asse,Astragalus seriocoleucus,A. Gray,foothill milkvetch,PF,,May-Jun,NA,Plantae,Fabales,Leguminosae ,Fabaceae,Astragalus,seriocoleucus
111,Assp,Astragalus spatulatus,Sheld.,spoonleaf milkvetch,PF,,May-Jul,NA,Plantae,Fabales,Leguminosae ,Fabaceae,Astragalus,spatulatus
112,Atar,Atriplex argentea,Nutt.,tumbling saltbush,AF,,Jul-Sep,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Atriplex,argentea
113,Atca,Atriplex canescens,(Pursh) Nutt.,fourwing saltbush,PS,,May-Aug,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Atriplex,canescens
114,Atnu,Atriplex nuttallii,S. Wats.,Gardner saltbush,PS,,Jun-Aug,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Atriplex,nuttallii
115,Atsu,Atriplex subspicata,(Nutt.) Rydb.,spreading saltbush,PF,,Jun-Aug,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Atriplex,subspicata
116,Baop,see Piop,,,,,,NA,Plantae,Asterales,Compositae,Asteraceae,Picradeniopsis,oppositifolia
117,Bice,Bidens cernua,L.,nodding beggarsticks,AF,,Aug-Oct,NA,Plantae,Asterales,Compositae,Asteraceae,Bidens,cernua
118,Case,Calylophus serrulatus,(Nutt.) Raven,(crisp petal) evening primrose,PF,,May-Sep,NA,Plantae,Myrtales,Onagraceae,Onagraceae,Calylophus,serrulatus
119,Cami*,Camelina microcarpa,Andrz. ex DC.,small-seeded false flax,AF,,Apr-Jun,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Camelina,microcarpa
120,Cabu**,Capsella bursa-pastoris,(L.) Medic.,shepherd?s purse,AF or BiF,,Mar-Nov,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Capsella,bursa-pastoris
121,Cass,Castilleja sessiliflora,Pursh,large flowered Indian paintbrush,PF,,Apr-Jun (Sep),NA,Plantae,Lamiales,Scrophulariaceae,Orobanchaceae,Castilleja,sessiliflora
122,Cere,Centaurea repens,L.,Russian knapweed,PF,,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Centaurea,repens
123,Cela,Ceratoides lanata,(Pursh) Howell,common winter fat,PSS,,May-Jul,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Ceratoides,lanata
124,Chal,Chenopodium album,L.,lambsquarters,AF,,Jun-Sep,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Chenopodium,album
125,Chgl,Chenopodium glaucum,L.,oakleaf goosefoot (lambsquarters),Af,,Jul-Sep,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Chenopodium,glaucum
126,Chin,Chenopodium incanum,(S. Wats.) Heller,ragleaf goosefoot,AF,,Jul-Aug,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Chenopodium,incanum
127,Chle,Chenopodium leptophyllum,(Moq.) Nutt. ex. Wats.,narrowleaf goosefoot (lambsquarters),AF,,Jul-Sep,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Chenopodium,leptophyllum
128,Chvi,Chrysopsis villosa,(Pursh) Nutt.,hairy goldenaster,PF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Chrysopsis,villosa
129,Chns,Chrysothamnus nauseosus,(Pallas & Britt.) ssp. graveolens (Nutt.) Piper,rubber rabbitbrush,PS,,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Chrysothamnus,nauseosus
130,Chna*,Chrysothamnus nauseosus,(Pallas & Britt.) spp. nauseosus,rubber rabbitbrush,PS,,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Chrysothamnus,nauseosus
131,Chvi*,Chrysothamnus viscidiflorus,(Nut.) Hook.,Douglas rabbitbrush,PS,WS,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Chrysothamnus,viscidiflorus
132,Ciar,Cirsium arvense,(L.) Scop.,Canada thistle,PF,WS,Jun-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Cirsium,arvense
133,Cica,Cirsium canescens,Nutt.,hoary thistle,PF,,May-Jun (Jul),NA,Plantae,Asterales,Compositae,Asteraceae,Cirsium,canescens
134,Cioc,Cirsium ochrocentrum,(Gray) Gray,yellow thistle,BiF or PF,,Jul-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Cirsium,ochrocentrum
135,Ciun,Cirsium undulatum,(Nutt.) Spreng.,wavyleaf thistle,PF,WS,Jun-Jul,NA,Plantae,Asterales,Compositae,Asteraceae,Cirsium,undulatum
136,Clli,Clematis ligusticifolia,Nutt.,western virginsbower,PF,,Jul-Aug,NA,Plantae,Ranunculales,Ranunculaceae,Ranunculaceae,Clematis,ligusticifolia
137,Clse,Cleome serrulata,Pursh,Rocky Mountain beeplant,AF,,Jun-Aug,NA,Plantae,Brassicales,Capparidaceae,Capparaceae,Cleome,serrulata
138,Coum,Comandra umbellata,(L.) Nutt.,common bastard toadflax,PF,,Apr-Jul,NA,Plantae,Santalales,Santalaceae,Santalaceae,Comandra,umbellata
139,Coar**,Convolvulus arvensis,(L.),field bindweed,PF,,Jun-Aug,NA,Plantae,Solanales,Convolvulaceae,Convolvulaceae,Convolvulus,arvensis
140,Coca*,Conyza canadensis,(L.) Cronq.,horseweed,AF,WS,Jun-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Conyza,canadensis
141,Cohy,Corispermum hyssopifolium,L.,common bugseed,AF,,Aug-Sep,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Corispermum,hyssopifolium
142,Covi,Coryphantha vivipara,(Nutt.) Britt. & Rose,purple mammilaria (pincushion cactus),PSS,,May-Aug,NA,Plantae,Caryophyllales,Cactaceae,Cactaceae,Coryphantha,vivipara
143,Crru,Crepis runcinata,Torr. & Gray,dandelion hawksbeard,PF,,,NA,Plantae,Asterales,Compositae,Asteraceae,Crepis,runcinata
144,Crcr*,Cryptantha crassisepala,(T. & G.) Greene,plains hiddenflower,AF,,May-Jul,NA,Plantae,Boraginales,Boraginaceae,Cactaceae,Cryptantha,crassisepala
145,Crja,Cryptantha jamesii,(Torr.) Payson,James cryptantha of James hiddenflower,PF,,May-Aug (Sep),NA,Plantae,Boraginales,Boraginaceae,Cactaceae,Cryptantha,jamesii
146,Crmi,Cryptantha minima,Rydb.,plains cryptantha,AF,,May-Jul,NA,Plantae,Boraginales,Boraginaceae,Cactaceae,Cryptantha,minima
147,Crth,Cryptantha thyrsiflora,(Greene) Payson,cluster cryptantha,PF,,Jun-Jul,NA,Plantae,Boraginales,Boraginaceae,Boraginaceae,Cryptantha,thyrsiflora
148,Cyat,Cycloloma atriplicifolium,(Spreng.) Coulter,atriplex leaved cryptantha,AF,,May-Oct,NA,Plantae,Caryophyllales,Chenopodiaceae,Amaranthaceae,Cycloloma,atriplicifolium
149,Cyac,Cymopterus acaulis,(Pursh) Raf.,stemless spring parsley,PF,,Apr-Jun,NA,Plantae,Apiales,Umbelliferae,Apiaceae,Cymopterus,acaulis
150,Cymo,Cymopterus montanus,(Nutt.) Torr. & Gray,mountain spring parsley,PF,,Mar-May,NA,Plantae,Apiales,Umbelliferae,Apiaceae,Cymopterus,montanus
151,Cyof,Cynoglossum officinale,L.,common houndstongue,BiF,,May-Jul,NA,Plantae,Boraginales,Boraginaceae,Boraginaceae,Cynoglossum,officinale
152,Daca,Dalea candida,Michx. ex Willd.,white prairieclover (dalea),PF,,May-Aug,NA,Plantae,Fabales,Leguminosae,Fabaceae,Dalea,candida
153,Dege,Delphinium geyeri,Greene,Geyer (plains) larksper,PF,,,NA,Plantae,Ranunculales,Ranunculaceae,Ranunculaceae,Delphinium,geyeri
154,Devi*,Delphinium virescens,Nutt.,prairie larkspur,PF,,May-Jun,NA,Plantae,Ranunculales,Ranunculaceae,Ranunculaceae,Delphinium,virescens
155,Depi,Descurainia pinnata,(Walt.) Britt.,pinnata tansymustard,AF,,Mar-Aug,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Descurainia,pinnata
156,Deri,Descurainia richardsonii,(Sweet) O.E. Shultz,Richardson tansymustard,BiF,,May-Jun,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Descurainia,richardsonii
157,Deso,Descurainia sophia,(L.) Webb,flixweed tansymustard,AF or BiF,,May-Jul,NA,Plantae,Brassicales,Cruciferae,Brassicaceae,Descurainia,sophia
158,Dypa,Dyssodia papposa,(Vent.) A. S. Hitchc.,prairie dogweed (fetid marigold),AF,,Jul-Sep,NA,Plantae,Asterales,Compositae,Asteraceae,Dyssodia,papposa
159,Ecvi*,Echinocereus viridiflorus,Engelm.,hedgehog cactus,PS,,May-Jun,NA,Plantae,Caryophyllales,Cactaceae,Cactaceae,Echinocereus,viridiflorus
160,Elny,Ellisia nyctelea,L.,common waterpod,AF,,May-Jul,NA,Plantae,NA,Hydrophyllaceae,Boraginaceae,Ellisia,nyctelea
161,Eqhy,Equisetum hyemale,L.,scouringrush horsetail,PF,,Apr-Oct,NA,Plantae,Equisetales,Equisetaceae,Equisetaceae,Equisetum,hyemale
162,Eqla,Equisetum laevigatum,A. Br.,smooth horsetail,AF,,May-Aug,NA,Plantae,Equisetales,Equisetaceae,Equisetaceae,Equisetum,laevigatum
163,Erbe,Erigeron bellidiastrum,Nutt.,western fleabane (daisy),AF,,Jun-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Erigeron,bellidiastrum
164,Erca,See Coca,,,,,,NA,Plantae,Asterales,Compositae,Asteraceae,Conyza,canadensis
165,Erpu,Erigeron pumilus,Nutt.,low fleabane,PF,,May-Aug,NA,Plantae,Asterales,Compositae,Asteraceae,Erigeron,pumilus
