Bee_Species,SiteRepSeason,bees
APMELPACF,C1SP08,0
APMESAGIF,C1SP08,0
APMESCOLF,C1SP08,0
APMESCOMF,C1SP08,1
APMESHUMF,C1SP08,0
APMESMENF,C1SP08,0
APMESPARF,C1SP08,0
APMESSUBF,C1SP08,0
APMESTHEF,C1SP08,0
APMESTRIF,C1SP08,4
APMESTRIM,C1SP08,0
APMESVERF,C1SP08,0
APNEOVIGF,C1SP08,0
APNOM001F,C1SP08,0
APPEPPRU,C1SP08,0
APSVAHELF,C1SP08,0
APSVAMACF,C1SP08,0
APSVAOBLF,C1SP08,0
APTETALBF,C1SP08,0
APTETSPIF,C1SP08,0
APXYLCALF,C1SP08,0
COHYLMESF,C1SP08,0
HAHALTRIF,C1FA08,50
HAAGAANGF,C1FA08,4
HAAGAFEMF,C1FA08,1
HAAGAMELF,C1FA08,0
HAAGASPLF,C1FA08,0
HAAUGAURF,C1FA08,0
HADUFMARF,C1FA08,1
HADUF001F,C1FA08,0
HAHALCONF,C1FA08,0
HAHALLIGF,C1FA08,0
HAHALPARF,C1FA08,0
HALASPRUF,C1FA08,0
HALASCOAF,C1FA08,0
HALASHUDF,C1FA08,0
HALASPARF,C1FA08,0
HALASPERF,C1FA08,0
HALASPOTF,C1FA08,0
HALASSISF,C1FA08,0
HALAS00CF,C1FA08,0
HALAS007F,C1FA08,0
HALAS012F,C1FA08,0
HALAS015F,C1FA08,1
HALAS017F,C1FA08,0
HALAS018F,C1FA08,0
HALAS019F,C1FA08,0
HALAS020F,C1FA08,0
HALAS021F,C1FA08,0
HALASODDF,C1FA08,0
HALASEV1F,C1FA08,0
HALASEV2F,C1FA08,0
HALASEV3F,C1FA08,0
HALASEV4F,C1FA08,0
HALASEV5F,C1FA08,2
HALASEV6F,C1FA08,0
HALASNOCF,C1FA08,0
HANOMTRIF,C1FA08,0
HASPH001F,C1FA08,0
HASPH002F,C1FA08,0
MEANTEMAF,C1FA08,0
MEANTPORF,C1FA08,0
MEASHBIGF,C1FA08,0
MEASHMELF,C1FA08,0
MEDIACURF,C1FA08,0
MEDIAIMPF,C1FA08,0
MEDIOPACF,C1FA08,0
MEDIOPOMF,C1FA08,0
MEHOP003F,C1FA08,0
MELITAPIF,C1FA08,0
MEMEGSIDF,C1FA08,0
MEMEGUMAF,C1FA08,0
MEOSMCERF,C1FA08,0
MEOSMLATF,C1FA08,0
MEOSMLIOF,C1FA08,0
MEOSMPRUF,C1FA08,0
MEOSMTITF,C1FA08,0
MEOSMWATF,C1FA08,0
ANANDCAPF,C1FA08,0
ANANDCREF,C1FA08,0
ANANDHELF,C1FA08,0
ANANDILLF,C1FA08,0
ANANDMON,C1FA08,0
ANANDPRFF,C1FA08,0
ANANDPRIF,C1FA08,0
ANHETPERF,C1FA08,0
ANHET002F,C1FA08,0
ANCAL001F,C1FA08,0
ANPER001F,C1FA08,0
ANPER002F,C1FA08,0
ANPER003F,C1FA08,0
ANPER005F,C1FA08,0
ANPER006F,C1FA08,0
ANPER009F,C1FA08,0
ANPER012F,C1FA08,0
ANPER014F,C1FA08,0
ANPER015F,C1FA08,0
ANPER016F,C1FA08,0
ANPER018F,C1FA08,0
ANPERALBF,C1FA08,0
ANPERAST,C1FA08,0
ANPERCALF,C1FA08,0
ANPERCORF,C1FA08,0
ANPERDOLF,C1FA08,0
ANPERFALF,C1FA08,1
ANPERIGNF,C1FA08,0
ANPERMENF,C1FA08,0
ANPERPULF,C1FA08,0
ANPERVERF,C1FA08,0
APANDCOMF,C1FA08,0
APANPCOMF,C1FA08,0
APANTAFFF,C1FA08,0
APANTCALF,C1FA08,0
APANTLESF,C1FA08,0
APANTMONF,C1FA08,0
APANTPHEF,C1FA08,0
APANTPORF,C1FA08,0
APAPIMELF,C1FA08,0
APBOMHUNF,C1FA08,0
APBOMPENF,C1FA08,0
APCERACAF,C1FA08,0
APCERNANF,C1FA08,0
APDIAAUSF,C1FA08,1
APDIADIMF,C1FA08,0
APDIAENAF,C1FA08,0
APDIAMEGF,C1FA08,0
APDIAOCHF,C1FA08,0
APDIARINF,C1FA08,28
APDIASPHF,C1FA08,0
APDIAVALF,C1FA08,0
APEUCLYCF,C1FA08,0
APEUCTERF,C1FA08,0
APEXOSOLF,C1FA08,0
APHABMORF,C1FA08,0
APHABNS1F,C1FA08,0
APHOLCALF,C1FA08,1
APMELBOHF,C1FA08,0
APMELPACF,C1FA08,0
APMESAGIF,C1FA08,0
APMESCOLF,C1FA08,0
APMESCOMF,C1FA08,0
APMESHUMF,C1FA08,2
APMESMENF,C1FA08,0
APMESPARF,C1FA08,0
APMESSUBF,C1FA08,0
APMESTHEF,C1FA08,0
APMESTRIF,C1FA08,6
APMESTRIM,C1FA08,0
APMESVERF,C1FA08,0
APNEOVIGF,C1FA08,0
APNOM001F,C1FA08,0
APPEPPRU,C1FA08,0
APSVAHELF,C1FA08,0
APSVAMACF,C1FA08,0
APSVAOBLF,C1FA08,0
APTETALBF,C1FA08,0
APTETSPIF,C1FA08,0
APXYLCALF,C1FA08,0
COHYLMESF,C1FA08,0
HAHALTRIF,C1SP09,455
HAAGAANGF,C1SP09,18
HAAGAFEMF,C1SP09,7
HAAGAMELF,C1SP09,0
HAAGASPLF,C1SP09,0
HAAUGAURF,C1SP09,0
HADUFMARF,C1SP09,0
HADUF001F,C1SP09,0
HAHALCONF,C1SP09,0
HAHALLIGF,C1SP09,2
HAHALPARF,C1SP09,0
HALASPRUF,C1SP09,10
HALASCOAF,C1SP09,1
HALASHUDF,C1SP09,5
HALASPARF,C1SP09,0
HALASPERF,C1SP09,0
HALASPOTF,C1SP09,0
HALASSISF,C1SP09,1
HALAS00CF,C1SP09,1
HALAS007F,C1SP09,0
HALAS012F,C1SP09,0
HALAS015F,C1SP09,2
HALAS017F,C1SP09,0
HALAS018F,C1SP09,1
HALAS019F,C1SP09,1
HALAS020F,C1SP09,0
HALAS021F,C1SP09,0
HALASODDF,C1SP09,2
HALASEV1F,C1SP09,0
HALASEV2F,C1SP09,0
HALASEV3F,C1SP09,0
HALASEV4F,C1SP09,0
HALASEV5F,C1SP09,15
HALASEV6F,C1SP09,0
HALASNOCF,C1SP09,0
HANOMTRIF,C1SP09,0
HASPH001F,C1SP09,0
HASPH002F,C1SP09,0
MEANTEMAF,C1SP09,0
MEANTPORF,C1SP09,0
MEASHBIGF,C1SP09,1
MEASHMELF,C1SP09,3
MEDIACURF,C1SP09,0
MEDIAIMPF,C1SP09,0
MEDIOPACF,C1SP09,0
MEDIOPOMF,C1SP09,0
MEHOP003F,C1SP09,0
MELITAPIF,C1SP09,0
MEMEGSIDF,C1SP09,0
MEMEGUMAF,C1SP09,0
MEOSMCERF,C1SP09,4
MEOSMLATF,C1SP09,0
MEOSMLIOF,C1SP09,0
MEOSMPRUF,C1SP09,0
MEOSMTITF,C1SP09,1
MEOSMWATF,C1SP09,0
ANANDCAPF,C1SP09,0
ANANDCREF,C1SP09,0
ANANDHELF,C1SP09,0
ANANDILLF,C1SP09,0
ANANDMON,C1SP09,0
ANANDPRFF,C1SP09,0
ANANDPRIF,C1SP09,0
ANHETPERF,C1SP09,0
ANHET002F,C1SP09,0
ANCAL001F,C1SP09,0
ANPER001F,C1SP09,0
ANPER002F,C1SP09,0
ANPER003F,C1SP09,0
ANPER005F,C1SP09,0
ANPER006F,C1SP09,0
ANPER009F,C1SP09,0
ANPER012F,C1SP09,0
ANPER014F,C1SP09,0
ANPER015F,C1SP09,0
ANPER016F,C1SP09,0
ANPER018F,C1SP09,0
ANPERALBF,C1SP09,0
ANPERAST,C1SP09,0
ANPERCALF,C1SP09,4
ANPERCORF,C1SP09,1
ANPERDOLF,C1SP09,0
ANPERFALF,C1SP09,0
ANPERIGNF,C1SP09,0
ANPERMENF,C1SP09,0
ANPERPULF,C1SP09,0
ANPERVERF,C1SP09,0
APANDCOMF,C1SP09,0
APANPCOMF,C1SP09,0
APANTAFFF,C1SP09,0
APANTCALF,C1SP09,1
APANTLESF,C1SP09,1
APANTMONF,C1SP09,0
APANTPHEF,C1SP09,0
APANTPORF,C1SP09,1
APAPIMELF,C1SP09,0
APBOMHUNF,C1SP09,0
APBOMPENF,C1SP09,0
APCERACAF,C1SP09,0
APCERNANF,C1SP09,1
APDIAAUSF,C1SP09,8
APDIADIMF,C1SP09,0
APDIAENAF,C1SP09,0
APDIAMEGF,C1SP09,0
APDIAOCHF,C1SP09,0
APDIARINF,C1SP09,29
APDIASPHF,C1SP09,0
APDIAVALF,C1SP09,0
APEUCLYCF,C1SP09,7
APEUCTERF,C1SP09,0
APEXOSOLF,C1SP09,0
APHABMORF,C1SP09,3
APHABNS1F,C1SP09,0
APHOLCALF,C1SP09,0
APMELBOHF,C1SP09,1
APMELPACF,C1SP09,1
APMESAGIF,C1SP09,0
APMESCOLF,C1SP09,0
APMESCOMF,C1SP09,0
APMESHUMF,C1SP09,0
APMESMENF,C1SP09,0
APMESPARF,C1SP09,0
APMESSUBF,C1SP09,0
APMESTHEF,C1SP09,0
APMESTRIF,C1SP09,21
APMESTRIM,C1SP09,0
APMESVERF,C1SP09,0
APNEOVIGF,C1SP09,0
APNOM001F,C1SP09,0
APPEPPRU,C1SP09,0
APSVAHELF,C1SP09,0
APSVAMACF,C1SP09,0
APSVAOBLF,C1SP09,0
APTETALBF,C1SP09,0
APTETSPIF,C1SP09,0
APXYLCALF,C1SP09,0
COHYLMESF,C1SP09,1
HAHALTRIF,C1FA09,64
HAAGAANGF,C1FA09,7
HAAGAFEMF,C1FA09,18
HAAGAMELF,C1FA09,1
HAAGASPLF,C1FA09,1
HAAUGAURF,C1FA09,1
HADUFMARF,C1FA09,0
HADUF001F,C1FA09,0
HAHALCONF,C1FA09,0
HAHALLIGF,C1FA09,3
HAHALPARF,C1FA09,5
HALASPRUF,C1FA09,1
HALASCOAF,C1FA09,0
HALASHUDF,C1FA09,0
HALASPARF,C1FA09,1
HALASPERF,C1FA09,0
HALASPOTF,C1FA09,0
HALASSISF,C1FA09,0
HALAS00CF,C1FA09,0
HALAS007F,C1FA09,0
HALAS012F,C1FA09,0
HALAS015F,C1FA09,1
HALAS017F,C1FA09,0
HALAS018F,C1FA09,2
HALAS019F,C1FA09,0
HALAS020F,C1FA09,0
HALAS021F,C1FA09,0
HALASODDF,C1FA09,0
HALASEV1F,C1FA09,0
HALASEV2F,C1FA09,0
HALASEV3F,C1FA09,0
HALASEV4F,C1FA09,0
HALASEV5F,C1FA09,10
HALASEV6F,C1FA09,0
HALASNOCF,C1FA09,0
HANOMTRIF,C1FA09,0
HASPH001F,C1FA09,0
HASPH002F,C1FA09,0
MEANTEMAF,C1FA09,0
MEANTPORF,C1FA09,0
MEASHBIGF,C1FA09,0
MEASHMELF,C1FA09,1
MEDIACURF,C1FA09,0
MEDIAIMPF,C1FA09,0
MEDIOPACF,C1FA09,0
MEDIOPOMF,C1FA09,0
MEHOP003F,C1FA09,0
MELITAPIF,C1FA09,0
MEMEGSIDF,C1FA09,0
MEMEGUMAF,C1FA09,0
MEOSMCERF,C1FA09,0
MEOSMLATF,C1FA09,0
MEOSMLIOF,C1FA09,0
MEOSMPRUF,C1FA09,0
MEOSMTITF,C1FA09,0
MEOSMWATF,C1FA09,0
ANANDCAPF,C1FA09,0
ANANDCREF,C1FA09,0
ANANDHELF,C1FA09,0
ANANDILLF,C1FA09,0
ANANDMON,C1FA09,0
ANANDPRFF,C1FA09,0
ANANDPRIF,C1FA09,0
ANHETPERF,C1FA09,0
ANHET002F,C1FA09,0
ANCAL001F,C1FA09,0
ANPER001F,C1FA09,2
ANPER002F,C1FA09,0
ANPER003F,C1FA09,0
ANPER005F,C1FA09,0
ANPER006F,C1FA09,0
ANPER009F,C1FA09,0
ANPER012F,C1FA09,0
ANPER014F,C1FA09,0
ANPER015F,C1FA09,1
ANPER016F,C1FA09,0
ANPER018F,C1FA09,0
ANPERALBF,C1FA09,0
ANPERAST,C1FA09,0
ANPERCALF,C1FA09,4
ANPERCORF,C1FA09,3
ANPERDOLF,C1FA09,0
ANPERFALF,C1FA09,0
ANPERIGNF,C1FA09,0
ANPERMENF,C1FA09,0
ANPERPULF,C1FA09,2
ANPERVERF,C1FA09,0
APANDCOMF,C1FA09,0
APANPCOMF,C1FA09,1
APANTAFFF,C1FA09,0
APANTCALF,C1FA09,0
APANTLESF,C1FA09,0
APANTMONF,C1FA09,0
APANTPHEF,C1FA09,0
APANTPORF,C1FA09,0
APAPIMELF,C1FA09,1
APBOMHUNF,C1FA09,0
APBOMPENF,C1FA09,0
APCERACAF,C1FA09,0
APCERNANF,C1FA09,0
APDIAAUSF,C1FA09,0
APDIADIMF,C1FA09,0
APDIAENAF,C1FA09,0
APDIAMEGF,C1FA09,0
APDIAOCHF,C1FA09,0
APDIARINF,C1FA09,22
APDIASPHF,C1FA09,0
APDIAVALF,C1FA09,0
APEUCLYCF,C1FA09,0
APEUCTERF,C1FA09,0
APEXOSOLF,C1FA09,0
APHABMORF,C1FA09,0
APHABNS1F,C1FA09,0
APHOLCALF,C1FA09,0
APMELBOHF,C1FA09,0
APMELPACF,C1FA09,0
APMESAGIF,C1FA09,2
APMESCOLF,C1FA09,0
APMESCOMF,C1FA09,2
APMESHUMF,C1FA09,1
APMESMENF,C1FA09,0
APMESPARF,C1FA09,0
APMESSUBF,C1FA09,0
APMESTHEF,C1FA09,0
APMESTRIF,C1FA09,8
APMESTRIM,C1FA09,0
APMESVERF,C1FA09,0
APNEOVIGF,C1FA09,0
APNOM001F,C1FA09,0
APPEPPRU,C1FA09,0
APSVAHELF,C1FA09,0
APSVAMACF,C1FA09,0
APSVAOBLF,C1FA09,0
APTETALBF,C1FA09,0
APTETSPIF,C1FA09,0
APXYLCALF,C1FA09,0
COHYLMESF,C1FA09,0
HAHALTRIF,C1SP10,100
HAAGAANGF,C1SP10,5
HAAGAFEMF,C1SP10,2
HAAGAMELF,C1SP10,0
HAAGASPLF,C1SP10,0
HAAUGAURF,C1SP10,2
HADUFMARF,C1SP10,0
HADUF001F,C1SP10,0
HAHALCONF,C1SP10,0
HAHALLIGF,C1SP10,0
HAHALPARF,C1SP10,0
HALASPRUF,C1SP10,0
HALASCOAF,C1SP10,0
HALASHUDF,C1SP10,0
HALASPARF,C1SP10,1
HALASPERF,C1SP10,0
HALASPOTF,C1SP10,0
HALASSISF,C1SP10,0
HALAS00CF,C1SP10,0
HALAS007F,C1SP10,0
HALAS012F,C1SP10,0
HALAS015F,C1SP10,8
HALAS017F,C1SP10,1
HALAS018F,C1SP10,0
HALAS019F,C1SP10,0
HALAS020F,C1SP10,0
HALAS021F,C1SP10,0
HALASODDF,C1SP10,0
HALASEV1F,C1SP10,0
HALASEV2F,C1SP10,0
HALASEV3F,C1SP10,0
HALASEV4F,C1SP10,0
HALASEV5F,C1SP10,1
HALASEV6F,C1SP10,0
HALASNOCF,C1SP10,0
HANOMTRIF,C1SP10,0
HASPH001F,C1SP10,0
HASPH002F,C1SP10,0
MEANTEMAF,C1SP10,0
MEANTPORF,C1SP10,0
MEASHBIGF,C1SP10,0
MEASHMELF,C1SP10,0
MEDIACURF,C1SP10,0
MEDIAIMPF,C1SP10,0
MEDIOPACF,C1SP10,0
MEDIOPOMF,C1SP10,0
MEHOP003F,C1SP10,0
MELITAPIF,C1SP10,0
MEMEGSIDF,C1SP10,0
MEMEGUMAF,C1SP10,0
MEOSMCERF,C1SP10,0
MEOSMLATF,C1SP10,0
MEOSMLIOF,C1SP10,0
MEOSMPRUF,C1SP10,0
MEOSMTITF,C1SP10,0
MEOSMWATF,C1SP10,0
ANANDCAPF,C1SP10,0
ANANDCREF,C1SP10,0
ANANDHELF,C1SP10,0
ANANDILLF,C1SP10,0
ANANDMON,C1SP10,0
ANANDPRFF,C1SP10,0
ANANDPRIF,C1SP10,0
ANHETPERF,C1SP10,0
ANHET002F,C1SP10,0
ANCAL001F,C1SP10,0
ANPER001F,C1SP10,0
ANPER002F,C1SP10,0
ANPER003F,C1SP10,0
ANPER005F,C1SP10,0
ANPER006F,C1SP10,0
ANPER009F,C1SP10,0
ANPER012F,C1SP10,0
ANPER014F,C1SP10,0
ANPER015F,C1SP10,0
ANPER016F,C1SP10,0
ANPER018F,C1SP10,0
ANPERALBF,C1SP10,0
ANPERAST,C1SP10,0
ANPERCALF,C1SP10,0
ANPERCORF,C1SP10,2
ANPERDOLF,C1SP10,0
ANPERFALF,C1SP10,0
ANPERIGNF,C1SP10,0
ANPERMENF,C1SP10,0
ANPERPULF,C1SP10,0
ANPERVERF,C1SP10,0
APANDCOMF,C1SP10,0
APANPCOMF,C1SP10,0
APANTAFFF,C1SP10,0
APANTCALF,C1SP10,0
APANTLESF,C1SP10,0
APANTMONF,C1SP10,0
APANTPHEF,C1SP10,0
APANTPORF,C1SP10,0
APAPIMELF,C1SP10,0
APBOMHUNF,C1SP10,0
APBOMPENF,C1SP10,0
APCERACAF,C1SP10,0
APCERNANF,C1SP10,0
APDIAAUSF,C1SP10,1
APDIADIMF,C1SP10,0
APDIAENAF,C1SP10,0
APDIAMEGF,C1SP10,0
APDIAOCHF,C1SP10,0
APDIARINF,C1SP10,27
APDIASPHF,C1SP10,0
APDIAVALF,C1SP10,0
APEUCLYCF,C1SP10,0
APEUCTERF,C1SP10,0
APEXOSOLF,C1SP10,0
APHABMORF,C1SP10,0
APHABNS1F,C1SP10,0
APHOLCALF,C1SP10,0
APMELBOHF,C1SP10,0
APMELPACF,C1SP10,0
APMESAGIF,C1SP10,0
APMESCOLF,C1SP10,0
APMESCOMF,C1SP10,0
APMESHUMF,C1SP10,0
APMESMENF,C1SP10,0
APMESPARF,C1SP10,0
APMESSUBF,C1SP10,0
APMESTHEF,C1SP10,0
APMESTRIF,C1SP10,1
APMESTRIM,C1SP10,0
APMESVERF,C1SP10,0
APNEOVIGF,C1SP10,0
APNOM001F,C1SP10,0
APPEPPRU,C1SP10,0
APSVAHELF,C1SP10,0
APSVAMACF,C1SP10,0
APSVAOBLF,C1SP10,0
APTETALBF,C1SP10,0
APTETSPIF,C1SP10,0
APXYLCALF,C1SP10,0
COHYLMESF,C1SP10,0
HAHALTRIF,C1FA10,0
HAAGAANGF,C1FA10,1
HAAGAFEMF,C1FA10,0
HAAGAMELF,C1FA10,1
HAAGASPLF,C1FA10,0
HAAUGAURF,C1FA10,4
HADUFMARF,C1FA10,0
HADUF001F,C1FA10,0
HAHALCONF,C1FA10,0
HAHALLIGF,C1FA10,0
HAHALPARF,C1FA10,0
HALASPRUF,C1FA10,0
HALASCOAF,C1FA10,0
HALASHUDF,C1FA10,0
HALASPARF,C1FA10,1
HALASPERF,C1FA10,0
HALASPOTF,C1FA10,0
HALASSISF,C1FA10,0
HALAS00CF,C1FA10,0
HALAS007F,C1FA10,0
HALAS012F,C1FA10,0
HALAS015F,C1FA10,3
HALAS017F,C1FA10,0
HALAS018F,C1FA10,0
HALAS019F,C1FA10,0
HALAS020F,C1FA10,0
HALAS021F,C1FA10,0
HALASODDF,C1FA10,0
HALASEV1F,C1FA10,0
HALASEV2F,C1FA10,0
HALASEV3F,C1FA10,0
HALASEV4F,C1FA10,0
HALASEV5F,C1FA10,0
HALASEV6F,C1FA10,0
HALASNOCF,C1FA10,0
HANOMTRIF,C1FA10,0
HASPH001F,C1FA10,0
HASPH002F,C1FA10,0
MEANTEMAF,C1FA10,0
MEANTPORF,C1FA10,0
MEASHBIGF,C1FA10,1
MEASHMELF,C1FA10,0
MEDIACURF,C1FA10,0
MEDIAIMPF,C1FA10,0
MEDIOPACF,C1FA10,0
MEDIOPOMF,C1FA10,0
MEHOP003F,C1FA10,0
MELITAPIF,C1FA10,0
MEMEGSIDF,C1FA10,0
MEMEGUMAF,C1FA10,0
MEOSMCERF,C1FA10,0
MEOSMLATF,C1FA10,0
MEOSMLIOF,C1FA10,0
MEOSMPRUF,C1FA10,0
MEOSMTITF,C1FA10,0
MEOSMWATF,C1FA10,0
ANANDCAPF,C1FA10,0
ANANDCREF,C1FA10,0
ANANDHELF,C1FA10,0
ANANDILLF,C1FA10,0
ANANDMON,C1FA10,0
ANANDPRFF,C1FA10,0
ANANDPRIF,C1FA10,0
ANHETPERF,C1FA10,0
ANHET002F,C1FA10,0
ANCAL001F,C1FA10,0
ANPER001F,C1FA10,0
ANPER002F,C1FA10,0
ANPER003F,C1FA10,0
ANPER005F,C1FA10,0
ANPER006F,C1FA10,0
ANPER009F,C1FA10,0
ANPER012F,C1FA10,0
ANPER014F,C1FA10,0
ANPER015F,C1FA10,0
ANPER016F,C1FA10,0
ANPER018F,C1FA10,0
ANPERALBF,C1FA10,0
ANPERAST,C1FA10,0
ANPERCALF,C1FA10,0
ANPERCORF,C1FA10,0
ANPERDOLF,C1FA10,0
ANPERFALF,C1FA10,0
ANPERIGNF,C1FA10,0
ANPERMENF,C1FA10,0
ANPERPULF,C1FA10,0
ANPERVERF,C1FA10,0
APANDCOMF,C1FA10,0
APANPCOMF,C1FA10,0
APANTAFFF,C1FA10,0
APANTCALF,C1FA10,0
APANTLESF,C1FA10,0
APANTMONF,C1FA10,0
APANTPHEF,C1FA10,0
APANTPORF,C1FA10,0
APAPIMELF,C1FA10,0
APBOMHUNF,C1FA10,0
APBOMPENF,C1FA10,0
APCERACAF,C1FA10,0
APCERNANF,C1FA10,0
APDIAAUSF,C1FA10,0
APDIADIMF,C1FA10,0
APDIAENAF,C1FA10,0
APDIAMEGF,C1FA10,0
APDIAOCHF,C1FA10,0
APDIARINF,C1FA10,7
APDIASPHF,C1FA10,0
APDIAVALF,C1FA10,0
APEUCLYCF,C1FA10,0
APEUCTERF,C1FA10,0
APEXOSOLF,C1FA10,1
APHABMORF,C1FA10,0
APHABNS1F,C1FA10,0
APHOLCALF,C1FA10,0
APMELBOHF,C1FA10,0
APMELPACF,C1FA10,0
APMESAGIF,C1FA10,3
APMESCOLF,C1FA10,0
APMESCOMF,C1FA10,0
APMESHUMF,C1FA10,0
APMESMENF,C1FA10,0
APMESPARF,C1FA10,0
APMESSUBF,C1FA10,0
APMESTHEF,C1FA10,0
APMESTRIF,C1FA10,1
APMESTRIM,C1FA10,0
APMESVERF,C1FA10,0
APNEOVIGF,C1FA10,0
APNOM001F,C1FA10,0
APPEPPRU,C1FA10,0
APSVAHELF,C1FA10,0
APSVAMACF,C1FA10,0
APSVAOBLF,C1FA10,0
APTETALBF,C1FA10,0
APTETSPIF,C1FA10,0
APXYLCALF,C1FA10,0
COHYLMESF,C1FA10,0
HAHALTRIF,C2SP08,161
HAAGAANGF,C2SP08,20
HAAGAFEMF,C2SP08,6
HAAGAMELF,C2SP08,0
HAAGASPLF,C2SP08,0
HAAUGAURF,C2SP08,0
HADUFMARF,C2SP08,0
HADUF001F,C2SP08,0
HAHALCONF,C2SP08,1
HAHALLIGF,C2SP08,2
HAHALPARF,C2SP08,0
HALASPRUF,C2SP08,10
HALASCOAF,C2SP08,2
HALASHUDF,C2SP08,13
HALASPARF,C2SP08,0
HALASPERF,C2SP08,10
HALASPOTF,C2SP08,0
HALASSISF,C2SP08,1
HALAS00CF,C2SP08,5
HALAS007F,C2SP08,0
HALAS012F,C2SP08,3
HALAS015F,C2SP08,4
HALAS017F,C2SP08,5
HALAS018F,C2SP08,1
HALAS019F,C2SP08,1
HALAS020F,C2SP08,0
HALAS021F,C2SP08,0
HALASODDF,C2SP08,4
HALASEV1F,C2SP08,0
HALASEV2F,C2SP08,1
HALASEV3F,C2SP08,0
HALASEV4F,C2SP08,0
HALASEV5F,C2SP08,26
HALASEV6F,C2SP08,0
HALASNOCF,C2SP08,1
HANOMTRIF,C2SP08,0
HASPH001F,C2SP08,0
HASPH002F,C2SP08,0
MEANTEMAF,C2SP08,0
MEANTPORF,C2SP08,0
MEASHBIGF,C2SP08,0
MEASHMELF,C2SP08,5
MEDIACURF,C2SP08,0
MEDIAIMPF,C2SP08,0
MEDIOPACF,C2SP08,0
MEDIOPOMF,C2SP08,1
MEHOP003F,C2SP08,0
MELITAPIF,C2SP08,0
MEMEGSIDF,C2SP08,0
MEMEGUMAF,C2SP08,0
MEOSMCERF,C2SP08,0
