global_id,portal_id,file_id,lter,title,alt_id,owner,metadata_date,year_only,no_temporal_info,start_date,end_date,duration,current,conv_access,pop_data,temp_int,quality,taxa,data_type,descriptor,study_type,num_spp,comm_data,multi_trophic,env_data_file,habitat_data_file,space_data_file,coor_sys,projection,lat,long,summarized,num_sites,num_treatment_levels,treatment_type,exp_maintainence,spatial_replication,num_levels_of_replication,rep_lev1,rep_lev2,rep_lev3,rep_lev4,site_metadata,notes,linked,data_obj_count,api_file
18,knb-lter-sbc.21.15,"M. pyrifera standing crop, plant density, and loss rates with SE , Macrocystis pyrifera standing crop, plant density and loss rates",SBC,"SBCLTER: Reef: Net primary production, growth and standing crop of Macrocystis pyrifera in Southern California",,Rassweiler;Arkema;Reed;Zimmerman;Brzezinski,0,0,0,4/4/2002,12/11/2012,,1,1,1,monthly,low,algae,density,,obs,1,no,no,,,,,,,,see site_metadata,3,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.21,density=number of plants per m2,,1,
19,knb-lter-sbc.21.15,"M. pyrifera frond census, marked plants, Census of fronds on marked plants",SBC,"SBCLTER: Reef: Net primary production, growth and standing crop of Macrocystis pyrifera in Southern California",,Rassweiler;Arkema;Reed;Zimmerman;Brzezinski,0,0,0,4/4/2002,12/11/2012,,1,1,1,monthly,low,algae,demo,,obs,1,no,no,,,,,,,,,3,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.21,demographic is growth metric,,1,
21,knb-lter-sbc.54.6,All Satellite kelp biomass,SBC,"SBC LTER: Time series of kelp biomass in the canopy from Landsat 5, 1984 -2011",,,0,0,0,3/23/1984,11/9/2011,,0,1,1,weekly,low,algae,biomass,,obs,1,no,no,,,,,,,,,-999,-999,see site_metadata,see site_metadata,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.54,biomass was estimated with Landsat ,,1,
50,knb-lter-sbc.77.1,"Time-series of lobster abundance and size, Time-series of abundance and size of California spiny lobster (Panulirus interruptus) at SBC LTER reefs",SBC,"SBC LTER: Reef: Abundance, size and fishing effort for California Spiny Lobster (Panulirus interruptus), ongoing since 2012",,Reed,0,0,0,8/20/2012,9/12/2014,,1,1,1,yr,low,arthropod,count,,obs,1,no,no,,,,,,,,,5,0,habitat,none,yes,2,8,4,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.77,"site (5), permanent transects (up to 8 per site), lobster transect (up to 4 per permanent transect)",,1,SBC/lobster_abundance_all_years_20141001.csv
52,knb-lter-sbc.52.3,"California invertebrate settlement, all years, settlement data for urchins plus selected bivalves, gastropds and crabs.",SBC,SBC LTER: Time series of settlement of urchins and other invertebrates,,Dixon;Ebert;Richards,0,0,0,2/19/1990,7/29/2011,,0,1,1,biweekly,low,echinoderm,density,,obs,-999,yes,yes,,,,,,,,,7,0,habitat,none,yes,1,24,0,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.52,"density= average number of settlers per day per brush; site (5), brush (up to 24 brushes per site , or 12 brush pairs)",,1,SBC/calif_invert_settlement_allyears.csv
53,knb-lter-sbc.39.4,"SCI selected fish, all years, Santa Cruz Island Surfperch and Garibaldi data",SBC,SBC LTER: Santa Cruz Island: Abundance of Surfperch and Garibaldi,,Schmitt; Holbrook,0,0,0,7/28/1982,11/30/2010,,0,1,1,irregular,low,fish,count,,obs,5,yes,no,,,,,,,,,-999,0,habitat,none,yes,1,3,0,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.39,"site (11), transect (3 per site, transects are habitat types i.e. depths)",,1,SBC/SCI_Fish_All_Years.csv
55,knb-lter-sbc.47.3,"SCI alga weights, all years, Weight of algae by genus or species collected from scraped quadrats",SBC,SBC LTER: Santa Cruz Island: Abundance and Biomass of Benthic Organisms (food resource collection),,Schmitt; Holbrook,0,0,0,10/14/1982,11/16/2006,,0,1,1,irregular,low,algae,biomass,,obs,-999,yes,no,,,,,,,,,-999,0,habitat,none,yes,2,3,12,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.47,"site (11), transect (3 per site, transects are habitat types), quadrat (up to 12 quadrats per transect); biomass is wet weight",,1,SBC/SCI_Algal_Weights_All_Years.csv
56,knb-lter-sbc.48.3,"SCI Kelp, all years, Abundance of giant Kelp at Santa Cruz Island, CA",SBC,SBC LTER: Santa Cruz Island: Abundance of giant Kelp (Macrocystis pyrifera),,Schmitt; Holbrook,0,0,0,8/17/2011,8/30/2011,,0,1,1,,other,algae,count;trait,,obs,,,,,,,,,,,,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.48,data can be turned into counts; temporal snapshot,,1,
57,knb-lter-sbc.46.3,"SCI Pycnopodia, all years, Pycnopodia Counts from Santa Cruz Island",SBC,SBC LTER: Santa Cruz Island: Abundance of Pycnopodia helianthoides,,Schmitt; Holbrook,0,0,0,11/3/2003,11/30/2010,,0,1,1,irregular,low,echinoderm,count,,obs,1,no,no,,,,,,,,,11,0,habitat,none,yes,2,3,2,0,0,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.46,"site(11), transects (3 per site, different habitat types), sweeps (2, per transect, each side of transect)",,1,SBC/SCI_Pycnopodia_All_Years.csv
59,knb-lter-sbc.14.13,"Historical kelp biomass, Time series of giant kelp biomass along the coasts of California and Baja, Mexico",SBC,SBC LTER: Reef: Historical Kelp Database for giant kelp (Macrocystis pyrifera) biomass in California and Mexico,,Reed,0,0,0,8/13/1957,4/28/2007,,0,1,1,irregular,low,algae,biomass,,obs,1,no,no,,,,,,,,,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.14,bimoass was visually estimated from aerial surveys,,1,
77,knb-lter-sbc.61.4,"Sea otter sightings, records, Number, location and behavior/activities of sea otters along the Santa Barbara Coast",SBC,"SBC LTER: Reef: Sightings of sea otters (Enhydra lutris) near Santa Barbara and Channel Islands, ongoing since 2007",,,0,0,0,5/1/2007,12/22/2011,,1,1,1,monthly;irregular,low,mammal,count,,obs,1,no,no,,,,,,,,,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.61,,,1,
82,knb-lter-sbc.51.5,"Beach birds, all years,Abundance and species richness of birds encountered during the survey time along 1km of shoreline. Dogs, humans and marine mammals are also recorded.",SBC,"SBC LTER: Beach: Time series of abundance of birds and stranded kelp on selected beaches, ongoing since 2008",,Dugan,0,0,0,10/29/2008,6/1/2013,,1,1,1,,other,bird,count,,obs,,,,,,,,,,,,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.51,No taxonomic information on birds are given,,1,
84,knb-lter-sbc.91.1,"Beach wrack consumers, all years, Time-series of counts and biomass of beach wrack consumers, by species",SBC,"SBC LTER: Beach: Time-series of beach wrack consumers, ongoing since 2011",,Dugan,0,0,0,5/24/2012,9/16/2012,,1,1,1,,other,arthropod;annelid;see site_metadata,count,,obs,,,,,,,,,,,,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.91,temporal snapshot,,1,
153,knb-lter-sbc.85.1,"Macrocystis blade lifetime observations, Giant kelp blade lifetime and growth characteristics",SBC,"SBC LTER: Kelp blade characteristics to support turnover dynamics of giant kelp, Macrocystis pyrifera in the Santa Barbara Channel",,Rodriguez,0,0,0,7/3/2012,11/1/2012,,0,1,1,,other,algae,demo,see site_metadata,obs,,,,,,,,,,,,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.85,,,1,
158,knb-lter-sbc.83.1,"Urchin size and weight, initial 20101110, Initial test-diameter and weights for experimental urchins, 2010-11-10 (for Foster, et al 2014)",SBC,"SBC LTER: Effect of algal diet on consumption, growth, and gonad weight of the purple sea urchin (Strongylocentrotus pupuratus)",,Foster;Byrnes;Reed,1,0,1,10/10/2010,2/9/2011,,0,1,1,,other,echinoderm,demo,diameter;trait;see site_metadata,exp,,,,,,,,,,,,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.83,,,1,
159,knb-lter-sbc.83.1,"Urchin size, body weight, gonad weight, final 20110209 Final test-diameter, body weights and gonad weights for experimental urchins, 2011-02-09 (for Foster, et al 2014)",SBC,"SBC LTER: Effect of algal diet on consumption, growth, and gonad weight of the purple sea urchin (Strongylocentrotus pupuratus)",,Foster;Byrnes;Reed,1,0,1,10/10/2010,2/9/2011,,0,1,1,,other,echinoderm,demo,diameter;trait;see site_metadata,exp,,,,,,,,,,,,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.83,,,1,
160,knb-lter-sbc.83.1,"Urchin size and body weight, controls 20101230, Test-diameter and body weight for control urchins, 20101230, (for Foster, et al 2014)",SBC,"SBC LTER: Effect of algal diet on consumption, growth, and gonad weight of the purple sea urchin (Strongylocentrotus pupuratus)",,Foster;Byrnes;Reed,0,0,0,12/30/2010,12/30/2010,,0,1,1,,other,echinoderm,demo,diameter;trait;see site_metadata,exp,,,,,,,,,,,,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.83,,,1,
164,knb-lter-sbc.55.1,"Phyto_Production_11_3_17.csv, Integrated POC, chlorophyll, phaeopigments and phytoplankton primary production for transects cleared of Macrocystis and control transects.",SBC,"SBC LTER: Reef: Understory and phytoplankton production at cleared and control plots, Mohawk Reef, 2007-2008",,Miller;Reed;Brzenzinski,0,0,0,5/1/2007,9/11/2008,,0,1,1,,other,,biomass,phyto;chlA,exp,,,,,,,,,,,integrated,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.55,phytoplanton production integrated over the water column as well as mass of Chorophyll-a,,1,
166,knb-lter-sbc.60.5,"Okamoto, SCI aggregated EJ food, Aggregated mean abundance of age classes of black surfperch and their prey.",SBC,"SBC LTER: Santa Cruz Island: Aggregated mean abundance of black surfperch (Embiotoca jacksoni) and prey availability, 1994-2008",,Okamoto;Schmitt;Holbrook,0,1,0,1/1/1994,1/1/2008,,0,1,1,see site_metadata,low,fish,count,,obs,1,no,no,,,,,,,,averaged,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.60,,,1,
328,knb-lter-sbc.66.4,"Klose et al, VR algae 2008",SBC,"SBC LTER: Nutrient concentrations and algae cover in the Ventura River catchment, California, 2008",,Klose;Cooper;Leydecker;Kreitler,0,0,0,5/16/2008,9/6/2008,,0,1,1,,other,algae,per_cover,,obs,,,,,,,,,,,,,,,,,,,,,,http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.66,,,1,
334,knb-lter-sev.106.214968,sev106_hopperdynamics_20150826.txt,SEV," Long-Term Core Site Grasshopper Dynamics for the Sevilleta National Wildlife Refuge, New Mexico (1992-2013) ",106," Lightfoot, David ",0,1,0,6/22/1992,9/22/2013,,1,1,1,season:yr,high,arthropod,count,,obs,56,yes,no,,,,,,see notes,see notes,,4,2,habitat;fire,pulse,yes,2,5,6,0,0,http://sev.lternet.edu/data/sev-106,"site coordinates: G (http://sev.lternet.edu/node/3563), C (http://sev.lternet.edu/node/649), P (http://sev.lternet.edu/node/3565), B (http://sev.lternet.edu/node/3564); sites(4), webs(5 per site), transects(6 per web)",,1,
336, knb-lter-sev.109.90731,sev109_blmtransects_02252000.txt,SEV," Desertification/Bureau of Land Managment (BLM) Transects at the Sevilleta National Wildlife Refuge, New Mexico (1976,1986,1996) ",109," Parmenter, RobertRyerson, Daniel ",0,0,0,8/3/1976,8/22/1996,,0,1,1,decade,other,plant,per_cover,,obs,51,yes,no,,,,,,,,,-999,2,consumer,maintained,see site_metadata,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-109,Data is missing information on sites; Site were compared across grazing treatments,,1,
337,knb-lter-sev.112.85597,sev112_coyotedens_01062009.txt,SEV," Coyote Population Densities at the Sevilleta National Wildlife Refuge, New Mexico (1992-2004) ",112," Parmenter, Robert ",0,0,0,1/31/1992,7/12/2004,,0,1,1,season:yr,low,mammal,density,,obs,1,no,no,,,,,,,,averaged,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-112,not raw data; density= number of coyotes per square kilometer,,1,
338,knb-lter-sev.113.119297,sev112_coyotedens_01062009.txt,SEV," Rabbit Population Densities at the Sevilleta National Wildlife Refuge, New Mexico (1992-2004) ",113," Parmenter, Robert ",0,0,0,1/20/1992,7/23/2002,,0,1,1,season:yr,low,mammal,density,,obs,1,no,no,,,,,,,,averaged,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-113,not raw data; density= number of rabbits per square kilometer,,1,
340,knb-lter-sev.129.257660,sev129_nppcorequadrat_20141215.txt,SEV," Core Research Site Web Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge, New Mexico (1999- ) ",129," Muldavin, EstebanCollins, Scott ",0,0,0,2/2/1999,5/19/2015,,1,1,1,season:yr,low,plant,per_cover,,obs,161,yes,no,,,,,,,,,3,0,habitat,none,yes,3,5,4,4,0,http://sev.lternet.edu/data/sev-129,"Designated as NA-US-011 Global Index of Vegetation-Plot Databses; NPP or biomass is compared across ecosystems (Creosote-dominated shrubland, black Gramma-dominated grassland, Blue grama-dominated grassland, and Pinon-juniper; 3 sites (different ecosystems),  webs (up to 5 per site), plots (up to 4 per web), quadrats (up to 4 per plot)",157;182,1,
341,knb-lter-sev.13.270182,sev013_rodentparasite_02182011.txt,SEV," Rodent Parasite Data for the Sevilleta National Wildlife Refuge, New Mexico (1990-1998) ",13," Duszyinski, Don ",0,0,0,6/1/1990,9/1/1998,,0,1,1,season:yr,low,parasite,count,,obs,-999,see site_metadata,see site_metadata,,,,,,,,,-999,0,habitat,none,see site_metadata,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-13,count of parasites…,,1,
345,knb-lter-sev.144.232030,sev144_kratdominance_08052003.txt,SEV," Effects of Kangaroo Rats on Plant Species Dominance in a Chihuahuan Desert Grassland at the Sevilleta National Wildlife Refuge, New Mexico (1988) ",144," Peters, DebraCollins, Scott ",1,,,6/1/1998,8/1/1998,,,,1,,other,plant,per_cover,,obs,,,,,,,,,,,,,,,,,,,,,,http://sev.lternet.edu/data/sev-144,,,1,
346,knb-lter-sev.145.204486 ,sev145_sgs_20140116.csv,SEV, US-Hungary Grassland Biodiversity (cross-site project): 4x4 m Sample Plot Data (1996-1997) ,145," Hochstrasser, TamaraKroel-Dulay, Gyuri ",1,,,8/1/1996,9/1/1996,,,,1,,other,plant,per_cover,,obs,,,,,,,,,,,,,,,,,,,,,,http://sev.lternet.edu/data/sev-145,temporal snapshot,,1,
347,knb-lter-sev.145.204486 ,sev145_sev_20140116.csv,SEV, US-Hungary Grassland Biodiversity (cross-site project): 4x4 m Sample Plot Data (1996-1997) ,145," Hochstrasser, TamaraKroel-Dulay, Gyuri ",1,,,8/1/1996,9/1/1996,,,,1,,other,plant,per_cover,,obs,,,,,,,,,,,,,,,,,,,,,,http://sev.lternet.edu/data/sev-145,temporal snapshot,,1,
348,knb-lter-sev.145.204486 ,sev145_jrn_20140116.csv,SEV, US-Hungary Grassland Biodiversity (cross-site project): 4x4 m Sample Plot Data (1996-1997) ,145," Hochstrasser, TamaraKroel-Dulay, Gyuri ",1,,,8/1/1996,9/1/1996,,,,1,,other,plant,per_cover,,obs,,,,,,,,,,,,,,,,,,,,,,http://sev.lternet.edu/data/sev-145,temporal snapshot,,1,
350,knb-lter-sev.147.167839,sev147_droughtveg_11142011.txt,SEV," Rainfall Manipulation Study Vegetation Data from the Chihuahuan Desert Grassland and Creosote Shrubland at the Sevilleta National Wildlife Refuge, New Mexico (2003-2011) ",147," Pockman, William ",0,0,0,4/24/2003,10/26/2011,,0,0,1,season:yr,low,plant,per_cover,,exp,124,yes,no,,,,,,,,,3,3,precip,see site_metadata,yes,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-147,error in file when read in; data do not include information about treatment levels,,1,
351,knb-lter-sev.148.131882,sev148_burnxgrass_12112013.txt,SEV," 2003 Prescribed Burn Effect on Chihuahuan Desert Grasses and Shrubs at the Sevilleta National Wildlife Refuge, New Mexico: Grass Recovery Study (2003- ) ",148," Muldavin, Esteban ",0,0,0,6/9/2003,11/19/2013,,1,1,1,yr,low,plant,basal_cover,,exp,4,yes,no,,,,,,,,,-999,4,fire;fenced,pulse;maintained,yes,-999,-999,-999,-999,-999,http://sev.lternet.edu/data/sev-148,"temporal interval mostly once per year; taxa resolution varies; site (1), treatment1 (burned or unburned), treatment2 (fenced or unfenced), quadrat(6 per plot ), corner(4 per quadrat); numer of decimeters in which plant is rooted",164;165;166,1,
353,knb-lter-sev.15.218704,sev015_burnxrodentpop_10191995.txt,SEV," Burn Exclosure Rodent Population Study at the Sevilleta National Wildlife Refuge, New Mexico, (1991-1993) ",15," Parmenter, Robert ",0,0,0,9/1/1991,6/1/1993,,0,1,1,season:yr,low,mammal,mark-recapture|distance-sampling,,exp,25,yes,no,,,,,,,,,-999,1,fire;consumer,see site_metadata,yes,4,4,4,144,0,http://sev.lternet.edu/data/sev-15,"site (1, burn exclose), block (4 blocks in the site), web (4 per block), traps (144 per web)",,1,
359,knb-lter-sev.155.233346,sev155_nppfertilizerquadrat_20150819.txt,SEV," Nitrogen Fertilization Experiment (NFert): Net Primary Production Quadrat Data at the Sevilleta National Wildlife Refuge, New Mexico (2004-present) ",155," Collins, Scott ",0,0,0,3/8/2004,4/29/2015,,1,1,1,season:yr,low,plant,per_cover,,exp,92,yes,no,,,,,,,,,1,2,resource,maintained,yes,2,10,4,0,0,http://sev.lternet.edu/data/sev-155,"site (1), treatment (2, fertilized or control), plots (10 per treatment), quadrats (4 per plot)",157; 186,1,
360,knb-lter-sev.156.245412,sev156_nppburnquadrat_20150819.txt,SEV," Burn Study Sites Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge, New Mexico (2004-present) ",156," Muldavin, Esteban ",0,0,0,4/27/2004,5/11/2015,,1,1,1,season:yr,low,plant,per_cover,,exp,129,yes,no,,,,,,,,,3,2,habitat;fire,pulse,yes,1,40,0,0,0,http://sev.lternet.edu/data/sev-156,"sites (3, different veg types), treatments (2 levels, burned and controll), quadrats (40 per treatment)",157;185,1,
367,knb-lter-sev.166.122108,sev166_burnxquad_11142013.txt,SEV," 2003 Prescribed Burn Effect on Chihuahuan Desert Grasses and Shrubs at the Sevilleta National Wildlife Refuge, New Mexico: Species Composition Study (2004- ) ",166," Muldavin, EstebanCollins, Scott ",1,,,5/3/2004,9/5/2013,,,0,1,season:yr,other,plant,per_cover,,exp,,,,,,,,,,,,,,,,,,,,,,http://sev.lternet.edu/data/sev-166,"can't read data in, error with txt file; not at species level",148;164;165,1,
368,knb-lter-sev.168.192537,sev168_removal_20140116.txt,SEV," Plant Removal Study: Recovery of Vegetation Following Disturbance at the Sevilleta National Wildlife Refuge, New Mexico (1995-2010) ",168," Peters, Debra ",0,0,0,1/1/1995,9/2/2010,,0,1,1,yr,low,plant,per_cover,,exp,205,yes,no,,,,,,,,,6,4,habitat;removal,maintained,yes,1,5,0,0,0,http://sev.lternet.edu/data/sev-168,"site (6 site, differen plant communities), treatment (up to 4 treatment levels per site, removal of a certain plant species), plots (5 per treatment )",,1,
369,knb-lter-sev.169.1,sev169_krat_07312012.txt,SEV," The Effect of Kangaroo-Rat Activity on Plant Species Composition at the Sevilleta National Wildlife Refuge, New Mexico (1999) ",169," Kroel-Dulay, GyuriPeters, DebraHochstrasser, Tamara ",1,,,3/7/2012,3/7/2012,,,,1,,other,plant,per_cover,,obs,,,,,,,,,,,,,,,,,,,,,,http://sev.lternet.edu/data/sev-169/6754,temporal snapshot,,1,
370,knb-lter-sev.17.120278 ,sev017_birdpop_09251997.txt,SEV," Bird Community Assessment in Grassland, Shrubland, and Woodland Habitats at the Sevilleta National Wildlife Refuge, New Mexico (1991-1997) ",17," Parmenter, Robert ",0,0,0,1/23/1991,6/2/1997,,0,1,1,season:yr,low,bird,count,,obs,91,yes,no,,,,,,,,,3,0,habitat,none,yes,1,8,0,0,0,http://sev.lternet.edu/data/sev-17,"data need to be transformed to counts; site (3, different habitat types), sampling location (8 per habitat type)",,1,
