"Code","Growth","SppType","Season","Month","Year","Site","Plot","Quad","Cover","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species","month_num","site_plot"
"CRCR3","A","H",1,"May",2004,"G","1",82,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"SOEL","P","H",1,"May",2004,"G","1",82,2,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G1"
"GUSA2","P","S",1,"May",2004,"G","1",84,5,"Plantae","Asteraceae","Gutierrezia","sarothrae",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",84,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",84,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"GUSA2","P","S",1,"May",2004,"G","1",90,1,"Plantae","Asteraceae","Gutierrezia","sarothrae",5,"G1"
"OECAC2","P","H",1,"May",2004,"G","1",90,1,"Plantae","Onagraceae","Oenothera","caespitosa",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",90,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",90,3,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"APRAH","P","H",1,"May",2004,"G","1",90,5,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",90,8,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"GUSA2","P","S",1,"May",2004,"G","1",92,3,"Plantae","Asteraceae","Gutierrezia","sarothrae",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",92,5,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"SPHA","P","H",1,"May",2004,"G","1",92,10,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",92,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",94,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",94,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",94,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",96,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",96,25,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",102,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",102,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",102,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CHLA10","A","H",1,"May",2004,"G","1",104,1,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",104,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",104,8,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",104,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",106,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"SPHA","P","H",1,"May",2004,"G","1",106,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",106,5,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"NONE",NA,NA,1,"May",2004,"G","1",108,0,NA,NA,NA,NA,5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",114,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",114,2,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SPHA","P","H",1,"May",2004,"G","1",114,4,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",116,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"APRAH","P","H",1,"May",2004,"G","1",116,2,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",116,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",116,3,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",118,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"SPHA","P","H",1,"May",2004,"G","1",118,1,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",118,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",120,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CHLA10","A","H",1,"May",2004,"G","1",126,2,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",126,4,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",126,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",128,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CHLA10","A","H",1,"May",2004,"G","1",128,1,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",128,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",130,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",130,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SOEL","P","H",1,"May",2004,"G","1",132,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",132,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",138,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"GUSA2","P","S",1,"May",2004,"G","1",138,5,"Plantae","Asteraceae","Gutierrezia","sarothrae",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",138,8,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"SPHA","P","H",1,"May",2004,"G","1",138,10,"Plantae","Malvaceae","Sphaeralcea","hastulata",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",140,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"GUSA2","P","S",1,"May",2004,"G","1",140,2,"Plantae","Asteraceae","Gutierrezia","sarothrae",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",140,3,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"SOEL","P","H",1,"May",2004,"G","1",140,4,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",140,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"HYFIC","P","H",1,"May",2004,"G","1",142,1,"Plantae","Asteraceae","Hymenopappus","filifolius",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",142,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",142,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",142,25,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"ASNU4","A","H",1,"May",2004,"G","1",144,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G1"
"APRAH","P","H",1,"May",2004,"G","1",144,2,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G1"
"CRCR3","A","H",1,"May",2004,"G","1",144,3,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G1"
"PLPA2","A","H",1,"May",2004,"G","1",144,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G1"
"APRAH","P","H",1,"May",2004,"G","2",6,1,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G2"
"SOEL","P","H",1,"May",2004,"G","2",6,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",6,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",6,5,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",6,7,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",8,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"LEDED","A","H",1,"May",2004,"G","2",8,1,NA,NA,NA,NA,5,"G2"
"MAFE","A","H",1,"May",2004,"G","2",8,1,"Plantae","Asteraceae","Malacothrix","fendleri",5,"G2"
"APRAH","P","H",1,"May",2004,"G","2",8,3,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",8,6,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",8,7,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"LEDED","A","H",1,"May",2004,"G","2",10,1,NA,NA,NA,NA,5,"G2"
"MAFE","A","H",1,"May",2004,"G","2",10,1,"Plantae","Asteraceae","Malacothrix","fendleri",5,"G2"
"APRAH","P","H",1,"May",2004,"G","2",10,3,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",10,4,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",10,4,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",10,6,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"LEDED","A","H",1,"May",2004,"G","2",12,2,NA,NA,NA,NA,5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",12,5,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",12,5,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",12,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",18,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",18,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",18,6,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"APRAH","P","H",1,"May",2004,"G","2",20,1,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",20,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"SOEL","P","H",1,"May",2004,"G","2",20,2,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"HOGL2","P","H",1,"May",2004,"G","2",20,6,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",20,30,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",22,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"SOEL","P","H",1,"May",2004,"G","2",22,1,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",22,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",22,25,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",24,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",24,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",24,25,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"APRAH","P","H",1,"May",2004,"G","2",30,1,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",30,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"LEDED","A","H",1,"May",2004,"G","2",30,1,NA,NA,NA,NA,5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",30,3,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"AMCH3","P","H",1,"May",2004,"G","2",32,1,"Plantae","Nyctaginaceae","Ammocodon","chenopodioides",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",32,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",32,3,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",32,15,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",34,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",34,6,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",36,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",36,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"SOEL","P","H",1,"May",2004,"G","2",36,2,"Plantae","Solanaceae","Solanum","elaeagnifolium",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",36,6,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"APRAH","P","H",1,"May",2004,"G","2",42,1,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",42,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",42,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",42,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",44,2,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",44,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",44,40,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",46,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CHLA10","A","H",1,"May",2004,"G","2",46,2,"Plantae","Euphorbiaceae","Chamaesyce","lata",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",46,3,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",46,10,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",48,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",48,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"OECAC2","P","H",1,"May",2004,"G","2",48,1,"Plantae","Onagraceae","Oenothera","caespitosa",5,"G2"
"APRAH","P","H",1,"May",2004,"G","2",48,2,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G2"
"HOGL2","P","H",1,"May",2004,"G","2",48,2,"Plantae","Fabaceae","Hoffmannseggia","glauca",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",48,20,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"APRAH","P","H",1,"May",2004,"G","2",54,1,"Plantae","Asteraceae","Aphanostephus","ramosissimus",5,"G2"
"ASNU4","A","H",1,"May",2004,"G","2",54,1,"Plantae","Fabaceae","Astragalus","nuttallianus",5,"G2"
"LEDED","A","H",1,"May",2004,"G","2",54,1,NA,NA,NA,NA,5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",54,2,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
"PLPA2","A","H",1,"May",2004,"G","2",54,4,"Plantae","Plantaginaceae","Plantago","patagonica",5,"G2"
"CRCR3","A","H",1,"May",2004,"G","2",56,1,"Plantae","Boraginaceae","Cryptantha","crassisepala",5,"G2"
