"year","fire","ws","block","trt","plot","spnum","Taxa_genus","Taxa_species","cover","Taxa_kingdom","Taxa_family"
2006,1,"n1b","A",1,3,21,"sporobolus","asper",12.5,"Plantae","Lamiaceae"
2006,1,"n1b","A",1,3,25,"bromus","japonicus",0.75,"Plantae",NA
2006,1,"n1b","A",1,3,27,"festuca","octoflora",0.25,"Plantae","Poaceae"
2006,1,"n1b","A",1,3,31,"carex","brevior",4.25,"Plantae",NA
2006,1,"n1b","A",1,3,33,"carex","heliophila",7,"Plantae",NA
2006,1,"n1b","A",1,3,46,"ambrosia","psilostachya",1,"Plantae",NA
2006,1,"n1b","A",1,3,47,"androsace","occidentalis",0.25,"Plantae","Chenopodiaceae"
2006,1,"n1b","A",1,3,55,"asclepias","verticillata",1,"Plantae","Apiaceae"
2006,1,"n1b","A",1,3,58,"aster","ericoides",0.25,"Plantae","Asteraceae"
2006,1,"n1b","A",1,3,59,"aster","oblongifolius",5.25,"Plantae",NA
2006,1,"n1b","A",1,3,61,"astragalus","crassicarpus",1,"Plantae",NA
2006,1,"n1b","A",1,3,69,"callirhoe","involucrata",0.5,"Plantae",NA
2006,1,"n1b","A",1,3,71,"conyza","canadensis",0.25,"Plantae","Asteraceae"
2006,1,"n1b","A",1,3,72,"croton","monanthogynus",0.75,"Plantae",NA
2006,1,"n1b","A",1,3,75,"draba","reptans",0.25,"Plantae",NA
2006,1,"n1b","A",1,3,77,"erigeron","strigosus",0.5,"Plantae",NA
2006,1,"n1b","A",1,3,79,"euphorbia","spathulata",1.5,"Plantae",NA
2006,1,"n1b","A",1,3,82,"hedeoma","hispidum",1,"Plantae","Hydrophyllaceae"
2006,1,"n1b","A",1,3,85,"hymenopappus","scabiosaeus",1.5,"Plantae",NA
2006,1,"n1b","A",1,3,86,"kuhnia","eupatorioides",1.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,3,89,"lepidium","densiflorum",0.5,"Plantae","Brassicaceae"
2006,1,"n1b","A",1,3,92,"linum","sulcatum",9,"Plantae",NA
2006,1,"n1b","A",1,3,93,"lithospermum","incisum",0.5,"Plantae","Boraginaceae"
2006,1,"n1b","A",1,3,99,"oenothera","speciosa",0.25,"Plantae","Asclepiadaceae"
2006,1,"n1b","A",1,3,102,"oxalis","stricta",0.75,"Plantae",NA
2006,1,"n1b","A",1,3,114,"plantago","rhodosperma",7.75,"Plantae",NA
2006,1,"n1b","A",1,3,116,"psoralea","esculenta",0.5,"Plantae",NA
2006,1,"n1b","A",1,3,118,"ratibida","columnifera",1.5,"Plantae","Asteraceae"
2006,1,"n1b","A",1,3,120,"ruellia","humilis",0.75,"Plantae","Loasaceae"
2006,1,"n1b","A",1,3,121,"salvia","azurea",4.5,"Plantae",NA
2006,1,"n1b","A",1,3,123,"senecio","plattensis",1,"Plantae",NA
2006,1,"n1b","A",1,3,124,"silene","antirrhina",1.5,"Plantae","Caryophyllaceae"
2006,1,"n1b","A",1,3,128,"solidago","missouriensis",0.25,"Plantae","Fabaceae"
2006,1,"n1b","A",1,3,132,"spermolepis","inermis",2.5,"Plantae",NA
2006,1,"n1b","A",1,3,136,"triodanis","leptocarpa",0.5,"Plantae",NA
2006,1,"n1b","A",1,3,140,"vernonia","baldwinii",1.25,"Plantae",NA
2006,1,"n1b","A",1,3,141,"viola","rafinesquii",0.5,"Plantae",NA
2006,1,"n1b","A",1,4,2,"andropogon","gerardii",2.5,"Plantae",NA
2006,1,"n1b","A",1,4,3,"andropogon","scoparius",0.25,"Plantae","Fabaceae"
2006,1,"n1b","A",1,4,5,"bouteloua","gracilis",86.75,"Plantae","Poaceae"
2006,1,"n1b","A",1,4,12,"koeleria","pyramidata",11,"Plantae",NA
2006,1,"n1b","A",1,4,14,"dichanthelium","oligosanthes",6.75,"Plantae",NA
2006,1,"n1b","A",1,4,18,"sorghastrum","nutans",4.5,"Plantae",NA
2006,1,"n1b","A",1,4,21,"sporobolus","asper",23.5,"Plantae","Lamiaceae"
2006,1,"n1b","A",1,4,22,"sporobolus","cryptandrus",5.75,"Plantae","Poaceae"
2006,1,"n1b","A",1,4,25,"bromus","japonicus",3.75,"Plantae",NA
2006,1,"n1b","A",1,4,27,"festuca","octoflora",3.25,"Plantae","Poaceae"
2006,1,"n1b","A",1,4,28,"hordeum","pusillum",12.5,"Plantae",NA
2006,1,"n1b","A",1,4,30,"schedonnardus","paniculatus",0.75,"Plantae",NA
2006,1,"n1b","A",1,4,31,"carex","brevior",2.75,"Plantae",NA
2006,1,"n1b","A",1,4,33,"carex","heliophila",0.25,"Plantae",NA
2006,1,"n1b","A",1,4,34,"carex","meadii",0.5,"Plantae",NA
2006,1,"n1b","A",1,4,44,"achillea","millefolium",0.75,"Plantae",NA
2006,1,"n1b","A",1,4,46,"ambrosia","psilostachya",1.5,"Plantae",NA
2006,1,"n1b","A",1,4,56,"asclepias","viridis",3.5,"Plantae","Poaceae"
2006,1,"n1b","A",1,4,58,"aster","ericoides",5.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,4,77,"erigeron","strigosus",1.5,"Plantae",NA
2006,1,"n1b","A",1,4,79,"euphorbia","spathulata",0.25,"Plantae",NA
2006,1,"n1b","A",1,4,82,"hedeoma","hispidum",0.75,"Plantae","Hydrophyllaceae"
2006,1,"n1b","A",1,4,89,"lepidium","densiflorum",0.75,"Plantae","Brassicaceae"
2006,1,"n1b","A",1,4,92,"linum","sulcatum",0.75,"Plantae",NA
2006,1,"n1b","A",1,4,102,"oxalis","stricta",0.5,"Plantae",NA
2006,1,"n1b","A",1,4,114,"plantago","rhodosperma",1,"Plantae",NA
2006,1,"n1b","A",1,4,118,"ratibida","columnifera",0.5,"Plantae","Asteraceae"
2006,1,"n1b","A",1,4,120,"ruellia","humilis",1.5,"Plantae","Loasaceae"
2006,1,"n1b","A",1,4,122,"schrankia","nuttallii",0.25,"Plantae",NA
2006,1,"n1b","A",1,4,123,"senecio","plattensis",0.25,"Plantae",NA
2006,1,"n1b","A",1,4,124,"silene","antirrhina",0.5,"Plantae","Caryophyllaceae"
2006,1,"n1b","A",1,4,128,"solidago","missouriensis",3.5,"Plantae","Fabaceae"
2006,1,"n1b","A",1,4,130,"solidago","rigida",0.25,"Plantae",NA
2006,1,"n1b","A",1,4,132,"spermolepis","inermis",0.5,"Plantae",NA
2006,1,"n1b","A",1,4,183,"grindelia","squarrosa",1,"Plantae","Poaceae"
2006,1,"n1b","A",1,4,338,"plantago","patagonica",48.75,"Plantae","Plantaginaceae"
2006,1,"n1b","A",1,4,591,"Panicum","sp.",0.75,"Plantae",NA
2006,1,"n1b","A",1,5,2,"andropogon","gerardii",27.5,"Plantae",NA
2006,1,"n1b","A",1,5,3,"andropogon","scoparius",1.25,"Plantae","Fabaceae"
2006,1,"n1b","A",1,5,4,"bouteloua","curtipendula",4.25,"Plantae","Poaceae"
2006,1,"n1b","A",1,5,5,"bouteloua","gracilis",53.25,"Plantae","Poaceae"
2006,1,"n1b","A",1,5,11,"eragrostis","spectabilis",0.5,"Plantae",NA
2006,1,"n1b","A",1,5,12,"koeleria","pyramidata",9.25,"Plantae",NA
2006,1,"n1b","A",1,5,14,"dichanthelium","oligosanthes",3.5,"Plantae",NA
2006,1,"n1b","A",1,5,21,"sporobolus","asper",4.25,"Plantae","Lamiaceae"
2006,1,"n1b","A",1,5,22,"sporobolus","cryptandrus",31,"Plantae","Poaceae"
2006,1,"n1b","A",1,5,24,"aristida","oligantha",0.25,"Plantae",NA
2006,1,"n1b","A",1,5,25,"bromus","japonicus",1.75,"Plantae",NA
2006,1,"n1b","A",1,5,27,"festuca","octoflora",1,"Plantae","Poaceae"
2006,1,"n1b","A",1,5,28,"hordeum","pusillum",45,"Plantae",NA
2006,1,"n1b","A",1,5,30,"schedonnardus","paniculatus",22.75,"Plantae",NA
2006,1,"n1b","A",1,5,31,"carex","brevior",1.5,"Plantae",NA
2006,1,"n1b","A",1,5,33,"carex","heliophila",1.25,"Plantae",NA
2006,1,"n1b","A",1,5,34,"carex","meadii",0.25,"Plantae",NA
2006,1,"n1b","A",1,5,36,"cyperus","lupulinus",1.25,"Plantae",NA
2006,1,"n1b","A",1,5,52,"artemisia","ludoviciana",0.25,"Plantae","Orobanchaceae"
2006,1,"n1b","A",1,5,56,"asclepias","viridis",6.75,"Plantae","Poaceae"
2006,1,"n1b","A",1,5,58,"aster","ericoides",3.5,"Plantae","Asteraceae"
2006,1,"n1b","A",1,5,61,"astragalus","crassicarpus",1.75,"Plantae",NA
2006,1,"n1b","A",1,5,77,"erigeron","strigosus",0.5,"Plantae",NA
2006,1,"n1b","A",1,5,82,"hedeoma","hispidum",0.5,"Plantae","Hydrophyllaceae"
2006,1,"n1b","A",1,5,89,"lepidium","densiflorum",0.5,"Plantae","Brassicaceae"
2006,1,"n1b","A",1,5,92,"linum","sulcatum",0.5,"Plantae",NA
2006,1,"n1b","A",1,5,114,"plantago","rhodosperma",0.5,"Plantae",NA
2006,1,"n1b","A",1,5,118,"ratibida","columnifera",1,"Plantae","Asteraceae"
2006,1,"n1b","A",1,5,120,"ruellia","humilis",0.25,"Plantae","Loasaceae"
2006,1,"n1b","A",1,5,128,"solidago","missouriensis",0.75,"Plantae","Fabaceae"
2006,1,"n1b","A",1,5,132,"spermolepis","inermis",0.5,"Plantae",NA
2006,1,"n1b","A",1,5,146,"juncus","interior",0.25,"Plantae",NA
2006,1,"n1b","A",1,5,183,"grindelia","squarrosa",0.75,"Plantae","Poaceae"
2006,1,"n1b","A",1,5,216,"euphorbia","serpens",0.25,"Plantae",NA
2006,1,"n1b","A",1,5,300,"euphorbia","nutans",0.25,"Plantae",NA
2006,1,"n1b","A",1,5,338,"plantago","patagonica",25,"Plantae","Plantaginaceae"
2006,1,"n1b","A",1,6,2,"andropogon","gerardii",80,"Plantae",NA
2006,1,"n1b","A",1,6,3,"andropogon","scoparius",1.25,"Plantae","Fabaceae"
2006,1,"n1b","A",1,6,4,"bouteloua","curtipendula",10.75,"Plantae","Poaceae"
2006,1,"n1b","A",1,6,12,"koeleria","pyramidata",2.75,"Plantae",NA
2006,1,"n1b","A",1,6,14,"dichanthelium","oligosanthes",10.5,"Plantae",NA
2006,1,"n1b","A",1,6,18,"sorghastrum","nutans",25.25,"Plantae",NA
2006,1,"n1b","A",1,6,21,"sporobolus","asper",11.25,"Plantae","Lamiaceae"
2006,1,"n1b","A",1,6,25,"bromus","japonicus",0.5,"Plantae",NA
2006,1,"n1b","A",1,6,27,"festuca","octoflora",0.5,"Plantae","Poaceae"
2006,1,"n1b","A",1,6,28,"hordeum","pusillum",1,"Plantae",NA
2006,1,"n1b","A",1,6,30,"schedonnardus","paniculatus",1.25,"Plantae",NA
2006,1,"n1b","A",1,6,31,"carex","brevior",3,"Plantae",NA
2006,1,"n1b","A",1,6,33,"carex","heliophila",15.25,"Plantae",NA
2006,1,"n1b","A",1,6,34,"carex","meadii",0.5,"Plantae",NA
2006,1,"n1b","A",1,6,36,"cyperus","lupulinus",0.25,"Plantae",NA
2006,1,"n1b","A",1,6,46,"ambrosia","psilostachya",0.5,"Plantae",NA
2006,1,"n1b","A",1,6,47,"androsace","occidentalis",0.25,"Plantae","Chenopodiaceae"
2006,1,"n1b","A",1,6,52,"artemisia","ludoviciana",1,"Plantae","Orobanchaceae"
2006,1,"n1b","A",1,6,54,"asclepias","stenophylla",0.5,"Plantae",NA
2006,1,"n1b","A",1,6,58,"aster","ericoides",10,"Plantae","Asteraceae"
2006,1,"n1b","A",1,6,71,"conyza","canadensis",0.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,6,77,"erigeron","strigosus",14,"Plantae",NA
2006,1,"n1b","A",1,6,79,"euphorbia","spathulata",1,"Plantae",NA
2006,1,"n1b","A",1,6,82,"hedeoma","hispidum",1.75,"Plantae","Hydrophyllaceae"
2006,1,"n1b","A",1,6,85,"hymenopappus","scabiosaeus",1.25,"Plantae",NA
2006,1,"n1b","A",1,6,89,"lepidium","densiflorum",0.25,"Plantae","Brassicaceae"
2006,1,"n1b","A",1,6,90,"lespedeza","capitata",9.5,"Plantae",NA
2006,1,"n1b","A",1,6,92,"linum","sulcatum",9.25,"Plantae",NA
2006,1,"n1b","A",1,6,99,"oenothera","speciosa",0.5,"Plantae","Asclepiadaceae"
2006,1,"n1b","A",1,6,102,"oxalis","stricta",0.75,"Plantae",NA
2006,1,"n1b","A",1,6,103,"oxalis","violacea",0.5,"Plantae","Oxalidaceae"
2006,1,"n1b","A",1,6,106,"dalea","candida",1.75,"Plantae","Fabaceae"
2006,1,"n1b","A",1,6,109,"dalea","purpurea",1.5,"Plantae","Poaceae"
2006,1,"n1b","A",1,6,111,"physalis","pumila",0.5,"Plantae","Polemoniaceae"
2006,1,"n1b","A",1,6,114,"plantago","rhodosperma",6.25,"Plantae",NA
2006,1,"n1b","A",1,6,117,"psoralea","tenuiflora",0.5,"Plantae",NA
2006,1,"n1b","A",1,6,118,"ratibida","columnifera",1,"Plantae","Asteraceae"
2006,1,"n1b","A",1,6,124,"silene","antirrhina",1.5,"Plantae","Caryophyllaceae"
2006,1,"n1b","A",1,6,128,"solidago","missouriensis",0.75,"Plantae","Fabaceae"
2006,1,"n1b","A",1,6,132,"spermolepis","inermis",17,"Plantae",NA
2006,1,"n1b","A",1,6,137,"triodanis","perfoliata",0.25,"Plantae",NA
2006,1,"n1b","A",1,6,140,"vernonia","baldwinii",5.25,"Plantae",NA
2006,1,"n1b","A",1,6,216,"euphorbia","serpens",1.25,"Plantae",NA
2006,1,"n1b","A",1,6,562,"Grass hair on margins","",0.25,"Plantae",NA
2006,1,"n1b","A",1,7,2,"andropogon","gerardii",35.5,"Plantae",NA
2006,1,"n1b","A",1,7,3,"andropogon","scoparius",6.75,"Plantae","Fabaceae"
2006,1,"n1b","A",1,7,4,"bouteloua","curtipendula",26,"Plantae","Poaceae"
2006,1,"n1b","A",1,7,5,"bouteloua","gracilis",0.5,"Plantae","Poaceae"
2006,1,"n1b","A",1,7,9,"elymus","canadensis",0.75,"Plantae","Asteraceae"
2006,1,"n1b","A",1,7,11,"eragrostis","spectabilis",9.25,"Plantae",NA
2006,1,"n1b","A",1,7,12,"koeleria","pyramidata",4.25,"Plantae",NA
2006,1,"n1b","A",1,7,14,"dichanthelium","oligosanthes",5.5,"Plantae",NA
2006,1,"n1b","A",1,7,17,"poa","pratensis",0.75,"Plantae",NA
2006,1,"n1b","A",1,7,18,"sorghastrum","nutans",52.5,"Plantae",NA
2006,1,"n1b","A",1,7,21,"sporobolus","asper",5.5,"Plantae","Lamiaceae"
2006,1,"n1b","A",1,7,25,"bromus","japonicus",18.25,"Plantae",NA
2006,1,"n1b","A",1,7,27,"festuca","octoflora",1,"Plantae","Poaceae"
2006,1,"n1b","A",1,7,28,"hordeum","pusillum",1,"Plantae",NA
2006,1,"n1b","A",1,7,31,"carex","brevior",1.5,"Plantae",NA
2006,1,"n1b","A",1,7,33,"carex","heliophila",12.5,"Plantae",NA
2006,1,"n1b","A",1,7,36,"cyperus","lupulinus",0.75,"Plantae",NA
2006,1,"n1b","A",1,7,46,"ambrosia","psilostachya",4.75,"Plantae",NA
2006,1,"n1b","A",1,7,47,"androsace","occidentalis",1.75,"Plantae","Chenopodiaceae"
2006,1,"n1b","A",1,7,52,"artemisia","ludoviciana",4,"Plantae","Orobanchaceae"
2006,1,"n1b","A",1,7,58,"aster","ericoides",7.25,"Plantae","Asteraceae"
2006,1,"n1b","A",1,7,69,"callirhoe","involucrata",1.25,"Plantae",NA
2006,1,"n1b","A",1,7,71,"conyza","canadensis",0.5,"Plantae","Asteraceae"
2006,1,"n1b","A",1,7,77,"erigeron","strigosus",2.75,"Plantae",NA
2006,1,"n1b","A",1,7,79,"euphorbia","spathulata",0.25,"Plantae",NA
2006,1,"n1b","A",1,7,82,"hedeoma","hispidum",2,"Plantae","Hydrophyllaceae"
2006,1,"n1b","A",1,7,92,"linum","sulcatum",1.75,"Plantae",NA
2006,1,"n1b","A",1,7,93,"lithospermum","incisum",0.25,"Plantae","Boraginaceae"
2006,1,"n1b","A",1,7,102,"oxalis","stricta",1,"Plantae",NA
2006,1,"n1b","A",1,7,111,"physalis","pumila",0.25,"Plantae","Polemoniaceae"
2006,1,"n1b","A",1,7,114,"plantago","rhodosperma",10.5,"Plantae",NA
2006,1,"n1b","A",1,7,118,"ratibida","columnifera",2.5,"Plantae","Asteraceae"
2006,1,"n1b","A",1,7,120,"ruellia","humilis",0.5,"Plantae","Loasaceae"
2006,1,"n1b","A",1,7,124,"silene","antirrhina",1,"Plantae","Caryophyllaceae"
2006,1,"n1b","A",1,7,125,"sisyrinchium","campestre",0.25,"Plantae",NA
2006,1,"n1b","A",1,7,132,"spermolepis","inermis",1.5,"Plantae",NA
2006,1,"n1b","A",1,7,136,"triodanis","leptocarpa",0.25,"Plantae",NA
2006,1,"n1b","A",1,7,137,"triodanis","perfoliata",1.25,"Plantae",NA
2006,1,"n1b","A",1,7,139,"verbena","stricta",0.5,"Plantae",NA
2006,1,"n1b","A",1,7,141,"viola","rafinesquii",0.75,"Plantae",NA
2006,1,"n1b","A",1,7,216,"euphorbia","serpens",1.5,"Plantae",NA
2006,1,"n1b","A",1,7,255,"monarda","fistulosa",0.25,"Plantae",NA
2006,1,"n1b","A",1,7,338,"plantago","patagonica",0.5,"Plantae","Plantaginaceae"
2006,1,"n1b","A",2,1,2,"andropogon","gerardii",52.5,"Plantae",NA
2006,1,"n1b","A",2,1,3,"andropogon","scoparius",1,"Plantae","Fabaceae"
2006,1,"n1b","A",2,1,9,"elymus","canadensis",0.25,"Plantae","Asteraceae"
2006,1,"n1b","A",2,1,14,"dichanthelium","oligosanthes",10,"Plantae",NA
2006,1,"n1b","A",2,1,15,"panicum","virgatum",1.5,"Plantae",NA
2006,1,"n1b","A",2,1,16,"dichanthelium","acuminatum",0.25,"Plantae",NA
2006,1,"n1b","A",2,1,18,"sorghastrum","nutans",15,"Plantae",NA
2006,1,"n1b","A",2,1,21,"sporobolus","asper",11.75,"Plantae","Lamiaceae"
2006,1,"n1b","A",2,1,25,"bromus","japonicus",0.75,"Plantae",NA
2006,1,"n1b","A",2,1,27,"festuca","octoflora",0.25,"Plantae","Poaceae"
2006,1,"n1b","A",2,1,28,"hordeum","pusillum",0.75,"Plantae",NA
2006,1,"n1b","A",2,1,31,"carex","brevior",1.75,"Plantae",NA
2006,1,"n1b","A",2,1,33,"carex","heliophila",0.5,"Plantae",NA
2006,1,"n1b","A",2,1,34,"carex","meadii",5.75,"Plantae",NA
2006,1,"n1b","A",2,1,38,"eleocharis","compressa",0.75,"Plantae",NA
2006,1,"n1b","A",2,1,46,"ambrosia","psilostachya",25.5,"Plantae",NA
2006,1,"n1b","A",2,1,52,"artemisia","ludoviciana",10.75,"Plantae","Orobanchaceae"
2006,1,"n1b","A",2,1,55,"asclepias","verticillata",0.5,"Plantae","Apiaceae"
2006,1,"n1b","A",2,1,58,"aster","ericoides",27.25,"Plantae","Asteraceae"
2006,1,"n1b","A",2,1,69,"callirhoe","involucrata",5,"Plantae",NA
2006,1,"n1b","A",2,1,75,"draba","reptans",0.25,"Plantae",NA
