"DATE","YEAR","SEASON","PLOT","QUAD","SPECIES_CODE","COVER","HEIGHT","COMMENTS","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species","treatment","plot_name"
"4/24/2005",2005,"S","MC",14,"BOGR2","8",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",14,"CRCR3","2",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",14,"PLPA2","2",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",14,"SATR12","2",-99999,NA,"Plantae","Chenopodiaceae","Salsola","tragus","C","M"
"4/24/2005",2005,"S","MC",14,"SEFLF","1",-99999,NA,"Plantae","Asteraceae","Senecio","flaccidus","C","M"
"4/24/2005",2005,"S","MC",15,"ARPUP6","1",-99999,"ADDED_COVER FROM DATASHEET",NA,NA,NA,NA,"C","M"
"4/24/2005",2005,"S","MC",15,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",15,"PLPA2","6",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",16,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",16,"CHAL11","1",-99999,NA,"Plantae","Euphorbiaceae","Chamaesyce","albomarginata","C","M"
"4/24/2005",2005,"S","MC",16,"PLPA2","1",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",17,"ALIN","2",-99999,NA,"Plantae","Nyctaginaceae","Allionia","incarnata","C","M"
"4/24/2005",2005,"S","MC",17,"ARPUP6","1",-99999,NA,NA,NA,NA,NA,"C","M"
"4/24/2005",2005,"S","MC",17,"BOGR2","4",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",17,"CHAL11","2",-99999,NA,"Plantae","Euphorbiaceae","Chamaesyce","albomarginata","C","M"
"4/24/2005",2005,"S","MC",17,"GLBI2","2",-99999,NA,"Plantae","Verbenaceae","Glandularia","bipinnatifida","C","M"
"4/24/2005",2005,"S","MC",17,"PLPA2","10",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",18,"BOGR2","20",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",18,"PLPA2","7",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",19,"BOGR2","3",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",19,"CRCR3","1",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",19,"ECIN2","2",-99999,NA,"Plantae","Cactaceae","Ecinomastus","intertextus","C","M"
"4/24/2005",2005,"S","MC",19,"PLPA2","20",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",19,"SATR12","2",-99999,NA,"Plantae","Chenopodiaceae","Salsola","tragus","C","M"
"4/24/2005",2005,"S","MC",19,"SEFLF","6",-99999,NA,"Plantae","Asteraceae","Senecio","flaccidus","C","M"
"4/24/2005",2005,"S","MC",20,"BOER4","2",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",20,"BOGR2","1",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",20,"CHER2","3",-99999,NA,"Plantae","Asteraceae","Chaetopappa","ericoides","C","M"
"4/24/2005",2005,"S","MC",20,"CRCR3","3",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",20,"DEPI","1",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","C","M"
"4/24/2005",2005,"S","MC",20,"PLPA2","2",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",21,"SPHA","1",-99999,"O. SPWR","Plantae","Malvaceae","Sphaeralcea","hastulata","C","M"
"4/24/2005",2005,"S","MC",21,"BOER4","8",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",21,"BOGR2","20",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",21,"CRCR3","6",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",21,"DEPI","3",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","C","M"
"4/24/2005",2005,"S","MC",21,"GLBI2","1",-99999,NA,"Plantae","Verbenaceae","Glandularia","bipinnatifida","C","M"
"4/24/2005",2005,"S","MC",21,"PLPA2","8",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",21,"SPCR","2",-99999,NA,"Plantae","Poaceae","Sporobolus","cryptandrus","C","M"
"4/24/2005",2005,"S","MC",22,"BOGR2","8",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",22,"CHAL11","8",-99999,NA,"Plantae","Euphorbiaceae","Chamaesyce","albomarginata","C","M"
"4/24/2005",2005,"S","MC",22,"CRCR3","2",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",22,"GLBI2","1",-99999,NA,"Plantae","Verbenaceae","Glandularia","bipinnatifida","C","M"
"4/24/2005",2005,"S","MC",22,"PLPA2","20",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",23,"ASMIM","20",-99999,NA,"Plantae","Fabaceae","Astragalus","missouriensis","C","M"
"4/24/2005",2005,"S","MC",23,"BOER4","8",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",23,"BOGR2","20",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",23,"PLPA2","1",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",23,"SATR12","3",-99999,NA,"Plantae","Chenopodiaceae","Salsola","tragus","C","M"
"4/24/2005",2005,"S","MC",24,"BOER4","8",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",24,"BOGR2","8",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",24,"HYFIC","8",-99999,NA,"Plantae","Asteraceae","Hymenopappus","filifolius","C","M"
"4/24/2005",2005,"S","MC",24,"PLPA2","7",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",25,"BOER4","7",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",25,"BOGR2","35",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",25,"CRCR3","1",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",25,"GLBI2","2",-99999,NA,"Plantae","Verbenaceae","Glandularia","bipinnatifida","C","M"
"4/24/2005",2005,"S","MC",25,"PLPA2","1",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",26,"BOER4","15",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",26,"CRCR3","7",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",26,"GACO5","1",-99999,NA,"Plantae","Onagraceae","Gaura","coccinea","C","M"
"4/24/2005",2005,"S","MC",26,"PLPA2","10",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",27,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",27,"GLBI2","7",-99999,NA,"Plantae","Verbenaceae","Glandularia","bipinnatifida","C","M"
"4/24/2005",2005,"S","MC",27,"PLPA2","15",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",27,"SEFLF","8",-99999,NA,"Plantae","Asteraceae","Senecio","flaccidus","C","M"
"4/24/2005",2005,"S","MC",28,"CRCR3","1",-99999,"ADDED_COVER FROM DATASHEET","Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",28,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",28,"ECIN2","1",-99999,NA,"Plantae","Cactaceae","Ecinomastus","intertextus","C","M"
"4/24/2005",2005,"S","MC",28,"PLPA2","10",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",28,"SATR12","8",-99999,NA,"Plantae","Chenopodiaceae","Salsola","tragus","C","M"
"4/24/2005",2005,"S","MC",29,"BOGR2","7",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",29,"CRCR3","1",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",29,"PLPA2","20",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",29,"SATR12","2",-99999,NA,"Plantae","Chenopodiaceae","Salsola","tragus","C","M"
"4/24/2005",2005,"S","MC",30,"BOGR2","40",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",30,"PLPA2","1",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",31,"BOGR2","20",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",31,"CHAL11","7",-99999,NA,"Plantae","Euphorbiaceae","Chamaesyce","albomarginata","C","M"
"4/24/2005",2005,"S","MC",32,"SEFLF","1",-99999,"ADDED_COVER FROM DATASHEET","Plantae","Asteraceae","Senecio","flaccidus","C","M"
"4/24/2005",2005,"S","MC",32,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",32,"DEPI","3",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","C","M"
"4/24/2005",2005,"S","MC",32,"EPTO","1",-99999,NA,"Plantae","Ephedraceae","Ephedra","torreyana","C","M"
"4/24/2005",2005,"S","MC",32,"PLPA2","8",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",33,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",33,"CRCR3","3",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",33,"PLPA2","7",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",34,"AMCH3","1",-99999,"ADDED_COVER FROM DATASHEET","Plantae","Nyctaginaceae","Ammocodon","chenopodioides","C","M"
"4/24/2005",2005,"S","MC",34,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",34,"CRCR3","5",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",34,"PLJA","3",-99999,NA,"Plantae","Poaceae","Pleuraphis","jamesii","C","M"
"4/24/2005",2005,"S","MC",34,"PLPA2","20",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",34,"SEFLF","6",-99999,NA,"Plantae","Asteraceae","Senecio","flaccidus","C","M"
"4/24/2005",2005,"S","MC",35,"BOER4","4",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","C","M"
"4/24/2005",2005,"S","MC",35,"BOGR2","4",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",35,"CRCR3","2",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",35,"DEPI","1",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","C","M"
"4/24/2005",2005,"S","MC",35,"HYFIC","10",-99999,NA,"Plantae","Asteraceae","Hymenopappus","filifolius","C","M"
"4/24/2005",2005,"S","MC",35,"PLPA2","8",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MC",35,"SPCR","2",-99999,NA,"Plantae","Poaceae","Sporobolus","cryptandrus","C","M"
"4/24/2005",2005,"S","MC",36,"BOGR2","35",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","C","M"
"4/24/2005",2005,"S","MC",36,"CRCR3","2",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","C","M"
"4/24/2005",2005,"S","MC",36,"DEPI","2",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","C","M"
"4/24/2005",2005,"S","MC",36,"GACO5","2",-99999,NA,"Plantae","Onagraceae","Gaura","coccinea","C","M"
"4/24/2005",2005,"S","MC",36,"MAPIP","1",-99999,NA,"Plantae","Asteraceae","Machaeranthera","pinnatifida","C","M"
"4/24/2005",2005,"S","MC",36,"PLPA2","2",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","C","M"
"4/24/2005",2005,"S","MT",1,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",1,"CHCO","6",-99999,NA,"Plantae","Solanaceae","Chamaesaracha","coniodes","T","M"
"4/24/2005",2005,"S","MT",1,"CRCR3","1",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","T","M"
"4/24/2005",2005,"S","MT",1,"PLPA2","10",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",1,"SEBA3","1",-99999,NA,"Plantae","Fabaceae","Senna","bauhinioides","T","M"
"4/24/2005",2005,"S","MT",2,"BOER4","3",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","T","M"
"4/24/2005",2005,"S","MT",2,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",2,"CHAL11","2",-99999,NA,"Plantae","Euphorbiaceae","Chamaesyce","albomarginata","T","M"
"4/24/2005",2005,"S","MT",2,"CRCR3","2",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","T","M"
"4/24/2005",2005,"S","MT",2,"PLPA2","7",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",3,"BOER4","1",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","T","M"
"4/24/2005",2005,"S","MT",3,"BOGR2","20",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",3,"CHAL11","3",-99999,NA,"Plantae","Euphorbiaceae","Chamaesyce","albomarginata","T","M"
"4/24/2005",2005,"S","MT",3,"EUEX4","1",-99999,NA,"Plantae","Euphorbiaceae","Euphorbia","exstipulata","T","M"
"4/24/2005",2005,"S","MT",3,"GACO5","1",-99999,NA,"Plantae","Onagraceae","Gaura","coccinea","T","M"
"4/24/2005",2005,"S","MT",3,"LEDED","2",-99999,NA,NA,NA,NA,NA,"T","M"
"4/24/2005",2005,"S","MT",3,"PLPA2","1",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",4,"BOER4","5",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","T","M"
"4/24/2005",2005,"S","MT",4,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",4,"PLPA2","2",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",5,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",5,"PLPA2","3",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",6,"BOER4","8",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","T","M"
"4/24/2005",2005,"S","MT",6,"BOGR2","15",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",6,"CHCO","1",-99999,NA,"Plantae","Solanaceae","Chamaesaracha","coniodes","T","M"
"4/24/2005",2005,"S","MT",6,"GLBI2","2",-99999,NA,"Plantae","Verbenaceae","Glandularia","bipinnatifida","T","M"
"4/24/2005",2005,"S","MT",6,"LEDED","3",-99999,NA,NA,NA,NA,NA,"T","M"
"4/24/2005",2005,"S","MT",6,"PLPA2","4",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",7,"BOER4","3",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","T","M"
"4/24/2005",2005,"S","MT",7,"BOGR2","20",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",7,"HYFIC","2",-99999,NA,"Plantae","Asteraceae","Hymenopappus","filifolius","T","M"
"4/24/2005",2005,"S","MT",7,"LEDED","1",-99999,NA,NA,NA,NA,NA,"T","M"
"4/24/2005",2005,"S","MT",7,"PLPA2","8",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",8,"EPTO","1",-99999,"ADDED_COVER FROM DATASHEET","Plantae","Ephedraceae","Ephedra","torreyana","T","M"
"4/24/2005",2005,"S","MT",8,"BOGR2","20",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",8,"ECIN2","1",-99999,NA,"Plantae","Cactaceae","Ecinomastus","intertextus","T","M"
"4/24/2005",2005,"S","MT",8,"PLPA2","7",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",9,"BOER4","4",-99999,NA,"Plantae","Poaceae","Bouteloua","eriopoda","T","M"
"4/24/2005",2005,"S","MT",9,"BOGR2","10",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",9,"CRCR3","2",-99999,NA,"Plantae","Boraginaceae","Cryptantha","crassisepala","T","M"
"4/24/2005",2005,"S","MT",9,"DEPI","2",-99999,NA,"Plantae","Brassicaceae","Descurainia","pinnata","T","M"
"4/24/2005",2005,"S","MT",9,"PLPA2","10",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",9,"SATR12","3",-99999,NA,"Plantae","Chenopodiaceae","Salsola","tragus","T","M"
"4/24/2005",2005,"S","MT",10,"BOGR2","20",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",10,"IPPU4","1",-99999,NA,"Plantae","Polemoniaceae","Ipomopsis","pumila","T","M"
"4/24/2005",2005,"S","MT",10,"PLPA2","10",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",11,"BOGR2","4",-99999,NA,"Plantae","Poaceae","Bouteloua","gracilis","T","M"
"4/24/2005",2005,"S","MT",11,"ECIN2","2",-99999,NA,"Plantae","Cactaceae","Ecinomastus","intertextus","T","M"
"4/24/2005",2005,"S","MT",11,"PLPA2","20",-99999,NA,"Plantae","Plantaginaceae","Plantago","patagonica","T","M"
"4/24/2005",2005,"S","MT",11,"SPCR","2",-99999,NA,"Plantae","Poaceae","Sporobolus","cryptandrus","T","M"
