"date","location","line","row","species_code","value","comments","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species","updated_cover","date_updated"
19950724,"dw",15,"0","LITT","55","na",NA,NA,NA,NA,55,1995-07-24
19950724,"dw",18,"0","GUSA2","2","na","Plantae","Asteraceae","Gutierrezia","sarothrae",2,1995-07-24
19950724,"dw",18,"0","CADR6","5","na",NA,NA,NA,NA,5,1995-07-24
19950724,"dw",18,"0","MAPIP","1","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",1,1995-07-24
19950724,"dw",18,"0","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",18,"0","GAPI","1","na","Plantae","Asteraceae","Gaillardia","pinnatifida",1,1995-07-24
19950724,"dw",18,"0","BOER4","8","na","Plantae","Poaceae","Bouteloua","eriopoda",8,1995-07-24
19950724,"dw",18,"0","NAHI","+","na","Plantae","Hydrophyllaceae","Nama","hispidum",0.5,1995-07-24
19950724,"dw",18,"0","LITT","25","na",NA,NA,NA,NA,25,1995-07-24
19950724,"dw",21,"0","MAPIP","2","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",2,1995-07-24
19950724,"dw",21,"0","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",21,"0","BOER4","10","na","Plantae","Poaceae","Bouteloua","eriopoda",10,1995-07-24
19950724,"dw",21,"0","ARPUP6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",21,"0","CADR6","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",21,"0","HIJA","4","na",NA,NA,NA,NA,4,1995-07-24
19950724,"dw",21,"0","NAHI","+","na","Plantae","Hydrophyllaceae","Nama","hispidum",0.5,1995-07-24
19950724,"dw",21,"0","Sporo","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",21,"0","LITT","20","na",NA,NA,NA,NA,20,1995-07-24
19950724,"dw",24,"0","BOER4","2","na","Plantae","Poaceae","Bouteloua","eriopoda",2,1995-07-24
19950724,"dw",24,"0","ARPUP6","3","na",NA,NA,NA,NA,3,1995-07-24
19950724,"dw",24,"0","CADR6","4","na",NA,NA,NA,NA,4,1995-07-24
19950724,"dw",24,"0","DANAN","1","na","Plantae","Fabaceae","Dalea","nana",1,1995-07-24
19950724,"dw",24,"0","HYFIC","1","na","Plantae","Asteraceae","Hymenopappus","filifolius",1,1995-07-24
19950724,"dw",24,"0","GUSA2","2","na","Plantae","Asteraceae","Gutierrezia","sarothrae",2,1995-07-24
19950724,"dw",24,"0","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",24,"0","GAPI","1","na","Plantae","Asteraceae","Gaillardia","pinnatifida",1,1995-07-24
19950724,"dw",24,"0","HIJA","3","na",NA,NA,NA,NA,3,1995-07-24
19950724,"dw",24,"0","SPFL2","+","na","Plantae","Poaceae","Sporobolus","flexuosus",0.5,1995-07-24
19950724,"dw",24,"0","MAPIP","2","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",2,1995-07-24
19950724,"dw",24,"0","LITT","16","na",NA,NA,NA,NA,16,1995-07-24
19950724,"dw",27,"0","CAJA6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",27,"0","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",27,"0","MAPIP","3","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",3,1995-07-24
19950724,"dw",27,"0","BOER4","20","na","Plantae","Poaceae","Bouteloua","eriopoda",20,1995-07-24
19950724,"dw",27,"0","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",27,"0","THME","+","na","Plantae","Asteraceae","Thelesperma","megapotamicum",0.5,1995-07-24
19950724,"dw",27,"0","GUSA2","+","na","Plantae","Asteraceae","Gutierrezia","sarothrae",0.5,1995-07-24
19950724,"dw",27,"0","LITT","60","na",NA,NA,NA,NA,60,1995-07-24
19950724,"dw",0,"3","GUSA2","9","na","Plantae","Asteraceae","Gutierrezia","sarothrae",9,1995-07-24
19950724,"dw",0,"3","MAPIP","3","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",3,1995-07-24
19950724,"dw",0,"3","CADR6","3","na",NA,NA,NA,NA,3,1995-07-24
19950724,"dw",0,"3","HYFIC","1","na","Plantae","Asteraceae","Hymenopappus","filifolius",1,1995-07-24
19950724,"dw",0,"3","BOER4","13","na","Plantae","Poaceae","Bouteloua","eriopoda",13,1995-07-24
19950724,"dw",0,"3","NAHI","+","na","Plantae","Hydrophyllaceae","Nama","hispidum",0.5,1995-07-24
19950724,"dw",0,"3","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",0,"3","SPFL2","+","na","Plantae","Poaceae","Sporobolus","flexuosus",0.5,1995-07-24
19950724,"dw",0,"3","DAJA","+","na","Plantae","Fabaceae","Dalea","jamesii",0.5,1995-07-24
19950724,"dw",0,"3","LITT","28","na",NA,NA,NA,NA,28,1995-07-24
19950724,"dw",3,"3","EPTO","+","na","Plantae","Ephedraceae","Ephedra","torreyana",0.5,1995-07-24
19950724,"dw",3,"3","BOER4","10","na","Plantae","Poaceae","Bouteloua","eriopoda",10,1995-07-24
19950724,"dw",3,"3","GUSA2","1","na","Plantae","Asteraceae","Gutierrezia","sarothrae",1,1995-07-24
19950724,"dw",3,"3","MAPIP","3","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",3,1995-07-24
19950724,"dw",3,"3","HYFIC","1","na","Plantae","Asteraceae","Hymenopappus","filifolius",1,1995-07-24
19950724,"dw",3,"3","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",3,"3","SAKA","+","na","Plantae","Chenopodiaceae","Salsola","kali",0.5,1995-07-24
19950724,"dw",3,"3","LIAUA","+","na","Plantae","Linaceae","Linum","australe",0.5,1995-07-24
19950724,"dw",3,"3","HIJA","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",3,"3","LITT","20","na",NA,NA,NA,NA,20,1995-07-24
19950724,"dw",6,"3","GUSA2","15","na","Plantae","Asteraceae","Gutierrezia","sarothrae",15,1995-07-24
19950724,"dw",6,"3","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",6,"3","Eupho","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",6,"3","SPCR","+","na","Plantae","Poaceae","Sporobolus","cryptandrus",0.5,1995-07-24
19950724,"dw",6,"3","DANAN","+","na","Plantae","Fabaceae","Dalea","nana",0.5,1995-07-24
19950724,"dw",6,"3","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",6,"3","BOER4","+","na","Plantae","Poaceae","Bouteloua","eriopoda",0.5,1995-07-24
19950724,"dw",6,"3","SPFL2","+","na","Plantae","Poaceae","Sporobolus","flexuosus",0.5,1995-07-24
19950724,"dw",6,"3","LITT","5","na",NA,NA,NA,NA,5,1995-07-24
19950724,"dw",9,"3","BOER4","10","na","Plantae","Poaceae","Bouteloua","eriopoda",10,1995-07-24
19950724,"dw",9,"3","GUSA2","4","na","Plantae","Asteraceae","Gutierrezia","sarothrae",4,1995-07-24
19950724,"dw",9,"3","CADR6","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",9,"3","YUGL","15","na","Plantae","Agavaceae","Yucca","glauca",15,1995-07-24
19950724,"dw",9,"3","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",9,"3","MAPIP","+","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",0.5,1995-07-24
19950724,"dw",9,"3","SPCO4","3","na","Plantae","Poaceae","Sporobolus","contractus",3,1995-07-24
19950724,"dw",9,"3","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",9,"3","LITT","50","na",NA,NA,NA,NA,50,1995-07-24
19950724,"dw",12,"3","BOER4","5","na","Plantae","Poaceae","Bouteloua","eriopoda",5,1995-07-24
19950724,"dw",12,"3","DAJA","1","na","Plantae","Fabaceae","Dalea","jamesii",1,1995-07-24
19950724,"dw",12,"3","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",12,"3","ERPU8","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",12,"3","GUSA2","+","na","Plantae","Asteraceae","Gutierrezia","sarothrae",0.5,1995-07-24
19950724,"dw",12,"3","GAPI","+","na","Plantae","Asteraceae","Gaillardia","pinnatifida",0.5,1995-07-24
19950724,"dw",12,"3","SPCR","3","na","Plantae","Poaceae","Sporobolus","cryptandrus",3,1995-07-24
19950724,"dw",12,"3","LITT","10","na",NA,NA,NA,NA,10,1995-07-24
19950724,"dw",15,"3","GUSA2","6","na","Plantae","Asteraceae","Gutierrezia","sarothrae",6,1995-07-24
19950724,"dw",15,"3","BOER4","4","na","Plantae","Poaceae","Bouteloua","eriopoda",4,1995-07-24
19950724,"dw",15,"3","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",15,"3","MAPIP","1","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",1,1995-07-24
19950724,"dw",15,"3","LITT","20","na",NA,NA,NA,NA,20,1995-07-24
19950724,"dw",18,"3","HYFIC","2","na","Plantae","Asteraceae","Hymenopappus","filifolius",2,1995-07-24
19950724,"dw",18,"3","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",18,"3","BOER4","10","na","Plantae","Poaceae","Bouteloua","eriopoda",10,1995-07-24
19950724,"dw",18,"3","GAPI","2","na","Plantae","Asteraceae","Gaillardia","pinnatifida",2,1995-07-24
19950724,"dw",18,"3","CADR6","3","na",NA,NA,NA,NA,3,1995-07-24
19950724,"dw",18,"3","SPFL2","+","na","Plantae","Poaceae","Sporobolus","flexuosus",0.5,1995-07-24
19950724,"dw",18,"3","LITT","35","na",NA,NA,NA,NA,35,1995-07-24
19950724,"dw",21,"3","MAPIP","1","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",1,1995-07-24
19950724,"dw",21,"3","BOER4","10","na","Plantae","Poaceae","Bouteloua","eriopoda",10,1995-07-24
19950724,"dw",21,"3","CADR6","2","na",NA,NA,NA,NA,2,1995-07-24
19950724,"dw",21,"3","GUSA2","+","na","Plantae","Asteraceae","Gutierrezia","sarothrae",0.5,1995-07-24
19950724,"dw",21,"3","ARPUP6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",21,"3","HYFIC","1","na","Plantae","Asteraceae","Hymenopappus","filifolius",1,1995-07-24
19950724,"dw",21,"3","LITT","30","na",NA,NA,NA,NA,30,1995-07-24
19950724,"dw",24,"3","GUSA2","3","na","Plantae","Asteraceae","Gutierrezia","sarothrae",3,1995-07-24
19950724,"dw",24,"3","CADR6","2","na",NA,NA,NA,NA,2,1995-07-24
19950724,"dw",24,"3","BOER4","7","na","Plantae","Poaceae","Bouteloua","eriopoda",7,1995-07-24
19950724,"dw",24,"3","ARPUP6","4","na",NA,NA,NA,NA,4,1995-07-24
19950724,"dw",24,"3","GAPI","+","na","Plantae","Asteraceae","Gaillardia","pinnatifida",0.5,1995-07-24
19950724,"dw",24,"3","NAHI","+","na","Plantae","Hydrophyllaceae","Nama","hispidum",0.5,1995-07-24
19950724,"dw",24,"3","MAPIP","+","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",0.5,1995-07-24
19950724,"dw",24,"3","HYFIC","1","na","Plantae","Asteraceae","Hymenopappus","filifolius",1,1995-07-24
19950724,"dw",24,"3","LITT","25","na",NA,NA,NA,NA,25,1995-07-24
19950724,"dw",27,"3","BOER4","15","na","Plantae","Poaceae","Bouteloua","eriopoda",15,1995-07-24
19950724,"dw",27,"3","ARPUP6","3","na",NA,NA,NA,NA,3,1995-07-24
19950724,"dw",27,"3","CADR6","2","na",NA,NA,NA,NA,2,1995-07-24
19950724,"dw",27,"3","NAHI","+","na","Plantae","Hydrophyllaceae","Nama","hispidum",0.5,1995-07-24
19950724,"dw",27,"3","GUSA2","+","na","Plantae","Asteraceae","Gutierrezia","sarothrae",0.5,1995-07-24
19950724,"dw",27,"3","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",27,"3","MAPIP","+","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",0.5,1995-07-24
19950724,"dw",27,"3","LITT","50","na",NA,NA,NA,NA,50,1995-07-24
19950724,"dw",0,"24","GUSA2","12","na","Plantae","Asteraceae","Gutierrezia","sarothrae",12,1995-07-24
19950724,"dw",0,"24","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",0,"24","BOER4","5","na","Plantae","Poaceae","Bouteloua","eriopoda",5,1995-07-24
19950724,"dw",0,"24","MAPIP","2","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",2,1995-07-24
19950724,"dw",0,"24","LITT","13","na",NA,NA,NA,NA,13,1995-07-24
19950724,"dw",0,"24","SPHA","1","na","Plantae","Malvaceae","Sphaeralcea","hastulata",1,1995-07-24
19950724,"dw",0,"24","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",0,"24","SAKA","1","na","Plantae","Chenopodiaceae","Salsola","kali",1,1995-07-24
19950724,"dw",3,"24","GUSA2","5","na","Plantae","Asteraceae","Gutierrezia","sarothrae",5,1995-07-24
19950724,"dw",3,"24","BOER4","12","na","Plantae","Poaceae","Bouteloua","eriopoda",12,1995-07-24
19950724,"dw",3,"24","MAPIP","1","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",1,1995-07-24
19950724,"dw",3,"24","LITT","30","na",NA,NA,NA,NA,30,1995-07-24
19950724,"dw",3,"24","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",3,"24","Sporo","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",6,"24","BOER4","5","na","Plantae","Poaceae","Bouteloua","eriopoda",5,1995-07-24
19950724,"dw",6,"24","MAPIP","4","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",4,1995-07-24
19950724,"dw",6,"24","LITT","10","na",NA,NA,NA,NA,10,1995-07-24
19950724,"dw",6,"24","CADR6","2","na",NA,NA,NA,NA,2,1995-07-24
19950724,"dw",6,"24","LIAUA","+","na","Plantae","Linaceae","Linum","australe",0.5,1995-07-24
19950724,"dw",9,"24","GUSA2","9","na","Plantae","Asteraceae","Gutierrezia","sarothrae",9,1995-07-24
19950724,"dw",9,"24","PSTAT","+","na","Plantae","Asteraceae","Psilostrophe","tagetina",0.5,1995-07-24
19950724,"dw",9,"24","BOER4","15","na","Plantae","Poaceae","Bouteloua","eriopoda",15,1995-07-24
19950724,"dw",9,"24","LITT","35","na",NA,NA,NA,NA,35,1995-07-24
19950724,"dw",9,"24","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",9,"24","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",12,"24","GUSA2","7","na","Plantae","Asteraceae","Gutierrezia","sarothrae",7,1995-07-24
19950724,"dw",12,"24","BOER4","10","na","Plantae","Poaceae","Bouteloua","eriopoda",10,1995-07-24
19950724,"dw",12,"24","MAPIP","2","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",2,1995-07-24
19950724,"dw",12,"24","LITT","45","na",NA,NA,NA,NA,45,1995-07-24
19950724,"dw",12,"24","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",12,"24","CHER2","1","na","Plantae","Asteraceae","Chaetopappa","ericoides",1,1995-07-24
19950724,"dw",15,"24","GUSA2","+","na","Plantae","Asteraceae","Gutierrezia","sarothrae",0.5,1995-07-24
19950724,"dw",15,"24","PSTAT","1","na","Plantae","Asteraceae","Psilostrophe","tagetina",1,1995-07-24
19950724,"dw",15,"24","BOER4","7","na","Plantae","Poaceae","Bouteloua","eriopoda",7,1995-07-24
19950724,"dw",15,"24","LITT","35","na",NA,NA,NA,NA,35,1995-07-24
19950724,"dw",15,"24","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",15,"24","LIAUA","+","na","Plantae","Linaceae","Linum","australe",0.5,1995-07-24
19950724,"dw",15,"24","HYFIC","1","na","Plantae","Asteraceae","Hymenopappus","filifolius",1,1995-07-24
19950724,"dw",15,"24","DAJA","1","na","Plantae","Fabaceae","Dalea","jamesii",1,1995-07-24
19950724,"dw",18,"24","GUSA2","3","na","Plantae","Asteraceae","Gutierrezia","sarothrae",3,1995-07-24
19950724,"dw",18,"24","BOER4","2","na","Plantae","Poaceae","Bouteloua","eriopoda",2,1995-07-24
19950724,"dw",18,"24","MAPIP","1","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",1,1995-07-24
19950724,"dw",18,"24","LITT","10","na",NA,NA,NA,NA,10,1995-07-24
19950724,"dw",18,"24","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",18,"24","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",18,"24","SPFL2","+","na","Plantae","Poaceae","Sporobolus","flexuosus",0.5,1995-07-24
19950724,"dw",18,"24","SPCO4","+","na","Plantae","Poaceae","Sporobolus","contractus",0.5,1995-07-24
19950724,"dw",21,"24","GUSA2","7","na","Plantae","Asteraceae","Gutierrezia","sarothrae",7,1995-07-24
19950724,"dw",21,"24","BOER4","5","na","Plantae","Poaceae","Bouteloua","eriopoda",5,1995-07-24
19950724,"dw",21,"24","LITT","15","na",NA,NA,NA,NA,15,1995-07-24
19950724,"dw",21,"24","CADR6","3","na",NA,NA,NA,NA,3,1995-07-24
19950724,"dw",21,"24","ARPUP6","2","na",NA,NA,NA,NA,2,1995-07-24
19950724,"dw",21,"24","SPCR","1","na","Plantae","Poaceae","Sporobolus","cryptandrus",1,1995-07-24
19950724,"dw",21,"24","DANAN","+","na","Plantae","Fabaceae","Dalea","nana",0.5,1995-07-24
19950724,"dw",24,"24","BOER4","15","na","Plantae","Poaceae","Bouteloua","eriopoda",15,1995-07-24
19950724,"dw",24,"24","LITT","45","na",NA,NA,NA,NA,45,1995-07-24
19950724,"dw",24,"24","MAPIP","1","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",1,1995-07-24
19950724,"dw",24,"24","CADR6","2","na",NA,NA,NA,NA,2,1995-07-24
19950724,"dw",24,"24","HYFIC","2","na","Plantae","Asteraceae","Hymenopappus","filifolius",2,1995-07-24
19950724,"dw",24,"24","DANAN","1","na","Plantae","Fabaceae","Dalea","nana",1,1995-07-24
19950724,"dw",24,"24","GAPI","1","na","Plantae","Asteraceae","Gaillardia","pinnatifida",1,1995-07-24
19950724,"dw",27,"24","GUSA2","2","na","Plantae","Asteraceae","Gutierrezia","sarothrae",2,1995-07-24
19950724,"dw",27,"24","BOER4","10","na","Plantae","Poaceae","Bouteloua","eriopoda",10,1995-07-24
19950724,"dw",27,"24","LITT","45","na",NA,NA,NA,NA,45,1995-07-24
19950724,"dw",27,"24","CADR6","5","na",NA,NA,NA,NA,5,1995-07-24
19950724,"dw",27,"24","SPFL2","+","na","Plantae","Poaceae","Sporobolus","flexuosus",0.5,1995-07-24
19950724,"dw",27,"24","GAPI","1","na","Plantae","Asteraceae","Gaillardia","pinnatifida",1,1995-07-24
19950724,"dw",0,"27","BOER4","5","na","Plantae","Poaceae","Bouteloua","eriopoda",5,1995-07-24
19950724,"dw",0,"27","CADR6","+","na",NA,NA,NA,NA,0.5,1995-07-24
19950724,"dw",0,"27","GUSA2","10","na","Plantae","Asteraceae","Gutierrezia","sarothrae",10,1995-07-24
19950724,"dw",0,"27","LITT","18","na",NA,NA,NA,NA,18,1995-07-24
19950724,"dw",0,"27","MAPIP","1","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",1,1995-07-24
19950724,"dw",3,"27","BOER4","4","na","Plantae","Poaceae","Bouteloua","eriopoda",4,1995-07-24
19950724,"dw",3,"27","GUSA2","4","na","Plantae","Asteraceae","Gutierrezia","sarothrae",4,1995-07-24
19950724,"dw",3,"27","LITT","9","na",NA,NA,NA,NA,9,1995-07-24
19950724,"dw",3,"27","SPCR","1","na","Plantae","Poaceae","Sporobolus","cryptandrus",1,1995-07-24
19950724,"dw",6,"27","BOER4","4","na","Plantae","Poaceae","Bouteloua","eriopoda",4,1995-07-24
19950724,"dw",6,"27","CADR6","2","na",NA,NA,NA,NA,2,1995-07-24
19950724,"dw",6,"27","GUSA2","11","na","Plantae","Asteraceae","Gutierrezia","sarothrae",11,1995-07-24
19950724,"dw",6,"27","LITT","15","na",NA,NA,NA,NA,15,1995-07-24
19950724,"dw",9,"27","BOER4","20","na","Plantae","Poaceae","Bouteloua","eriopoda",20,1995-07-24
19950724,"dw",9,"27","CADR6","3","na",NA,NA,NA,NA,3,1995-07-24
19950724,"dw",9,"27","CHER2","+","na","Plantae","Asteraceae","Chaetopappa","ericoides",0.5,1995-07-24
19950724,"dw",9,"27","LITT","40","na",NA,NA,NA,NA,40,1995-07-24
19950724,"dw",9,"27","GAPI","1","na","Plantae","Asteraceae","Gaillardia","pinnatifida",1,1995-07-24
19950724,"dw",9,"27","MAPIP","+","na","Plantae","Asteraceae","Machaeranthera","pinnatifida",0.5,1995-07-24
19950724,"dw",12,"27","BOER4","4","na","Plantae","Poaceae","Bouteloua","eriopoda",4,1995-07-24
19950724,"dw",12,"27","CADR6","1","na",NA,NA,NA,NA,1,1995-07-24
19950724,"dw",12,"27","GUSA2","8","na","Plantae","Asteraceae","Gutierrezia","sarothrae",8,1995-07-24
19950724,"dw",12,"27","LITT","8","na",NA,NA,NA,NA,8,1995-07-24
19950724,"dw",15,"27","BOER4","15","na","Plantae","Poaceae","Bouteloua","eriopoda",15,1995-07-24
19950724,"dw",15,"27","CADR6","5","na",NA,NA,NA,NA,5,1995-07-24
19950724,"dw",15,"27","LITT","45","na",NA,NA,NA,NA,45,1995-07-24
19950724,"dw",15,"27","GAPI","+","na","Plantae","Asteraceae","Gaillardia","pinnatifida",0.5,1995-07-24
19950724,"dw",15,"27","HYFIC","+","na","Plantae","Asteraceae","Hymenopappus","filifolius",0.5,1995-07-24
19950724,"dw",15,"27","EVNU","+","na","Plantae","Convolvulaceae","Evolvulus","nuttallianus",0.5,1995-07-24
19950724,"dw",18,"27","BOER4","10","na","Plantae","Poaceae","Bouteloua","eriopoda",10,1995-07-24
19950724,"dw",18,"27","CADR6","3","na",NA,NA,NA,NA,3,1995-07-24
19950724,"dw",18,"27","LITT","20","na",NA,NA,NA,NA,20,1995-07-24
19950724,"dw",18,"27","GAPI","2","na","Plantae","Asteraceae","Gaillardia","pinnatifida",2,1995-07-24
