"Bee_Species","SiteRepSeason","bees","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","updated_bee_species","site","rep","season","year"
"ANPERFALF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","fallax","ANPERFAL","C","1","SP","2008"
"ANPERIGNF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","ignota_ignota","ANPERIGN","C","1","SP","2008"
"ANPERMENF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERMEN","C","1","SP","2008"
"ANPERPULF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"ANPERPUL","C","1","SP","2008"
"ANPERVERF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","ANDRENIDAE","Perdita","verbesinae","ANPERVER","C","1","SP","2008"
"APANDCOMF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Athedonia","compta","APANDCOM","C","1","SP","2008"
"APANPCOMF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APANPCOM","C","1","SP","2008"
"APANTAFFF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","affabilis","APANTAFF","C","1","SP","2008"
"APANTCALF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","californica","APANTCAL","C","1","SP","2008"
"APANTLESF","C1SP08",2,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","lesquerellae","APANTLES","C","1","SP","2008"
"APANTMONF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","montana","APANTMON","C","1","SP","2008"
"APANTPHEF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APANTPHE","C","1","SP","2008"
"APANTPORF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Anthophora","porterae","APANTPOR","C","1","SP","2008"
"APAPIMELF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Apis","mellifera","APAPIMEL","C","1","SP","2008"
"APBOMHUNF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APBOMHUN","C","1","SP","2008"
"APBOMPENF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Bombus","pensylvanicus","APBOMPEN","C","1","SP","2008"
"APCERACAF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APCERACA","C","1","SP","2008"
"APCERNANF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Ceratina","nanula","APCERNAN","C","1","SP","2008"
"APDIAAUSF","C1SP08",3,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","australis","APDIAAUS","C","1","SP","2008"
"APDIADIMF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","diminuta","APDIADIM","C","1","SP","2008"
"APDIAENAF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APDIAENA","C","1","SP","2008"
"APDIAMEGF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","megamorpha","APDIAMEG","C","1","SP","2008"
"APDIAOCHF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","ochracea","APDIAOCH","C","1","SP","2008"
"APDIARINF","C1SP08",11,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Diadasia","rinconis","APDIARIN","C","1","SP","2008"
"APDIASPHF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APDIASPH","C","1","SP","2008"
"APDIAVALF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APDIAVAL","C","1","SP","2008"
"APEUCLYCF","C1SP08",2,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Eucera","lycii","APEUCLYC","C","1","SP","2008"
"APEUCTERF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Eucera","territella","APEUCTER","C","1","SP","2008"
"APEXOSOLF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Exomalopsis","solani","APEXOSOL","C","1","SP","2008"
"APHABMORF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Habropoda","morrisoni","APHABMOR","C","1","SP","2008"
"APHABNS1F","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APHABNS1","C","1","SP","2008"
"APHOLCALF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Holcopasites","calliopsidis","APHOLCAL","C","1","SP","2008"
"APMELBOHF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melecta","bohartorum","APMELBOH","C","1","SP","2008"
"APMELPACF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melecta","pacifica","APMELPAC","C","1","SP","2008"
"APMESAGIF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","agilis","APMESAGI","C","1","SP","2008"
"APMESCOLF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APMESCOL","C","1","SP","2008"
"APMESCOMF","C1SP08",1,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","communis_communis","APMESCOM","C","1","SP","2008"
"APMESHUMF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APMESHUM","C","1","SP","2008"
"APMESMENF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APMESMEN","C","1","SP","2008"
"APMESPARF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","paroselae","APMESPAR","C","1","SP","2008"
"APMESSUBF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","subagilis","APMESSUB","C","1","SP","2008"
"APMESTHEF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","thelypodii_thelypodii","APMESTHE","C","1","SP","2008"
"APMESTRIF","C1SP08",4,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","tristis","APMESTRI","C","1","SP","2008"
"APMESTRIM","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APMESTRIM","C","1","SP","2008"
"APMESVERF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Melissodes","verbesinarum","APMESVER","C","1","SP","2008"
"APNEOVIGF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Neolarra","vigilans","APNEOVIG","C","1","SP","2008"
"APNOM001F","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Nomada","(Micronomada)001","APNOM001","C","1","SP","2008"
"APPEPPRU","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APPEPPRU","C","1","SP","2008"
"APSVAHELF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Svastra","helianthelli","APSVAHEL","C","1","SP","2008"
"APSVAMACF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Svastra","machaerantherae","APSVAMAC","C","1","SP","2008"
"APSVAOBLF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Svastra","obliqua","APSVAOBL","C","1","SP","2008"
"APTETALBF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APTETALB","C","1","SP","2008"
"APTETSPIF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"APTETSPI","C","1","SP","2008"
"APXYLCALF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","APIDAE","Xylocopa","californica","APXYLCAL","C","1","SP","2008"
"COHYLMESF","C1SP08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","COLLETIDAE","Hylaeus","mesillae_mesillae","COHYLMES","C","1","SP","2008"
"HAHALTRIF","C1FA08",50,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Halictus","tripartitus","HAHALTRI","C","1","FA","2008"
"HAAGAANGF","C1FA08",4,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Agapostemon","angelicus","HAAGAANG","C","1","FA","2008"
"HAAGAFEMF","C1FA08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAGAFEM","C","1","FA","2008"
"HAAGAMELF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Agapostemon","melliventris","HAAGAMEL","C","1","FA","2008"
"HAAGASPLF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAGASPL","C","1","FA","2008"
"HAAUGAURF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAAUGAUR","C","1","FA","2008"
"HADUFMARF","C1FA08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HADUFMAR","C","1","FA","2008"
"HADUF001F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HADUF001","C","1","FA","2008"
"HAHALCONF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAHALCON","C","1","FA","2008"
"HAHALLIGF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Halictus","ligatus","HAHALLIG","C","1","FA","2008"
"HAHALPARF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HAHALPAR","C","1","FA","2008"
"HALASPRUF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","pruinosiformis","HALASPRU","C","1","FA","2008"
"HALASCOAF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASCOA","C","1","FA","2008"
"HALASHUDF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASHUD","C","1","FA","2008"
"HALASPARF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASPAR","C","1","FA","2008"
"HALASPERF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASPER","C","1","FA","2008"
"HALASPOTF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","potosi","HALASPOT","C","1","FA","2008"
"HALASSISF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","sisymbrii","HALASSIS","C","1","FA","2008"
"HALAS00CF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS00C","C","1","FA","2008"
"HALAS007F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS007","C","1","FA","2008"
"HALAS012F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS012","C","1","FA","2008"
"HALAS015F","C1FA08",1,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS015","C","1","FA","2008"
"HALAS017F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS017","C","1","FA","2008"
"HALAS018F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS018","C","1","FA","2008"
"HALAS019F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS019","C","1","FA","2008"
"HALAS020F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS020","C","1","FA","2008"
"HALAS021F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALAS021","C","1","FA","2008"
"HALASODDF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASODD","C","1","FA","2008"
"HALASEV1F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","(Evylaeus)001","HALASEV1","C","1","FA","2008"
"HALASEV2F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Lasioglossum","(Evylaeus)002","HALASEV2","C","1","FA","2008"
"HALASEV3F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV3","C","1","FA","2008"
"HALASEV4F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV4","C","1","FA","2008"
"HALASEV5F","C1FA08",2,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV5","C","1","FA","2008"
"HALASEV6F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASEV6","C","1","FA","2008"
"HALASNOCF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HALASNOC","C","1","FA","2008"
"HANOMTRIF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"HANOMTRI","C","1","FA","2008"
"HASPH001F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Sphecodes","1","HASPH001","C","1","FA","2008"
"HASPH002F","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","HALICTIDAE","Sphecodes","2","HASPH002","C","1","FA","2008"
"MEANTEMAF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Anthidium","emarginatum","MEANTEMA","C","1","FA","2008"
"MEANTPORF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Anthidium","porterae","MEANTPOR","C","1","FA","2008"
"MEASHBIGF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Ashmeadiella","bigeloveae","MEASHBIG","C","1","FA","2008"
"MEASHMELF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Ashmeadiella","meliloti","MEASHMEL","C","1","FA","2008"
"MEDIACURF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA,"MEDIACUR","C","1","FA","2008"
"MEDIAIMPF","C1FA08",0,"Animalia","Arthropoda","Insecta","Hymenoptera","MEGACHILIDAE","Dianthidium","implicatum","MEDIAIMP","C","1","FA","2008"
