"year","date","site","plot","treatment","Species","cover","group","comments","Taxa_kingdom","Taxa_family","Taxa_genus","Taxa_species"
1995,"-999",2,"1RU","R_BOGR2","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"1RU","R_BOGR2","CACTUS",0.01,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",2,"1RU","R_BOGR2","PFORB",1.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"1RU","R_BOGR2","PGRASS",0.1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"1RU","R_BOGR2","SHRUB",0.01,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"2C","control","AGRASS",2.8,"AGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"2C","control","BOER4",14,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"2C","control","BOGR2",20,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"2C","control","PFORB",1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"2C","control","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"2C","control","SHRUB",0.1,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"2RA","R_BOER4","BOER4",13,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"2RA","R_BOER4","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"2RA","R_BOER4","CACTUS",0.01,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",2,"2RA","R_BOER4","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"2RA","R_BOER4","PGRASS",1.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"2RA","R_BOER4","SHRUB",1.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"2RU","R_BOGR2","BOER4",22,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"2RU","R_BOGR2","BOGR2",20,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"2RU","R_BOGR2","PFORB",1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"2RU","R_BOGR2","PGRASS",0.1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"2RU","R_BOGR2","SHRUB",0.01,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"3C","control","AFORB",1.8,"AFORB",NA,NA,NA,NA,NA
1995,"-999",2,"3C","control","BOER4",12,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"3C","control","BOGR2",30,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"3C","control","CACTUS",0.01,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",2,"3C","control","PFORB",1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"3C","control","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"3RA","R_BOER4","BOER4",11,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"3RA","R_BOER4","BOGR2",15,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"3RA","R_BOER4","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"3RA","R_BOER4","PGRASS",0.75,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"3RU","R_BOGR2","AFORB",0.5,"AFORB",NA,NA,NA,NA,NA
1995,"-999",2,"3RU","R_BOGR2","BOER4",21,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"3RU","R_BOGR2","BOGR2",20,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"3RU","R_BOGR2","PFORB",1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"3RU","R_BOGR2","PGRASS",0.1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"3RU","R_BOGR2","YUCCA",1,"YUCCA",NA,NA,NA,NA,NA
1995,"-999",2,"4C","control","AFORB",0.25,"AFORB",NA,NA,NA,NA,NA
1995,"-999",2,"4C","control","BOER4",10,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"4C","control","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"4C","control","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"4C","control","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"4C","control","SHRUB",0.01,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"4RA","R_BOER4","BOER4",13,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"4RA","R_BOER4","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"4RA","R_BOER4","CACTUS",0.01,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",2,"4RA","R_BOER4","PFORB",0.25,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"4RA","R_BOER4","PGRASS",0.75,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"4RU","R_BOGR2","BOER4",19,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"4RU","R_BOGR2","BOGR2",25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"4RU","R_BOGR2","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"4RU","R_BOGR2","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"5C","control","BOER4",20,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"5C","control","BOGR2",20,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"5C","control","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"5C","control","PGRASS",0.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"5RA","R_BOER4","AFORB",0.4,"AFORB",NA,NA,NA,NA,NA
1995,"-999",2,"5RA","R_BOER4","BOER4",12,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"5RA","R_BOER4","BOGR2",20,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"5RA","R_BOER4","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"5RA","R_BOER4","PGRASS",1,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"5RA","R_BOER4","SHRUB",0.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",2,"5RU","R_BOGR2","BOER4",12,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",2,"5RU","R_BOGR2","BOGR2",30,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",2,"5RU","R_BOGR2","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",2,"5RU","R_BOGR2","PGRASS",1.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",2,"5RU","R_BOGR2","SHRUB",0.01,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",3,"1C","control","AFORB",6,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"1C","control","BOER4",40,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"1C","control","CACTUS",0.3,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",3,"1C","control","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",3,"1C","control","PGRASS",0.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"1RA","R_BOER4","AFORB",2.5,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"1RA","R_BOER4","BOER4",18,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"1RA","R_BOER4","PGRASS",12,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"1RA","R_BOER4","SHRUB",1,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",3,"2C","control","AFORB",3.25,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"2C","control","BOER4",30,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"2C","control","BOGR2",3,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",3,"2C","control","PFORB",0.25,"PFORB",NA,NA,NA,NA,NA
1995,"-999",3,"2C","control","PGRASS",2,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"2C","control","SHRUB",0.3,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",3,"2RA","R_BOER4","AFORB",5,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"2RA","R_BOER4","BOER4",20,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"2RA","R_BOER4","PFORB",1.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",3,"2RA","R_BOER4","PGRASS",2.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"2RA","R_BOER4","SHRUB",0.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",3,"3C","control","AFORB",1.25,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"3C","control","BOER4",25,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"3C","control","BOGR2",2,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",3,"3C","control","PFORB",1.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",3,"3C","control","PGRASS",1.25,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"3C","control","SHRUB",1.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",3,"3RA","R_BOER4","AFORB",2,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"3RA","R_BOER4","BOER4",15,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"3RA","R_BOER4","CACTUS",0.5,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",3,"3RA","R_BOER4","PFORB",1.75,"PFORB",NA,NA,NA,NA,NA
1995,"-999",3,"3RA","R_BOER4","PGRASS",5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"3RA","R_BOER4","SHRUB",1.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",3,"4C","control","AFORB",2.25,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"4C","control","BOER4",30,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"4C","control","PFORB",0.75,"PFORB",NA,NA,NA,NA,NA
1995,"-999",3,"4C","control","PGRASS",1.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"4RA","R_BOER4","AFORB",5,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"4RA","R_BOER4","BOER4",18,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"4RA","R_BOER4","BOGR2",4,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",3,"4RA","R_BOER4","PFORB",1.75,"PFORB",NA,NA,NA,NA,NA
1995,"-999",3,"4RA","R_BOER4","PGRASS",1.25,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"5C","control","AFORB",3.75,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"5C","control","BOER4",15,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"5C","control","BOGR2",3,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",3,"5C","control","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",3,"5C","control","PGRASS",1.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"5C","control","SHRUB",2,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",3,"5RA","R_BOER4","AFORB",2.75,"AFORB",NA,NA,NA,NA,NA
1995,"-999",3,"5RA","R_BOER4","BOER4",12,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",3,"5RA","R_BOER4","PGRASS",1.25,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",3,"5RA","R_BOER4","SHRUB",1.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"1C","control","BOER4",12,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"1C","control","LATR2",15,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"1C","control","PFORB",2,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"1C","control","PGRASS",1.75,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"1C","control","SHRUB",10,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"1RA","R_BOER4","BOER4",18,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"1RA","R_BOER4","LATR2",10,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"1RA","R_BOER4","PFORB",0.25,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"1RA","R_BOER4","PGRASS",6.25,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"1RA","R_BOER4","SHRUB",5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"1RC","R_LATR2","BOER4",25,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"1RC","R_LATR2","LATR2",18,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"1RC","R_LATR2","PFORB",1.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"1RC","R_LATR2","PGRASS",2,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"1RC","R_LATR2","SHRUB",2,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"2C","control","BOER4",30,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"2C","control","LATR2",22.5,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"2C","control","PFORB",2,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"2C","control","PGRASS",2.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"2C","control","SHRUB",5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"2RA","R_BOER4","BOER4",15,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"2RA","R_BOER4","LATR2",18,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"2RA","R_BOER4","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"2RA","R_BOER4","PGRASS",7,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"2RA","R_BOER4","SHRUB",1.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"2RC","R_LATR2","BOER4",19,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"2RC","R_LATR2","LATR2",20,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"2RC","R_LATR2","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"2RC","R_LATR2","PGRASS",14,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"2RC","R_LATR2","SHRUB",1.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"3C","control","BOER4",5,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"3C","control","BOGR2",2,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",4,"3C","control","LATR2",18,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"3C","control","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"3C","control","PGRASS",15,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"3C","control","SHRUB",7,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"3RA","R_BOER4","BOER4",20,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"3RA","R_BOER4","CACTUS",0.15,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",4,"3RA","R_BOER4","LATR2",22,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"3RA","R_BOER4","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"3RA","R_BOER4","PGRASS",7,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"3RA","R_BOER4","SHRUB",10,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"3RC","R_LATR2","BOER4",16,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"3RC","R_LATR2","BOGR2",2.5,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",4,"3RC","R_LATR2","CACTUS",0.2,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",4,"3RC","R_LATR2","LATR2",20,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"3RC","R_LATR2","PFORB",1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"3RC","R_LATR2","PGRASS",9,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"3RC","R_LATR2","SHRUB",8,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"4C","control","BOER4",8,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"4C","control","BOGR2",3.75,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",4,"4C","control","CACTUS",2.5,"CACTUS",NA,NA,NA,NA,NA
1995,"-999",4,"4C","control","LATR2",12,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"4C","control","PFORB",0.2,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"4C","control","PGRASS",7.5,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"4C","control","SHRUB",5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"4RA","R_BOER4","AFORB",1,"AFORB",NA,NA,NA,NA,NA
1995,"-999",4,"4RA","R_BOER4","AGRASS",1,"AGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"4RA","R_BOER4","BOER4",15,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"4RA","R_BOER4","BOGR2",9,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",4,"4RA","R_BOER4","LATR2",15,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"4RA","R_BOER4","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"4RA","R_BOER4","PGRASS",2,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"4RA","R_BOER4","SHRUB",1.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"4RC","R_LATR2","BOER4",10,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"4RC","R_LATR2","BOGR2",1.25,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",4,"4RC","R_LATR2","LATR2",12,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"4RC","R_LATR2","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"4RC","R_LATR2","PGRASS",10.25,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"4RC","R_LATR2","SHRUB",5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"5C","control","BOER4",7.5,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"5C","control","BOGR2",2.5,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",4,"5C","control","LATR2",20,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"5C","control","PFORB",0.1,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"5C","control","PGRASS",7,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"5C","control","SHRUB",8,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"5RA","R_BOER4","BOER4",22,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"5RA","R_BOER4","BOGR2",2.5,"BOGR2",NA,"Plantae","Poaceae","Bouteloua","gracilis"
1995,"-999",4,"5RA","R_BOER4","LATR2",10,"LATR2",NA,"Plantae","Zygophyllaceae","Larrea","tridentata"
1995,"-999",4,"5RA","R_BOER4","PFORB",0.5,"PFORB",NA,NA,NA,NA,NA
1995,"-999",4,"5RA","R_BOER4","PGRASS",3,"PGRASS",NA,NA,NA,NA,NA
1995,"-999",4,"5RA","R_BOER4","SHRUB",1.5,"SHRUB",NA,NA,NA,NA,NA
1995,"-999",4,"5RC","R_LATR2","BOER4",12,"BOER4",NA,"Plantae","Poaceae","Bouteloua","eriopoda"
1995,"-999",4,"5RC","R_LATR2","CACTUS",0.2,"CACTUS",NA,NA,NA,NA,NA
