"Year","species_code","count","Taxa_genus","Taxa_species"
1990,"LARGE.ASPEN.TORTRIX",23,"Choristoneura","conflictana"
1991,"LARGE.ASPEN.TORTRIX",4,"Choristoneura","conflictana"
1992,"LARGE.ASPEN.TORTRIX",3,"Choristoneura","conflictana"
1993,"LARGE.ASPEN.TORTRIX",2,"Choristoneura","conflictana"
1994,"LARGE.ASPEN.TORTRIX",3,"Choristoneura","conflictana"
1995,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
1996,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
1997,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
1998,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
1999,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
2000,"LARGE.ASPEN.TORTRIX",1,"Choristoneura","conflictana"
2001,"LARGE.ASPEN.TORTRIX",1,"Choristoneura","conflictana"
2002,"LARGE.ASPEN.TORTRIX",2,"Choristoneura","conflictana"
2003,"LARGE.ASPEN.TORTRIX",1,"Choristoneura","conflictana"
2004,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
2005,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
2006,"LARGE.ASPEN.TORTRIX",1,"Choristoneura","conflictana"
2007,"LARGE.ASPEN.TORTRIX",1,"Choristoneura","conflictana"
2010,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
2011,"LARGE.ASPEN.TORTRIX",1,"Choristoneura","conflictana"
2012,"LARGE.ASPEN.TORTRIX",0,"Choristoneura","conflictana"
1975,"LEAF.BEETLES",0,"Chrysomela","NA"
1976,"LEAF.BEETLES",0,"Chrysomela","NA"
1977,"LEAF.BEETLES",20,"Chrysomela","NA"
1978,"LEAF.BEETLES",0,"Chrysomela","NA"
1979,"LEAF.BEETLES",4,"Chrysomela","NA"
1980,"LEAF.BEETLES",13,"Chrysomela","NA"
1981,"LEAF.BEETLES",0,"Chrysomela","NA"
1982,"LEAF.BEETLES",0,"Chrysomela","NA"
1983,"LEAF.BEETLES",1,"Chrysomela","NA"
1984,"LEAF.BEETLES",5,"Chrysomela","NA"
1985,"LEAF.BEETLES",3,"Chrysomela","NA"
1986,"LEAF.BEETLES",5,"Chrysomela","NA"
1987,"LEAF.BEETLES",1,"Chrysomela","NA"
1988,"LEAF.BEETLES",16,"Chrysomela","NA"
1989,"LEAF.BEETLES",7,"Chrysomela","NA"
1990,"LEAF.BEETLES",40,"Chrysomela","NA"
1991,"LEAF.BEETLES",13,"Chrysomela","NA"
1992,"LEAF.BEETLES",9,"Chrysomela","NA"
1993,"LEAF.BEETLES",3,"Chrysomela","NA"
1994,"LEAF.BEETLES",3,"Chrysomela","NA"
1995,"LEAF.BEETLES",4,"Chrysomela","NA"
1996,"LEAF.BEETLES",13,"Chrysomela","NA"
1997,"LEAF.BEETLES",20,"Chrysomela","NA"
1998,"LEAF.BEETLES",30,"Chrysomela","NA"
1999,"LEAF.BEETLES",21,"Chrysomela","NA"
2000,"LEAF.BEETLES",20,"Chrysomela","NA"
2001,"LEAF.BEETLES",45,"Chrysomela","NA"
2002,"LEAF.BEETLES",40,"Chrysomela","NA"
2003,"LEAF.BEETLES",35,"Chrysomela","NA"
2004,"LEAF.BEETLES",45,"Chrysomela","NA"
2005,"LEAF.BEETLES",50,"Chrysomela","NA"
2006,"LEAF.BEETLES",45,"Chrysomela","NA"
2007,"LEAF.BEETLES",35,"Chrysomela","NA"
2010,"LEAF.BEETLES",30,"Chrysomela","NA"
2011,"LEAF.BEETLES",65,"Chrysomela","NA"
2012,"LEAF.BEETLES",49,"Chrysomela","NA"
1975,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1976,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1977,"ASPEN.LEAF.MINERS",15,"Chryosemla; Phratora; Macrohalitca","populiella"
1978,"ASPEN.LEAF.MINERS",50,"Chryosemla; Phratora; Macrohalitca","populiella"
1979,"ASPEN.LEAF.MINERS",4,"Chryosemla; Phratora; Macrohalitca","populiella"
1980,"ASPEN.LEAF.MINERS",4,"Chryosemla; Phratora; Macrohalitca","populiella"
1981,"ASPEN.LEAF.MINERS",8,"Chryosemla; Phratora; Macrohalitca","populiella"
1982,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1983,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1984,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1985,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1986,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1987,"ASPEN.LEAF.MINERS",5,"Chryosemla; Phratora; Macrohalitca","populiella"
1988,"ASPEN.LEAF.MINERS",10,"Chryosemla; Phratora; Macrohalitca","populiella"
1989,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1990,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1991,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1992,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1993,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
1994,"ASPEN.LEAF.MINERS",8,"Chryosemla; Phratora; Macrohalitca","populiella"
1995,"ASPEN.LEAF.MINERS",5,"Chryosemla; Phratora; Macrohalitca","populiella"
1996,"ASPEN.LEAF.MINERS",50,"Chryosemla; Phratora; Macrohalitca","populiella"
1997,"ASPEN.LEAF.MINERS",80,"Chryosemla; Phratora; Macrohalitca","populiella"
1998,"ASPEN.LEAF.MINERS",100,"Chryosemla; Phratora; Macrohalitca","populiella"
1999,"ASPEN.LEAF.MINERS",80,"Chryosemla; Phratora; Macrohalitca","populiella"
2000,"ASPEN.LEAF.MINERS",90,"Chryosemla; Phratora; Macrohalitca","populiella"
2001,"ASPEN.LEAF.MINERS",95,"Chryosemla; Phratora; Macrohalitca","populiella"
2002,"ASPEN.LEAF.MINERS",100,"Chryosemla; Phratora; Macrohalitca","populiella"
2003,"ASPEN.LEAF.MINERS",150,"Chryosemla; Phratora; Macrohalitca","populiella"
2004,"ASPEN.LEAF.MINERS",250,"Chryosemla; Phratora; Macrohalitca","populiella"
2005,"ASPEN.LEAF.MINERS",200,"Chryosemla; Phratora; Macrohalitca","populiella"
2006,"ASPEN.LEAF.MINERS",185,"Chryosemla; Phratora; Macrohalitca","populiella"
2007,"ASPEN.LEAF.MINERS",150,"Chryosemla; Phratora; Macrohalitca","populiella"
2010,"ASPEN.LEAF.MINERS",0,"Chryosemla; Phratora; Macrohalitca","populiella"
2011,"ASPEN.LEAF.MINERS",76,"Chryosemla; Phratora; Macrohalitca","populiella"
2012,"ASPEN.LEAF.MINERS",44,"Chryosemla; Phratora; Macrohalitca","populiella"
1975,"BIRCH.LEAF.ROLLERS",10,"Phyllocnistis","solandriana"
1976,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1977,"BIRCH.LEAF.ROLLERS",10,"Phyllocnistis","solandriana"
1978,"BIRCH.LEAF.ROLLERS",15,"Phyllocnistis","solandriana"
1979,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1980,"BIRCH.LEAF.ROLLERS",14,"Phyllocnistis","solandriana"
1981,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1982,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1983,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1984,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1985,"BIRCH.LEAF.ROLLERS",31,"Phyllocnistis","solandriana"
1986,"BIRCH.LEAF.ROLLERS",11,"Phyllocnistis","solandriana"
1987,"BIRCH.LEAF.ROLLERS",18,"Phyllocnistis","solandriana"
1988,"BIRCH.LEAF.ROLLERS",4,"Phyllocnistis","solandriana"
1989,"BIRCH.LEAF.ROLLERS",17,"Phyllocnistis","solandriana"
1990,"BIRCH.LEAF.ROLLERS",13,"Phyllocnistis","solandriana"
1991,"BIRCH.LEAF.ROLLERS",13,"Phyllocnistis","solandriana"
1992,"BIRCH.LEAF.ROLLERS",12,"Phyllocnistis","solandriana"
1993,"BIRCH.LEAF.ROLLERS",9,"Phyllocnistis","solandriana"
1994,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1995,"BIRCH.LEAF.ROLLERS",9,"Phyllocnistis","solandriana"
1996,"BIRCH.LEAF.ROLLERS",4,"Phyllocnistis","solandriana"
1997,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1998,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
1999,"BIRCH.LEAF.ROLLERS",10,"Phyllocnistis","solandriana"
2000,"BIRCH.LEAF.ROLLERS",6,"Phyllocnistis","solandriana"
2001,"BIRCH.LEAF.ROLLERS",3,"Phyllocnistis","solandriana"
2002,"BIRCH.LEAF.ROLLERS",10,"Phyllocnistis","solandriana"
2003,"BIRCH.LEAF.ROLLERS",14,"Phyllocnistis","solandriana"
2004,"BIRCH.LEAF.ROLLERS",18,"Phyllocnistis","solandriana"
2005,"BIRCH.LEAF.ROLLERS",35,"Phyllocnistis","solandriana"
2006,"BIRCH.LEAF.ROLLERS",30,"Phyllocnistis","solandriana"
2007,"BIRCH.LEAF.ROLLERS",15,"Phyllocnistis","solandriana"
2010,"BIRCH.LEAF.ROLLERS",0,"Phyllocnistis","solandriana"
2011,"BIRCH.LEAF.ROLLERS",1,"Phyllocnistis","solandriana"
2012,"BIRCH.LEAF.ROLLERS",5,"Phyllocnistis","solandriana"
