"DATE","PER","SITE","WEB","TRN","SPECIES","AGE","SEX","SUB","CNT","BURNED","COMMENTS","Taxa_genus","Taxa_species"
"6/5/2004","2004E","BOER",3,84,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,84,"TRPA","4","M","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,108,"ARCO","4","M","SOIL",1,".","","Arphia","conspersa"
"6/5/2004","2004E","BOER",3,108,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,108,"TRPA","4","F","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,108,"TRPA","4","M","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,108,"TRPA","4","M","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,132,"PSDE","4","F","BOER4",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",3,132,"TRPA","4","F","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,132,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,132,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,132,"TRPA","4","M","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",3,132,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/5/2004","2004E","BOER",4,12,"ARCO","4","F","SOIL",1,".","","Arphia","conspersa"
"6/5/2004","2004E","BOER",4,12,"ARCO","4","M","SOIL",1,".","","Arphia","conspersa"
"6/5/2004","2004E","BOER",4,12,"PSDE","4","F","BOER4",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",4,12,"TRPA","4","F","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,12,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,12,"TRPA","4","M","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,12,"TRPA","4","M","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,12,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/5/2004","2004E","BOER",4,12,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/5/2004","2004E","BOER",4,36,"COOC","4","F","BOER4",1,".","","Cordillacris","occipitalis"
"6/5/2004","2004E","BOER",4,36,"PAPA","2","N","BOER4",1,".","","Paropomala","pallida"
"6/5/2004","2004E","BOER",4,36,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",4,36,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",4,36,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,36,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,36,"TRPA","4","M","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,36,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/5/2004","2004E","BOER",4,60,"TRPA","4","F","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,60,"TRPA","4","M","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,60,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/5/2004","2004E","BOER",4,84,"PAPA","1","N","BOER4",1,".","","Paropomala","pallida"
"6/5/2004","2004E","BOER",4,84,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,84,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,108,"COOC","4","M","SOIL",1,".","","Cordillacris","occipitalis"
"6/5/2004","2004E","BOER",4,108,"TRPA","4","F","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,108,"TRPA","4","M","SOIL",6,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,108,"XACO","4","F","SOIL",2,".","","Xanthippus","corallipes"
"6/5/2004","2004E","BOER",4,108,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/5/2004","2004E","BOER",4,132,"TRPA","4","F","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",4,132,"TRPA","4","M","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,12,"PSDE","4","M","BOER4",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",5,12,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",5,12,"TRPA","4","F","SOIL",5,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,12,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,12,"TRPA","4","M","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,12,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/5/2004","2004E","BOER",5,36,"PSDE","4","F","BOER4",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",5,36,"TRPA","4","F","SOIL",6,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,36,"TRPA","4","M","SOIL",7,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,60,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",5,60,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",5,60,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,60,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,60,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,60,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,60,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,84,"TRPA","4","F","SOIL",3,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,84,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,84,"TRPA","4","M","SOIL",5,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,108,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",5,108,"TRPA","4","F","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,108,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,108,"TRPA","4","M","SOIL",2,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,132,"PSDE","4","M","BOER4",1,".","","Psoloessa","delicatula"
"6/5/2004","2004E","BOER",5,132,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/5/2004","2004E","BOER",5,132,"TRPA","4","F","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,12,"PSDE","4","M","BOGR2",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,12,"PSDE","4","M","BOGR2",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,12,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,12,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,12,"TRPA","4","F","SOIL",19,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,12,"TRPA","4","F","SOIL",9,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,12,"TRPA","4","M","SOIL",19,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,12,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,12,"TRPA","4","M","SOIL",8,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,12,"TRPA","3","N","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,12,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2004","2004E","BOGR",1,12,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2004","2004E","BOGR",1,12,"XACO","4","M","SOIL",3,".","","Xanthippus","corallipes"
"6/4/2004","2004E","BOGR",1,36,"PSDE","4","F","BOGR2",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,36,"PSDE","4","F","SCBR2",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,36,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,36,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,36,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,36,"TRPA","4","F","SOIL",19," ","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,36,"TRPA","4","F","SOIL",14,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,36,"TRPA","4","F","SOIL",4,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,36,"TRPA","4","M","SOIL",18,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,36,"TRPA","4","M","SOIL",12,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,36,"TRPA","4","M","SOIL",5,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,36,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2004","2004E","BOGR",1,60,"MEAR2","4","F","BOGR2",1,".","",NA,NA
"6/4/2004","2004E","BOGR",1,60,"PSDE","4","F","BOGR2",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,60,"PSDE","4","F","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,60,"PSDE","4","M","SOIL",1,".","","Psoloessa","delicatula"
"6/4/2004","2004E","BOGR",1,60,"TRPA","4","F","SOIL",9,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,60,"TRPA","4","F","SOIL",22,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,60,"TRPA","4","F","SOIL",9,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,60,"TRPA","4","M","SOIL",12,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,60,"TRPA","4","M","SOIL",19,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,60,"TRPA","4","M","SOIL",1,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,60,"TRPA","4","M","SOIL",8,".","","Trimerotropis","pallidipennis"
"6/4/2004","2004E","BOGR",1,60,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2004","2004E","BOGR",1,60,"XACO","4","F","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2004","2004E","BOGR",1,60,"XACO","4","M","SOIL",1,".","","Xanthippus","corallipes"
"6/4/2004","2004E","BOGR",1,60,"XACO","4","M","SOIL",2,".","","Xanthippus","corallipes"
"6/4/2004","2004E","BOGR",1,84,"HERU","3","N","SOIL",1,".","","Heliaula","rufa"
"6/4/2004","2004E","BOGR",1,84,"PSDE","4","F","MUAR",1,".","","Psoloessa","delicatula"
