"Year","Species","plot","cover","quadrats","plot_id","Taxa_kingdom","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","site"
1992,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1992,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1992,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1992,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1992,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1993,"Juncus","PLOT1A",94,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1993,"Bare","PLOT1A",2,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1993,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1993,"S.alter","PLOT1A",192,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1993,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1993,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1993,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1993,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1993,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1994,"Juncus","PLOT1A",88,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1994,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1994,"Litt/wrack","PLOT1A",86,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1994,"S.alter","PLOT1A",160,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1994,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1994,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1994,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1994,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1994,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1995,"Juncus","PLOT1A",99,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1995,"Bare","PLOT1A",82,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1995,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1995,"S.alter","PLOT1A",130,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1995,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1995,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1995,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1995,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1995,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1996,"Juncus","PLOT1A",91,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1996,"Bare","PLOT1A",10,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1996,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1996,"S.alter","PLOT1A",182,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1996,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1996,"Distichlis","PLOT1A",1,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1996,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1996,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1996,"Distichlis/s.patens","PLOT1A",1,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1997,"Juncus","PLOT1A",94,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1997,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1997,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1997,"S.alter","PLOT1A",171,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1997,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1997,"Distichlis","PLOT1A",5,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1997,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1997,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1997,"Distichlis/s.patens","PLOT1A",5,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1998,"Juncus","PLOT1A",87,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1998,"Bare","PLOT1A",1,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1998,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1998,"S.alter","PLOT1A",190,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1998,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1998,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1998,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1998,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1998,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1999,"Juncus","PLOT1A",88,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1999,"Bare","PLOT1A",2,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1999,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
1999,"S.alter","PLOT1A",135,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1999,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1999,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1999,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1999,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1999,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2000,"Juncus","PLOT1A",87,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2000,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2000,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2000,"S.alter","PLOT1A",150,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2000,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2000,"Distichlis","PLOT1A",1,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2000,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2000,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2000,"Distichlis/s.patens","PLOT1A",1,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2001,"Juncus","PLOT1A",96,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2001,"Bare","PLOT1A",1,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2001,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2001,"S.alter","PLOT1A",167,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2001,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2001,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2001,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2001,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2001,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2002,"Juncus","PLOT1A",92,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2002,"Bare","PLOT1A",2,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2002,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2002,"S.alter","PLOT1A",153,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2002,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2002,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2002,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2002,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2002,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2003,"Juncus","PLOT1A",90,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2003,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2003,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2003,"S.alter","PLOT1A",159,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2003,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2003,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2003,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2003,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2003,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2004,"Juncus","PLOT1A",91,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2004,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2004,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2004,"S.alter","PLOT1A",136,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2004,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2004,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2004,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2004,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2004,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2005,"Juncus","PLOT1A",93,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2005,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2005,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2005,"S.alter","PLOT1A",166,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2005,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2005,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2005,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2005,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2005,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2006,"Juncus","PLOT1A",81,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2006,"Bare","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2006,"Litt/wrack","PLOT1A",13,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2006,"S.alter","PLOT1A",144,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2006,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2006,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2006,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2006,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2006,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2007,"Juncus","PLOT1A",84,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2007,"Bare","PLOT1A",9,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2007,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2007,"S.alter","PLOT1A",149,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2007,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2007,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2007,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2007,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2007,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2008,"Juncus","PLOT1A",80,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2008,"Bare","PLOT1A",31,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2008,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2008,"S.alter","PLOT1A",133,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2008,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2008,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2008,"Limonium","PLOT1A",1,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2008,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2008,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2009,"Juncus","PLOT1A",82,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2009,"Bare","PLOT1A",14,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2009,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2009,"S.alter","PLOT1A",161,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2009,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2009,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2009,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2009,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2009,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2010,"Juncus","PLOT1A",84,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2010,"Bare","PLOT1A",6,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2010,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2010,"S.alter","PLOT1A",187,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2010,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2010,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2010,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2010,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2010,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2011,"Juncus","PLOT1A",71,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2011,"Bare","PLOT1A",21,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2011,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2011,"S.alter","PLOT1A",185,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2011,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2011,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2011,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2011,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2011,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2012,"Juncus","PLOT1A",81,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2012,"Bare","PLOT1A",56,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2012,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2012,"S.alter","PLOT1A",186,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2012,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2012,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2012,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2012,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2012,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2013,"Juncus","PLOT1A",76,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2013,"Bare","PLOT1A",43,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2013,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2013,"S.alter","PLOT1A",189,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2013,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2013,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2013,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2013,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2013,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
2014,"Juncus","PLOT1A",76,"A","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
2014,"Bare","PLOT1A",30,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2014,"Litt/wrack","PLOT1A",0,"A","PLOT1","NA","NA","NA","NA","NA","UPC"
2014,"S.alter","PLOT1A",200,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
2014,"S.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
2014,"Distichlis","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
2014,"Limonium","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
2014,"Salicornia","PLOT1A",0,"A","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
2014,"Distichlis/s.patens","PLOT1A",0,"A","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1990,"Juncus","PLOT1B",107,"B","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1990,"Bare","PLOT1B",0,"B","PLOT1","NA","NA","NA","NA","NA","UPC"
1990,"Litt/wrack","PLOT1B",0,"B","PLOT1","NA","NA","NA","NA","NA","UPC"
1990,"S.alter","PLOT1B",60,"B","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
1990,"S.patens","PLOT1B",0,"B","PLOT1","Plantae","Poales","Poaceae","Spartina","patens","UPC"
1990,"Distichlis","PLOT1B",124,"B","PLOT1","Plantae","Poales","Poaceae","Distichlis","spicata","UPC"
1990,"Limonium","PLOT1B",11,"B","PLOT1","Plantae","Caryophyllales","Plumbaginaceae","Limonium","NA","UPC"
1990,"Salicornia","PLOT1B",52,"B","PLOT1","Plantae","Caryophyllales","Amarathaceae","Salicornioideae","NA","UPC"
1990,"Distichlis/s.patens","PLOT1B",124,"B","PLOT1","Plantae","Poales","Poaceae","Spartina; Distichlis","patens; spicata","UPC"
1991,"Juncus","PLOT1B",109,"B","PLOT1","Plantae","Poales","Juncaceae","Juncus","roemerianus","UPC"
1991,"Bare","PLOT1B",0,"B","PLOT1","NA","NA","NA","NA","NA","UPC"
1991,"Litt/wrack","PLOT1B",0,"B","PLOT1","NA","NA","NA","NA","NA","UPC"
1991,"S.alter","PLOT1B",42,"B","PLOT1","Plantae","Poales","Poaceae","Spartina","alterniflora","UPC"
