"PERIOD","DATE","PLOT","TRAN","SEC","SPP","AGE","SEX","SUB","CNT","Taxa_genus","Taxa_species"
"F00","10/2/2000","K",3,1,"ARPS","A","F","GRND","2"," Arphia"," pseudonietana"
"F00","10/2/2000","K",3,1,"ARPS","A","M","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","K",3,1,"AUEL","A","F","BOGR","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",3,1,"AUEL","A","M","BOGR","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",3,1,"ERSI","A","M","ARHA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",3,1,"ERSI","A","F","BUDA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",3,1,"ERSI","A","M","BOGR","1"," Eritettix"," simplex"
"F00","10/2/2000","K",3,1,"ERSI","A","F","PAOB","1"," Eritettix"," simplex"
"F00","10/2/2000","K",3,1,"ERSI","A","M","PAOB","1"," Eritettix"," simplex"
"F00","10/2/2000","K",3,1,"MEAZ","A","F","ARHA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",3,1,"PAPA","A","F","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",3,1,"PAPA","A","F","PAOB","1"," Paropomala"," pallida"
"F00","10/2/2000","K",3,2,"PSSP","2","N","SPCR","1",NA,NA
"F00","10/2/2000","K",3,2,"TRKI","A","M","GRND","3"," Trachyrhachis"," kiowa"
"F00","10/2/2000","K",3,2,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","K",3,3,"AUEL","A","M","BOER","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",3,3,"MEAZ","A","F","SPCR","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",3,3,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","K",3,3,"PSSP","2","N","BOER","1",NA,NA
"F00","10/2/2000","K",3,4,"AGDE","A","M","HIJA","1"," Ageneotettix"," deorum"
"F00","10/2/2000","K",3,4,"ARPS","A","M","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","K",3,4,"ARPS","A","F","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","K",3,4,"AUFE","A","F","MUAR","1"," Aulocara"," femoratum"
"F00","10/2/2000","K",3,4,"ERSI","A","M","HIJA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",3,4,"ERSI","A","F","HIJA","2"," Eritettix"," simplex"
"F00","10/2/2000","K",3,4,"ERSI","A","F","ARPU","1"," Eritettix"," simplex"
"F00","10/2/2000","K",3,4,"PSSP","2","N","SCBR2","2",NA,NA
"F00","10/2/2000","K",3,4,"PSSP","2","N","HIJA","1",NA,NA
"F00","10/2/2000","K",3,5,"AGDE","A","F","PAOB","1"," Ageneotettix"," deorum"
"F00","10/2/2000","K",3,5,"MEAZ","A","F","SPCR","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",3,5,"MEAZ","A","F","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",3,5,"MELA","A","M","SAKA","1"," Melanoplus"," lakinus"
"F00","10/2/2000","K",3,5,"MELA","A","M","SAKA","1"," Melanoplus"," lakinus"
"F00","10/2/2000","K",3,5,"PSSP","2","N","MUAR","1",NA,NA
"F00","10/2/2000","K",3,6,"AGDE","A","M","BOGR","1"," Ageneotettix"," deorum"
"F00","10/2/2000","K",3,6,"AGDE","A","M","SPCR","1"," Ageneotettix"," deorum"
"F00","10/2/2000","K",3,6,"AUEL","A","M","MUAR","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",5,1,"AUEL","A","F","MUAR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",5,1,"ERSI","A","M","HIJA","2"," Eritettix"," simplex"
"F00","10/2/2000","K",5,1,"ERSI","A","F","HIJA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",5,1,"PSSP","2","N","-999","-999",NA,NA
"F00","10/2/2000","K",5,2,"AGDE","A","M","SPCR","1"," Ageneotettix"," deorum"
"F00","10/2/2000","K",5,2,"ERSI","A","M","HIJA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",5,2,"MEAZ","A","F","SPCR","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",5,3,"AGDE","A","M","SCBR2","1"," Ageneotettix"," deorum"
"F00","10/2/2000","K",5,3,"ERSI","A","M","ARHA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",5,3,"ERSI","A","F","BOGR","1"," Eritettix"," simplex"
"F00","10/2/2000","K",5,3,"PSSP","2","N","ERPU","1",NA,NA
"F00","10/2/2000","K",5,3,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","K",5,4,"ARPS","A","M","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","K",5,4,"ARPS","A","F","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","K",5,4,"AUFE","A","F","BOGR","1"," Aulocara"," femoratum"
"F00","10/2/2000","K",5,4,"MEAZ","A","F","TILA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",5,4,"MEAZ","A","M","BOGR","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",5,5,"ARPS","A","M","GRND","2"," Arphia"," pseudonietana"
"F00","10/2/2000","K",5,5,"ARPS","A","F","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","K",5,5,"BONU","A","M","BOGR","1",NA,NA
"F00","10/2/2000","K",5,5,"ERSI","A","M","SPAI","1"," Eritettix"," simplex"
"F00","10/2/2000","K",5,5,"ERSI","A","F","BOGR","1"," Eritettix"," simplex"
"F00","10/2/2000","K",5,5,"PAPA","A","M","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",5,5,"PSSP","2","N","BOER","1",NA,NA
"F00","10/2/2000","K",5,6,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",5,6,"ERSI","A","M","BOER","1"," Eritettix"," simplex"
"F00","10/2/2000","K",5,6,"PAPA","A","F","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",5,6,"PSSP","2","N","BOER","1",NA,NA
"F00","10/2/2000","K",5,6,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","K",7,1,"ARPS","A","M","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","K",7,1,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",7,1,"ERSI","A","M","HIJA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",7,1,"ERSI","A","F","HIJA","1"," Eritettix"," simplex"
"F00","10/2/2000","K",7,1,"PAPA","A","M","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",7,1,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","K",7,2,"AUEL","A","F","GRND","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",7,2,"AUFE","A","M","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","K",7,2,"MEAZ","A","M","BOER","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",7,2,"PAPA","A","F","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",7,3,"AUEL","A","F","BOER","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",7,3,"AUEL","A","M","BOER","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",7,3,"PAPA","A","F","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",7,3,"PSSP","A","F","BOER","1",NA,NA
"F00","10/2/2000","K",7,3,"PSSP","2","N","GRND","1",NA,NA
"F00","10/2/2000","K",7,4,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",7,4,"ERSI","A","M","BOER","1"," Eritettix"," simplex"
"F00","10/2/2000","K",7,4,"MEAZ","A","F","BOER","1"," Melanoplus"," arizonae"
"F00","10/2/2000","K",7,4,"PAPA","A","M","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",7,5,"AGDE","A","F","GRND","1"," Ageneotettix"," deorum"
"F00","10/2/2000","K",7,5,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","K",7,5,"AUFE","A","F","BOER","1"," Aulocara"," femoratum"
"F00","10/2/2000","K",7,5,"ERSI","A","M","BOER","1"," Eritettix"," simplex"
"F00","10/2/2000","K",7,5,"PAPA","A","M","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",7,5,"PSSP","2","N","BOER","1",NA,NA
"F00","10/2/2000","K",7,5,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","K",7,6,"AUFE","A","F","BOER","1"," Aulocara"," femoratum"
"F00","10/2/2000","K",7,6,"AUFE","A","M","GRND","1"," Aulocara"," femoratum"
"F00","10/2/2000","K",7,6,"PAPA","A","M","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",7,6,"PAPA","A","F","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","K",7,6,"PSSP","2","N","BOER","1",NA,NA
"F00","10/2/2000","K",7,6,"PSSP","2","N","BOER","1",NA,NA
"F00","10/2/2000","PK",1,1,"AUFE","A","M","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",1,1,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",1,1,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",1,2,"AUEL","A","F","GRND","3"," Aulocara"," elliotti"
"F00","10/2/2000","PK",1,2,"AUEL","A","M","GRND","2"," Aulocara"," elliotti"
"F00","10/2/2000","PK",1,2,"MEAZ","A","F","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",1,2,"TRPA","A","M","GRND","2"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","PK",1,2,"TRPA","A","M","GRND","1"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","PK",1,2,"TRPA","A","F","GRND","1"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","PK",1,3,"ARPS","A","M","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","PK",1,3,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",1,3,"AUFE","A","M","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",1,3,"TRPA","A","M","GRND","1"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","PK",1,4,"AUFE","A","M","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",1,4,"AUFE","A","F","ERPU","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",1,4,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","PK",1,5,"AUFE","A","F","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",1,5,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",1,5,"TRPA","A","M","GRND","1"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","PK",1,6,"AUFE","A","M","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",1,7,"AUFE","A","F","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",1,7,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",1,7,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",1,7,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,1,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",3,1,"MEAZ","A","M","TILA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",3,1,"MELA","A","M","TILA","1"," Melanoplus"," lakinus"
"F00","10/2/2000","PK",3,1,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,2,"AUFE","A","M","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",3,2,"ERSI","A","M","ARHA","1"," Eritettix"," simplex"
"F00","10/2/2000","PK",3,2,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","PK",3,3,"AUFE","A","F","GRND","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",3,3,"AUFE","A","M","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",3,3,"MEAZ","A","F","SCBR2","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",3,3,"MEAZ","A","F","TILA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",3,3,"MELA","A","F","SAKA","1"," Melanoplus"," lakinus"
"F00","10/2/2000","PK",3,3,"TRKI","A","M","GRND","2"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,3,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,3,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,4,"TRFO","A","M","TILA","1"," Tropidolophus"," formosus"
"F00","10/2/2000","PK",3,4,"TRPA","A","M","GRND","1"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","PK",3,5,"AMCO","A","F","ARPU","1",NA,NA
"F00","10/2/2000","PK",3,5,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","PK",3,5,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,5,"TRME","A","M","GRND","1",NA,NA
"F00","10/2/2000","PK",3,6,"AGDE","A","M","GRND","1"," Ageneotettix"," deorum"
"F00","10/2/2000","PK",3,6,"AUFE","A","M","GRND","1"," Aulocara"," femoratum"
"F00","10/2/2000","PK",3,6,"MEAZ","A","F","SCBR2","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",3,6,"MELA","A","M","ARHA","1"," Melanoplus"," lakinus"
"F00","10/2/2000","PK",3,6,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,6,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,6,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",3,6,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",5,1,"AUEL","A","M","GRND","2"," Aulocara"," elliotti"
"F00","10/2/2000","PK",5,1,"ERSI","A","F","ARHA","1"," Eritettix"," simplex"
"F00","10/2/2000","PK",5,1,"ERSI","A","M","ARPU","2"," Eritettix"," simplex"
"F00","10/2/2000","PK",5,1,"OPOB","A","M","MUAR","1"," Opeia"," obscura"
"F00","10/2/2000","PK",5,1,"PSSP","2","N","SCBR2","2",NA,NA
"F00","10/2/2000","PK",5,2,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",5,2,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",5,3,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",5,3,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",5,3,"TRPA","A","M","GRND","1"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","PK",5,4,"AUEL","A","F","SCBR2","2"," Aulocara"," elliotti"
"F00","10/2/2000","PK",5,4,"PSSP","2","N","MUAR","1",NA,NA
"F00","10/2/2000","PK",5,4,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",5,5,"AGDE","A","M","GRND","1"," Ageneotettix"," deorum"
"F00","10/2/2000","PK",5,5,"TRME","A","M","GRND","1",NA,NA
"F00","10/2/2000","PK",5,5,"TRME","A","F","GRND","1",NA,NA
"F00","10/2/2000","PK",5,6,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",5,6,"MEAZ","A","M","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",5,6,"MEAZ","A","F","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",5,6,"MELA","A","M","SAKA","1"," Melanoplus"," lakinus"
"F00","10/2/2000","PK",5,6,"MELA","A","F","SAKA","1"," Melanoplus"," lakinus"
"F00","10/2/2000","PK",5,6,"TRFO","A","M","SOEL","1"," Tropidolophus"," formosus"
"F00","10/2/2000","PK",5,6,"TRKI","A","M","GRND","2"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",5,6,"TRPA","A","M","GRND","1"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","PK",7,1,"AUEL","A","F","SPCR","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",7,1,"ERSI","A","F","SPCR","1"," Eritettix"," simplex"
"F00","10/2/2000","PK",7,1,"MEAZ","A","F","TILA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",7,1,"MEAZ","A","M","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",7,1,"MELA","A","M","SAKA","1"," Melanoplus"," lakinus"
"F00","10/2/2000","PK",7,1,"TRFO","A","M","TILA","1"," Tropidolophus"," formosus"
"F00","10/2/2000","PK",7,2,"AUEL","A","M","SPCR","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",7,2,"AUFE","A","F","SCBR2","2"," Aulocara"," femoratum"
"F00","10/2/2000","PK",7,2,"ERSI","A","M","SPCR","1"," Eritettix"," simplex"
"F00","10/2/2000","PK",7,2,"PSSP","2","N","SPCR","1",NA,NA
"F00","10/2/2000","PK",7,2,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",7,3,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","PK",7,3,"PSSP","2","N","GRND","1",NA,NA
"F00","10/2/2000","PK",7,3,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",7,4,"AUEL","A","F","GRND","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",7,4,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","PK",7,5,"MEAZ","A","F","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",7,5,"PAPA","A","M","SPCR","1"," Paropomala"," pallida"
"F00","10/2/2000","PK",7,5,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",7,5,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","PK",7,6,"AGDE","A","M","SCBR2","1"," Ageneotettix"," deorum"
"F00","10/2/2000","PK",7,6,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",7,6,"AUEL","A","M","SPCR","1"," Aulocara"," elliotti"
"F00","10/2/2000","PK",7,6,"ERSI","2","N","SCBR2","1"," Eritettix"," simplex"
"F00","10/2/2000","PK",7,6,"MEAZ","A","M","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","PK",7,6,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","PK",7,6,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","T",1,1,"AGDE","A","M","SPCR","1"," Ageneotettix"," deorum"
"F00","10/2/2000","T",1,1,"AUFE","A","F","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",1,1,"AUFE","A","F","GRND","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",1,1,"ERSI","A","F","SPCR","1"," Eritettix"," simplex"
"F00","10/2/2000","T",1,1,"ERSI","A","M","SPCR","2"," Eritettix"," simplex"
"F00","10/2/2000","T",1,1,"ERSI","A","M","SPCR","1"," Eritettix"," simplex"
"F00","10/2/2000","T",1,1,"MEAZ","A","M","SPCR","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",1,1,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","T",1,1,"TRKI","A","M","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","T",1,2,"AUFE","A","F","SPCR","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",1,2,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","T",1,2,"PSSP","2","N","SCBR2","2",NA,NA
"F00","10/2/2000","T",1,2,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","T",1,3,"AGDE","A","M","GRND","1"," Ageneotettix"," deorum"
"F00","10/2/2000","T",1,3,"ARPS","A","M","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","T",1,3,"AUEL","A","F","SPCR","1"," Aulocara"," elliotti"
"F00","10/2/2000","T",1,3,"AUFE","A","M","SPCR","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",1,3,"MEAZ","A","M","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",1,4,"ARPS","A","F","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","T",1,4,"ARPS","A","M","GRND","1"," Arphia"," pseudonietana"
"F00","10/2/2000","T",1,4,"AUFE","A","M","SPCR","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",1,4,"ERSI","A","M","BOER","1"," Eritettix"," simplex"
"F00","10/2/2000","T",1,4,"ERSI","A","F","SPCR","1"," Eritettix"," simplex"
"F00","10/2/2000","T",1,4,"ERSI","A","F","SPCR","1"," Eritettix"," simplex"
"F00","10/2/2000","T",1,4,"MEAZ","A","F","SPCR","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",1,4,"PAPA","A","M","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","T",1,4,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","T",1,5,"AUEL","A","M","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","T",1,5,"AUFE","A","F","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",1,5,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","T",1,5,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","T",1,6,"AGDE","A","M","SCBR2","1"," Ageneotettix"," deorum"
"F00","10/2/2000","T",1,6,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","T",3,1,"AGDE","A","M","GRND","1"," Ageneotettix"," deorum"
"F00","10/2/2000","T",3,1,"AGDE","A","F","GRND","1"," Ageneotettix"," deorum"
"F00","10/2/2000","T",3,1,"AUEL","A","F","SCBR2","1"," Aulocara"," elliotti"
"F00","10/2/2000","T",3,1,"LEWH","A","M","GRND","1"," Leprus"," wheeleri"
"F00","10/2/2000","T",3,1,"MEAZ","A","F","BOER","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",3,1,"MEAZ","A","F","BOER","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",3,1,"PSSP","2","N","BOER","1",NA,NA
"F00","10/2/2000","T",3,2,"AUEL","A","M","GRND","1"," Aulocara"," elliotti"
"F00","10/2/2000","T",3,2,"ERSI","A","M","BOER","1"," Eritettix"," simplex"
"F00","10/2/2000","T",3,2,"MEAZ","A","M","BOER","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",3,2,"MEAZ","A","F","BOER","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",3,2,"PAPA","A","M","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","T",3,2,"PSSP","2","N","BOER","1",NA,NA
"F00","10/2/2000","T",3,3,"PAPA","A","M","BOER","1"," Paropomala"," pallida"
"F00","10/2/2000","T",3,3,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","T",3,4,"AUEL","A","M","SPCR","1"," Aulocara"," elliotti"
"F00","10/2/2000","T",3,4,"AUFE","A","F","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",3,4,"ERSI","A","M","SPCR","1"," Eritettix"," simplex"
"F00","10/2/2000","T",3,4,"PSSP","2","N","SCBR2","1",NA,NA
"F00","10/2/2000","T",3,5,"AUEL","A","F","GRND","1"," Aulocara"," elliotti"
"F00","10/2/2000","T",3,5,"MEAZ","A","M","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",3,5,"PSSP","2","N","SCBR2","2",NA,NA
"F00","10/2/2000","T",3,5,"TRKI","A","F","GRND","1"," Trachyrhachis"," kiowa"
"F00","10/2/2000","T",3,6,"AUFE","A","F","SCBR2","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",3,6,"DABI","A","M","SOEL","1"," Dactylotum"," bicolor"
"F00","10/2/2000","T",3,6,"MEAZ","A","F","SAKA","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",3,6,"MEAZ","A","F","GRND","1"," Melanoplus"," arizonae"
"F00","10/2/2000","T",3,6,"PSSP","2","N","GRND","1",NA,NA
"F00","10/2/2000","T",3,6,"TRPA","A","M","GRND","2"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","T",3,6,"TRPA","A","F","GRND","1"," Trimerotropis"," pallidipennis"
"F00","10/2/2000","T",5,1,"AUFE","A","F","SPCR","1"," Aulocara"," femoratum"
"F00","10/2/2000","T",5,1,"ERSI","A","F","HIJA","1"," Eritettix"," simplex"
"F00","10/2/2000","T",5,1,"ERSI","A","M","HIJA","1"," Eritettix"," simplex"
