"year","day","habitat_type","stake_number","species_number","distance","direction","Taxa_kingdom","Taxa_phylum","Taxa_class","Taxa_order","Taxa_family","Taxa_genus","Taxa_species","presence"
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",128,"767",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Sialia","mexicana",1
1991,25,"pinyon",128,"767",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Sialia","mexicana",1
1991,25,"pinyon",128,"767",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Sialia","mexicana",1
1991,25,"pinyon",128,"767",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Sialia","mexicana",1
1991,25,"pinyon",128,"754",30,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",128,"519",200,"na","Animaila","Chordata","Aves","Passeriformes","Icteridae","Haemorhous","mexicanus",1
1991,25,"pinyon",128,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",127,"761",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",127,"754",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",127,"754",80,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",126,"754",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",126,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",126,"567",50,"na",NA,NA,NA,NA,NA,NA,NA,1
1991,25,"pinyon",126,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",126,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",126,"754",50,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",126,"761",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",125,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",125,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",125,"519",150,"na","Animaila","Chordata","Aves","Passeriformes","Icteridae","Haemorhous","mexicanus",1
1991,25,"pinyon",125,"738",150,"na","Animaila","Chordata","Aves","Passeriformes","Paridae","Poecile","gambeli",1
1991,25,"pinyon",125,"754",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",125,"754",75,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",125,"519",75,"na","Animaila","Chordata","Aves","Passeriformes","Icteridae","Haemorhous","mexicanus",1
1991,25,"pinyon",124,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",124,"754",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",124,"761",250,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",124,"396",50,"na","Animaila","Chordata","Aves","Piciformes","Picidae","Dryobates","scalaris",1
1991,25,"pinyon",124,"413",250,"na","Animaila","Chordata","Aves","Piciformes","Picidae","Colaptes","auratus",1
1991,25,"pinyon",124,"486",250,"na","Animaila","Chordata","Aves","Passeriformes","Corvidae","Corvus","corax",1
1991,25,"pinyon",124,"754",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",124,"738",200,"na","Animaila","Chordata","Aves","Passeriformes","Paridae","Poecile","gambeli",1
1991,25,"pinyon",124,"332",75,"na","Animaila","Chordata","Aves","Accipitriformes","Accipitridae","Accipter","striatus",1
1991,25,"pinyon",123,"702",50,"na","Animaila","Chordata","Aves","Passeriformes","Mimidae","Oreoscoptes","montanus",1
1991,25,"pinyon",123,"754",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",123,"754",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",123,"761",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",123,"519",200,"na","Animaila","Chordata","Aves","Passeriformes","Icteridae","Haemorhous","mexicanus",1
1991,25,"pinyon",123,"761",200,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",123,"702",150,"na","Animaila","Chordata","Aves","Passeriformes","Mimidae","Oreoscoptes","montanus",1
1991,25,"pinyon",123,"702",25,"na","Animaila","Chordata","Aves","Passeriformes","Mimidae","Oreoscoptes","montanus",1
1991,25,"pinyon",123,"702",100,"na","Animaila","Chordata","Aves","Passeriformes","Mimidae","Oreoscoptes","montanus",1
1991,25,"pinyon",123,"295",450,"na","Animaila","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","gambelii",1
1991,25,"pinyon",121,"761",100,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",121,"754",75,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Myadestes","townsendi",1
1991,25,"pinyon",121,"761",150,"na","Animaila","Chordata","Aves","Passeriformes","Turdidae","Turdus","migratorius",1
1991,25,"pinyon",121,"702",150,"na","Animaila","Chordata","Aves","Passeriformes","Mimidae","Oreoscoptes","montanus",1
1991,25,"pinyon",121,"702",150,"na","Animaila","Chordata","Aves","Passeriformes","Mimidae","Oreoscoptes","montanus",1
1991,25,"pinyon",121,"702",150,"na","Animaila","Chordata","Aves","Passeriformes","Mimidae","Oreoscoptes","montanus",1
1991,146,"grass",138,"501.1",150,"0","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",138,"501.1",150,"90","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",138,"501.1",150,"270","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",138,"316",100,"315","Animaila","Chordata","Aves","Columbiformes","columbidae","Zenaida","macroura",1
1991,146,"grass",138,"293",100,"315","Animaila","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","squamata",1
1991,146,"grass",138,"578",150,"45","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,146,"grass",139,"578",40,"270","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,146,"grass",139,"578",100,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,146,"grass",139,"578",100,"45","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,146,"grass",139,"501.1",100,"180","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",139,"474",60,"135","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,146,"grass",139,"474",60,"135","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,146,"grass",140,"578",100,"315","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,146,"grass",140,"474",60,"315","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,146,"grass",140,"474",60,"315","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,146,"grass",141,"501.1",100,"315","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",141,"501.1",150,"90","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",141,"474",80,"90","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,146,"grass",141,"474",50,"180","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,146,"grass",142,"501.1",100,"90","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",142,"501.1",150,"270","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",142,"474",80,"180","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,146,"grass",142,"474",80,"180","Animaila","Chordata","Aves","Passeriformes","Alaudidae","Eremophila","alpestris",1
1991,146,"grass",143,"501.1",100,"90","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",143,"501.1",100,"90","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",143,"501.1",150,"225","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",144,"578",100,"0","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,146,"grass",144,"501.1",100,"180","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",144,"578",80,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,146,"grass",144,"501.1",100,"45","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",145,"578",80,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,146,"grass",145,"501.1",150,"0","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,146,"grass",145,"578",150,"45","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Peucaea","cassinii",1
1991,147,"creosote",130,"573",70,"270","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",130,"573",50,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",130,"293",150,"180","Animaila","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","squamata",1
1991,147,"creosote",130,"573",80,"225","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",131,"573",10,"225","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",131,"573",100,"270","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",131,"573",10,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",131,"573",80,"315","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",131,"573",100,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",131,"501.1",150,"0","Animaila","Chordata","Aves","Passeriformes","Icteridae","Sturnella","neglecta",1
1991,147,"creosote",132,"573",250,"270","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",132,"573",250,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",132,"573",50,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",132,"573",50,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",132,"316",80,"225","Animaila","Chordata","Aves","Columbiformes","columbidae","Zenaida","macroura",1
1991,147,"creosote",133,"573",50,"225","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",133,"573",50,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",133,"454",70,"270","Animaila","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",1
1991,147,"creosote",133,"573",100,"0","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",133,"573",100,"270","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",134,"316",30,"0","Animaila","Chordata","Aves","Columbiformes","columbidae","Zenaida","macroura",1
1991,147,"creosote",134,"454",100,"180","Animaila","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",1
1991,147,"creosote",134,"573",20,"225","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",134,"573",80,"315","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",134,"703",150,"135","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,147,"creosote",134,"573",80,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",135,"573",50,"0","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",135,"447",10,"270","Animaila","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","verticalis",1
1991,147,"creosote",135,"703",100,"180","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,147,"creosote",135,"573",80,"270","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",135,"703",80,"90","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,147,"creosote",136,"573",10,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",136,"573",10,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",136,"573",10,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",136,"573",30,"225","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",136,"703",60,"0","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,147,"creosote",137,"703",80,"135","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,147,"creosote",137,"573",150,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",137,"573",100,"270","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",137,"573",50,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",137,"573",100,"180","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Amphispiza","bilineata",1
1991,147,"creosote",137,"316",50,"90","Animaila","Chordata","Aves","Columbiformes","columbidae","Zenaida","macroura",1
1991,148,"pinyon",121,"703",100,"90","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",121,"295",150,"180","Animaila","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","gambelii",1
1991,148,"pinyon",121,"703",100,"0","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",121,"719",80,"270","Animaila","Chordata","Aves","Passeriformes","Troglodytidae","Thryomanes","bewickii",1
1991,148,"pinyon",121,"680",80,"0","Animaila","Chordata","Aves","Passeriformes","Parulidae","Geothlypis","tolmiei",1
1991,148,"pinyon",121,"703",200,"270","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",121,"519",100,"45","Animaila","Chordata","Aves","Passeriformes","Icteridae","Haemorhous","mexicanus",1
1991,148,"pinyon",121,"448",80,"45","Animaila","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","vociferans",1
1991,148,"pinyon",121,"448",80,"45","Animaila","Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","vociferans",1
1991,148,"pinyon",123,"295",200,"90","Animaila","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","gambelii",1
1991,148,"pinyon",123,"454",60,"90","Animaila","Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus","cinerascens",1
1991,148,"pinyon",123,"719",10,"180","Animaila","Chordata","Aves","Passeriformes","Troglodytidae","Thryomanes","bewickii",1
1991,148,"pinyon",123,"703",80,"0","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",123,"703",150,"270","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",123,"316",150,"0","Animaila","Chordata","Aves","Columbiformes","columbidae","Zenaida","macroura",1
1991,148,"pinyon",123,"295",150,"135","Animaila","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","gambelii",1
1991,148,"pinyon",123,"519",80,"180","Animaila","Chordata","Aves","Passeriformes","Icteridae","Haemorhous","mexicanus",1
1991,148,"pinyon",123,"295",50,"180","Animaila","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","gambelii",1
1991,148,"pinyon",124,"703",40,"270","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",124,"703",100,"180","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",124,"703",80,"270","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",124,"719",100,"90","Animaila","Chordata","Aves","Passeriformes","Troglodytidae","Thryomanes","bewickii",1
1991,148,"pinyon",124,"481",80,"180","Animaila","Chordata","Aves","Passeriformes","Corvidae","Aphelocoma",NA,1
1991,148,"pinyon",124,"703",100,"0","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",124,"552",100,"90","Animaila","Chordata","Aves","Passeriformes","Emberizidae","Chondestes","grammacus",1
1991,148,"pinyon",125,"719",20,"0","Animaila","Chordata","Aves","Passeriformes","Troglodytidae","Thryomanes","bewickii",1
1991,148,"pinyon",125,"703",100,"0","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",125,"703",150,"180","Animaila","Chordata","Aves","Passeriformes","Mimidae","Mimus","polyglottos",1
1991,148,"pinyon",125,"316",150,"270","Animaila","Chordata","Aves","Columbiformes","columbidae","Zenaida","macroura",1
1991,148,"pinyon",125,"295",200,"270","Animaila","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","gambelii",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
1991,148,"pinyon",125,"492",250,"270","Animaila","Chordata","Aves","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus",1
